"duplicate_id","author","year","journal","doi","title","label","source","pages","volume","number","abstract","isbn","record_ids"
"sr2_original_116","Landaas E. T.Storm M. L.Toll�nes M. C.Barlinn R.Kran A. B.Bragstad K.Christensen A.Andreassen T.",NA,"","10.1016/j.jcv.2021.104789","Diagnostic performance of a SARS-CoV-2 rapid antigen test in a large, Norwegian cohort","original_ft_exclude, elicit_exclude","original,elicit",NA,NA,NA,NA,NA,"sr2_original_116,sr2_elicit_153"
"sr2_original_117","Lefever S.Indevuyst C.Cuypers L.Dewaele K.Yin N.Cotton F.Padalko E.Oyaert M.Descy J.Cavalier E.Van Ranst M.Andr�
E.Lagrou K.Vermeersch P.",NA,"","10.1128/JCM.00374-21","Comparison of the Quantitative DiaSorin Liaison Antigen Test to Reverse Transcription-PCR for the Diagnosis of COVID-19 in Symptomatic and Asymptomatic Outpatients","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_117,sr2_elicit_275"
"sr2_original_118","Matsuda E. M.de Campos I. B.de Oliveira I. P.Colpas D. R.Carmo AmdsBr�gido L. F.  M.",NA,"","10.1002/jmv.26985","Field evaluation of COVID-19 antigen tests versus RNA based detection: Potential lower sensitivity compensated by immediate results, technical simplicity, and low cost","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_118,sr2_elicit_223"
"sr2_original_119","Merino P.Guinea J.Mu�oz-Gallego I.Gonz�lez-Donapetry P.Gal�n J. C.Antona N.Cilla G.Hern�ez-Crespo S.D�az-de Tuesta J. L.Gual-de Torrella A.Gonz�lez- Romo F.Escribano P.S�nchez-Castellano M�Sota-Busselo M.Delgado-Iribarren A.Garc�a J.Cant�n R.Mu�oz P.Folgueira M. D.Cuenca-Estrella M.Oteo-Iglesias J.",NA,"","10.1016/j.cmi.2021.02.001","Multicenter evaluation of the Panbio� COVID-19 rapid antigen-detection test for the diagnosis of SARS-CoV-2 infection","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_119,sr2_elicit_344"
"sr2_original_120","Muhi StephenTayler NickHoang TuyetBallard Susan A.Graham MaryzaRojek AmandaKwong Jason C.Trubiano Jason A.Smibert OliviaDrewett GeorgeJames FionaGardiner EmmaChea SocheataIsles NicoleSait MichellePasricha ShivaniTaiaroa GeorgeMcAuley JulieWilliams EloiseGibney Katherine B.Stinear Timothy P.Bond KatherineLewin Sharon R.Putland MarkHowden Benjamin P.Williamson Deborah A.",NA,"","10.1016/j.lanwpc.2021.100115","Multi-site assessment of rapid, point-of-care antigen testing for the diagnosis of SARS-CoV-2 infection in a low-prevalence setting: A validation and implementation study","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_120,sr2_elicit_125"
"sr2_original_121","Nsoga M. T. N.Kronig I.Rodriguez F. J. P.Sattonnet-Roche P.Silva D. D.Helbling J.Sacks J. A.de Vos M.Boehm E.Gayet- Ageron A.Berger A.Jacquerioz-Bausch F.Chappuis F.Kaiser L.Schibler M.Renzoni
A.Eckerle I.",NA,"","10.1371/journal.pone.0253321","Diagnostic accuracy of Panbio rapid antigen tests on oropharyngeal swabs for detection of SARS-CoV-2","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_121,sr2_elicit_68"
"sr2_original_125","Porte L.Legarraga P.Vollrath V.Aguilera X.Munita J. M.Araos R.Pizarro G.Vial P.Iruretagoyena M.Dittrich S.Weitzel T.",NA,"","10.1016/j.ijid.2020.05.098","Evaluation of a novel antigen-based rapid detection test for the diagnosis of SARS- CoV-2 in respiratory samples","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_125,sr2_elicit_18"
"sr2_original_128","Risti? M.Nikoli? N.?abarkapa V.Turkulov V.Petrovi? V.",NA,"","10.1371/journal.pone.0247606","Validation of the STANDARD Q COVID-19 antigen test in Vojvodina, Serbia","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_128,sr2_elicit_144"
"sr2_original_131","Scohy A.Anantharajah A.Bod�us M.Kabamba-Mukadi B.Verroken A.Rodriguez-Villalobos H.",NA,"","10.1016/j.jcv.2020.104455","Low performance of rapid antigen detection test as frontline testing for COVID-19 diagnosis","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_131,sr2_elicit_35"
"sr2_original_134","Torres I.Poujois S.Albert E.�lvarez G.Colomina J.Navarro D.",NA,"","10.1016/j.jinf.2021.02.010","Point-of-care evaluation of a rapid antigen test (CLINITEST(?) Rapid COVID-19 Antigen Test) for diagnosis of SARS-CoV-2 infection in symptomatic and asymptomatic individuals","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_134,sr2_elicit_180"
"sr2_original_137","J. Agarwal; A. Das; P. Pandey; M. Sen; J.
Garg",NA,"","10.3855/jidc.13925","David vs. Goliath"": A simple antigen detection test with potential to change diagnostic
strategy for SARS-CoV-2""","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_137,sr2_elicit_360"
"sr2_original_146","O. S. Cirit; E. Mutlu; B. Sancak; T. Kocag�z; �. Can; C. �icek; A. Arzu Sayiner; �. Appak; N. Y. Uyar; C. K�lah; A. �. �i�ek; O. B. �zg�m�s; Y. Ay Altintop; E. Saat�i; T. Karsligil; Y. Zer; N. S. �zen; Y. �ekin; Z. C. Karahan; E. Evren; A. E. Karako�; S. G. Orhan; D. Mutlu; T. Bozdemir; Y. T. �ayci; C. �inar; M. Tasbakan; M. Mert; E. �inar; O. �. E. Kutsoylu; S. Kocag�z; A. Ert�rk; I. �elik; A. �. Mete; M. G�nalp Eneyli; I. Akdemir; T. Karak�k; D. Inan; A. Atilla; S. O. Taflan; K.
E. Y�r�k",NA,"","10.1007/s15010-022-01832-9","Comparison of a novel antigen detection test with reverse transcription polymerase chain reaction assay for laboratory diagnosis of SARS-CoV-2 infection","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_146,sr2_elicit_292"
"sr2_original_148","S. Fourati; C. Langendorf; E. Audureau; D. Challine; J. Michel; A. Soulier; N. Ahnou; I. D�sveaux; O. Picard; V. Ortonne; A. Gourgeon; C. Mills; F. H�mery; C. Rieux; J.
M. Pawlotsky; N. Malou; S. Chevaliez",NA,"","10.1016/j.jcv.2021.104930","Performance of six rapid diagnostic tests for SARS-CoV-2 antigen detection and implications for practical use","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_148,sr2_elicit_131"
"sr2_original_152","R. Kanaujia; A. Ghosh; R. Mohindra; V. Singla; K. Goyal; R. Gudisa; V. Sharma; L. Mohan; N. Kaur; G. K. Mohi; I. Bora; R. K.
Ratho; R. K. Soni; A. Bhalla; M. P. Singh",NA,"","10.1016/j.ijmmb.2021.07.003","Rapid antigen detection kit for the diagnosis of SARS-CoV-2 - are we missing asymptomatic patients?","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_152,sr2_elicit_264"
"sr2_original_154","V. Mart�n?s�nchez; T. Fern�ndez?villa; A. Carvajal Urue�a; A. Rivero Rodr�guez; S. Reguero Celada; G. S�nchez Antol�n; J. P. Fern�ndez?v�zquez",NA,"","10.3390/jcm10173854","Role of rapid antigen testing in population?based sars?cov?2 screening","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_154,sr2_elicit_300"
"sr2_original_156","O. Mboma; E. Rieke; P. Ahmad-Nejad; S. Wirth; M. Aydin",NA,"","10.3390/children8080682","Diagnostic Performance of SARS-CoV-2 Rapid Antigen Test in a Large, German Cohort","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_156,sr2_elicit_155"
"sr2_original_157","A. Medoro; S. Davinelli; S. Voccola; G. Cardinale; D. Passarella; N. Marziliano; M. Intrieri",NA,"","10.3390/diagnostics12051279","Assessment of the Diagnostic Performance of a Novel SARS-CoV-2 Antigen Sealing Tube Test Strip (Colloidal Gold) as Point-of-Care Surveillance Test","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_157,sr2_elicit_369"
"sr2_original_158","P. Merino-Amador; P. Gonz�lez- Donapetry; M. Dom�nguez-Fern�ndez; F. Gonz�lez-Romo; M. S�nchez-Castellano;
A. Seoane-Estevez; A. Delgado-Iribarren;
J. Garc�a; G. Bou; M. Cuenca-Estrella; J. Oteo-Iglesias",NA,"","10.1016/j.jcv.2021.104961","Clinitest rapid COVID-19 antigen test for the diagnosis of SARS-CoV-2 infection: A multicenter evaluation study","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_158,sr2_elicit_206"
"sr2_original_159","A. Mirahmadizadeh; B. S. Yeganeh; J. Hassanzadeh; L. Badiee; M. Vali; Z. Maleki; A. Akbari; T. Pakdel; H. Ghaem",NA,"","10.4274/mjima.galenos.2021.2021.2","Value of rapid antigen test in comparison with reverse transcriptase-polymerase chain reaction method in the diagnosis of covid-19","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_159,sr2_elicit_351"
"sr2_original_160","S. L. Mitchell; S. Orris; T. Freeman; M. C. Freeman; M. Adam; M. Axe; J. Gribschaw;
J. Suyama; A. Hoberman; A. Wells",NA,"","10.1186/s12879-021-06716-1","Performance of SARS-CoV-2 antigen testing in symptomatic and asymptomatic adults: a single-center evaluation","original_ft_exclude, elicit_exclude","original,elicit",NA,NA,NA,NA,NA,"sr2_original_160,sr2_elicit_320"
"sr2_original_166","I. Polvere; S. Voccola; S. D�andrea; L. Zerillo; R. Varricchio; J. R. Madera; R. Stilo; P. Vito; T. Zotti",NA,"","10.3390/diagnostics12030650","Evaluation of FAST COVID-19 SARS-CoV-2 Antigen Rapid Test Kit for Detection of SARS-CoV-2 in Respiratory Samples from Mildly Symptomatic or Asymptomatic Patients","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_166,sr2_elicit_161"
"sr2_original_168","T. R. Randriamahazo; A. M. Andrianarivelo; A. T. Rakotoarivo; T. M. Raheritiana; L. A. Rakotovao; Z. A. Randriamanantany; A. O. Rakoto Alson; A. Rasamindrakotroka",NA,"","10.1016/j.jviromet.2021.114409","Evaluation of antigen-based rapid detection test for the diagnosis of SARS CoV-2 in low-income countries","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_168,sr2_elicit_354"
"sr2_original_169","P. V. Roderick; S. Ewoud; H. Lotty; K. V. Irene; B. Wouter; D. P. Suzan; F. Z. Vivian;
B. L. Esther; H. Marloes; K. Marco; M. Richard; W. Constantijn; H. V. Irene; C. S. Leonard; R. S. N.-I. Carla; G. H. H. Wanda;
H. Susan van den; A. J. K. Jan; H. H. M. v.
d. W. Janneke; G. M. M. Karel",NA,"","10.1016/j.cmi.2022.11.004","Diagnostic accuracy of SARS-CoV-2 rapid antigen self-tests in asymptomatic individuals in the Omicron period: cross sectional study","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_169,sr2_elicit_327"
"sr2_original_171","J. G. Routsias; M. Mavrouli; P. Tsoplou; K.
Dioikitopoulou; A. Tsakris",NA,"","10.1038/s41598-021-02197-z","Diagnostic performance of rapid antigen tests (RATs) for SARS-CoV-2 and their
efficacy in monitoring the infectiousness of COVID-19 patients","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_171,sr2_elicit_148"
"sr2_original_177","E. Schuit; I. K. Veldhuijzen; R. P. Venekamp; W. Van Den Bijllaardt; S. D. Pas; E. B. Lodder; R. Molenkamp; C. H. Geurtsvankessel; J. Velzing; R. C. Huisman; L. Brouwer; T. L. Boelsums; G. J. Sips; K. S. M. Benschop; L. Hooft; J. H. H.
M. Van De Wijgert; S. Van Den Hof; K. G.
M. Moons",NA,"","10.1136/bmj.n1676","Diagnostic accuracy of rapid antigen tests in asymptomatic and presymptomatic close contacts of individuals with confirmed SARS-CoV-2 infection: Cross sectional study","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_177,sr2_elicit_59"
"sr2_original_193","M. C. Montalvo Villalba; E. Sosa Glaria; L.
L. A. Rodriguez Lay; O. Vald�s Ramirez; D. Vallina Garc�a; A. Arencibia Garcia; J. Martinez Alfonso; D. M. Menes Llerena; L. Torres P�rez; S. R. Resik Aguirre; M. G.
Guzman Tirado",NA,"","10.1002/jmv.27412","Performance evaluation of Elecsys SARS-CoV-2 Antigen immunoassay for diagnostic of COVID-19","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_193,sr2_elicit_230"
"sr2_original_197","M�ckel M.Corman V. M.Stegemann M. S.Hofmann J.Stein A.Jones T.  C.Gastmeier P.Seybold J.Offermann R.Bachmann U.Lindner T.Bauer W.Drosten C.Rosen A.Somasundaram R.",NA,"","10.1080/1354750X.2021.1876769","SARS-CoV-2 antigen rapid immunoassay for diagnosis of COVID-19 in the emergency department","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_197,sr2_elicit_57"
"sr2_original_198","A. Farhana; D. Zahoor; S. Wani; R. A. Khan; R. Nasir; F. Kanth",NA,"","10.1016/j.ijmmb.2022.06.007","Diagnostic utility and performance of rapid antigen test in SARS CoV- 2 in symptomatic and asymptomatic patients during the second pandemic wave in Kashmir, North India","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_198,sr2_elicit_389"
"sr2_original_201","Yamayoshi S.Sakai-Tagawa Y.Koga M.Akasaka O.Nakachi I.Koh H.Maeda K.Adachi E.Saito M.Nagai H.Ikeuchi K.Ogura T.Baba R.Fujita K.Fukui T.Ito F.Hattori S. I.Yamamoto K.Nakamoto T.Furusawa Y.Yasuhara A.Ujie M.Yamada S.Ito M.Mitsuya H.Omagari N.Yotsuyanagi H.Iwatsuki-Horimoto K.Imai M.Kawaoka Y.",NA,"","10.3390/v12121420","Comparison of Rapid Antigen Tests for COVID-19","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_201,sr2_elicit_99"
"sr2_original_226","Diao B.Wen K.Zhang J.Chen J.Han
C.Chen Y.Wang S.Deng G.Zhou H.Wu Y.",NA,"","10.1016/j.cmi.2020.09.057","Accuracy of a nucleocapsid protein antigen rapid test in the diagnosis of SARS-CoV-2
infection","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_226,sr2_elicit_76"
"sr2_original_235","M. Ben Abdelhanin; D. M. Mvumbi; A.
Agathine; N. Nanos; S. Gidenne",NA,"","10.1016/j.jcv.2021.104991","Evaluation of the Elecsys SARS-CoV-2 antigen assay for the detection of SARS-CoV-
2 in nasopharyngeal swabs","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_235,sr2_elicit_392"
"sr2_original_238","T. Mueller; J. Kompatscher; M. La Guardia",NA,"","10.1002/jcla.23906","Diagnostic performance of the Elecsys SARS-CoV-2 antigen assay in the clinical routine of a tertiary care hospital: Preliminary results from a single-center evaluation","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_238,sr2_elicit_398"
"sr2_original_242","V. T. Chu; N. G. Schwartz; M. A. P. Donnelly; M. R. Chuey; R. Soto; A. R. Yousaf; E. N. Schmitt-Matzen; S. Sleweon;
J. Ruffin; N. Thornburg; J. L. Harcourt; A. Tamin; G. Kim; J. M. Folster; L. J. Hughes;
S. Tong; G. Stringer; B. A. Albanese; S. E. Totten; M. M. Hudziec; S. R. Matzinger; E.
A. Dietrich; S. W. Sheldon; S. Stous; E. C. McDonald; B. Austin; M. E. Beatty; J. E. Staples; M. E. Killerby; C. H. Hsu; J. E.
Tate; H. L. Kirking; A. Matanock",NA,"","10.1001/jamainternmed.2022.1827","Comparison of Home Antigen Testing With RT-PCR and Viral Culture During the Course of SARS-CoV-2 Infection","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_242,sr2_elicit_63"
"sr2_original_266","Bohn Mary KathrynLippi GiuseppeHorvath Andrea R.Erasmus RajivGrimmler MatthiasGramegna MaurizioMancini NicasioMueller RobertRawlinson William D.Menezes Mar�a ElizabethPatru Maria- MagdalenaRota FabioSethi SunilSingh KrishnaYuen Kwok-YungWang Cheng- BinAdeli Khosrow",NA,"","10.1515/cclm-2021-0455","IFCC interim guidelines on rapid point-of-care antigen testing for SARS-CoV-2 detection in asymptomatic and symptomatic individuals","original_ft_exclude, elicit_exclude","original,elicit",NA,NA,NA,NA,NA,"sr2_original_266,sr2_elicit_132"
"sr2_original_269","Dinnes J Deeks JJ",NA,"","10.7326/ACPJ202012150-069","Rapid antigen and molecular tests had varied sensitivity and ?97% specificity for detecting SARS-CoV-2 infection","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_269,sr2_elicit_55"
"sr2_original_303","L. A. Heger; N. Elsen; M. Rieder; N. Gauchel; U. Sommerwerck; C. Bode; D. Duerschmied; M. Oette; I. Ahrens",NA,"","10.1186/s12879-022-07447-7","Clinical analysis on diagnostic accuracy of Bosch Vivalytic SARS-CoV-2 point-of-care test and evaluation of cycle threshold at admission for COVID-19 risk assessment","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_303,sr2_elicit_400"
"sr2_original_310","P. A. P. D. K. J. T. Sagar",NA,"","10.1371/journal.pgph.0000358","Diagnostic accuracy of antigen-detection rapid diagnostic tests for diagnosis of COVID-19 in low-and middle-income countries: a systematic review and meta- analysis","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_310,sr2_elicit_13"
"sr2_original_312","Y. H. Wang; C. C. Wu; C. H. Bai; S. C. Lu;
Y. P. Yang; Y. Y. Lin; W. Y. Lai; T. W. Lin;
Y. C. Jheng; M. C. Lee; C. C. Chen",NA,"","10.1097/JCMA.0000000000000626","Evaluation of the diagnostic accuracy of COVID-19 antigen tests: A systematic review and meta-analysis","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_312,sr2_elicit_22"
"sr2_original_316","Bernard M.Cosentino G.Pieri L.Zachary
P.Buser M.Kbaier L.Giannoli J. M.",NA,"","10.1684/abc.2021.1641","Retrospective analysis of the performance of the SARS-CoV-2 rapid antigen
detection test compared to the reference RT-PCR test","original_ft_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_316,sr2_elicit_425"
"sr2_original_321","Blairon LaurentCupaiolo RobertoThomas IsabellePite�s S�bastienWilmet AlainBeukinga IngridTr�-Hardy Marie",NA,"","10.1002/jmv.27108","Efficacy comparison of three rapid antigen tests for SARS-CoV-2 and how viral load impact their performance","original_ca_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_321,sr2_elicit_281"
"sr2_original_322","Bruzzone B.De Pace V.Caligiuri P.Ricucci V.Guarona G.Pennati B. M.Boccotti S.Orsi A.Domnich A.Da Rin G.Icardi G.",NA,"","10.1016/j.ijid.2021.04.072","Comparative diagnostic performance of rapid antigen detection tests for COVID-19 in a hospital setting","original_ca_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_322,sr2_elicit_284"
"sr2_original_323","C.Giach� S.Rzepecki V.Seve A.Gubavu C.Baud K.Le Helloco C.Cassuto G. N.Pialoux G.Hocqueloux L.Prazuck T.",NA,"","10.1002/jmv.26896","High performance of a novel antigen detection test on nasopharyngeal specimens for diagnosing SARS-CoV-2 infection","original_ca_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_323,sr2_elicit_114"
"sr2_original_325","J��skel�inen A. E.Ahava M. J.Jokela P.Szirovicza L.Pohjala S.Vapalahti O.Lappalainen M.Hepojoki J.Kurkela S.",NA,"","10.1016/j.jcv.2021.104785","Evaluation of three rapid lateral flow antigen detection tests for the diagnosis of SARS-CoV-2 infection","original_ca_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_325,sr2_elicit_106"
"sr2_original_326","Karon B. S.Donato L.Bridgeman A. R.Blommel J. H.Kipp B.Maus A.Renuse S.Kemp J.Madugundu A. K.Vanderboom P. M.Chavan S.Dasari S.Singh R. J.Grebe S. K. G.Pandey A.",NA,"","10.1093/clinchem/hvab138","Analytical sensitivity and specificity of four point of care rapid antigen diagnostic tests for SARS-CoV-2 using real-time quantitative PCR, quantitative droplet digital PCR, and a mass spectrometric antigen assay as comparator methods","original_ca_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_326,sr2_elicit_182"
"sr2_original_330","Kuo Peiting Realegeno Susan Pride David T.",NA,"","10.1016/j.jcvp.2021.100011","Comparison of Two Nucleic Acid Amplification Tests (NAATs) and Two Antigen Tests for Detection of SARS-CoV-2 from Upper Respiratory Specimens","original_ca_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_330,sr2_elicit_371"
"sr2_original_331","Kweon O. J.Lim Y. K.Kim H. R.Choi Y.Kim M. C.Choi S. H.Chung J. W.Lee
M. K.",NA,"","10.1371/journal.pone.0249972","Evaluation of rapid SARS-CoV-2 antigen tests, AFIAS COVID-19 Ag and ichroma COVID-19 Ag, with serial nasopharyngeal specimens from COVID-19 patients","original_ca_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_331,sr2_elicit_165"
"sr2_original_334","Liotti F. M.Menchinelli G.Lalle E.Palucci I.Marchetti S.Colavita F.La Sorda M.Sberna G.Bordi L.Sanguinetti M.Cattani P.Capobianchi M. R.Posteraro B.",NA,"","10.1016/j.cmi.2020.09.030","Performance of a novel diagnostic assay for rapid SARS-CoV-2 antigen detection in nasopharynx samples","original_ca_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_334,sr2_elicit_66"
"sr2_original_336","Mak G. C.Cheng P. K.Lau S. S.Wong
K. K.Lau C. S.Lam E. T.Chan R.
C.Tsang D. N.",NA,"","10.1016/j.jcv.2020.104500","Evaluation of rapid antigen test for detection of SARS-CoV-2 virus","original_ca_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_336,sr2_elicit_32"
"sr2_original_338","Mboumba Bouassa R. S.Veyer D.P�r� H.B�lec L.",NA,"","10.1016/j.ijid.2021.03.051","Analytical performances of the point-of-care SIENNA� COVID-19 Antigen Rapid Test for the detection of SARS-CoV-2 nucleocapsid protein in nasopharyngeal swabs: A prospective evaluation during the COVID-19 second wave in France","original_ca_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_338,sr2_elicit_211"
"sr2_original_341","Nalumansi A.Lutalo T.Kayiwa J.Watera C.Balinandi S.Kiconco J.Nakaseegu J.Olara D.Odwilo E.Serwanga J.Kikaire B.Ssemwanga D.Nabadda S.Ssewanyana I.Atwine D.Mwebesa H.Bosa H. K.Nsereko C.Cotten
M.Downing R.Lutwama J.Kaleebu P.",NA,"","10.1016/j.ijid.2020.10.073","Field evaluation of the performance of a SARS-CoV-2 antigen rapid diagnostic test in Uganda using nasopharyngeal samples","original_ca_exclude, elicit_include","original,elicit",NA,NA,NA,NA,NA,"sr2_original_341,sr2_elicit_53"
