Title,Authors,DOI,DOI link,Venue,Citation count,Year,Population Age,"Reasoning for ""Population Age""",Study Design,"Reasoning for ""Study Design""",Data Reporting,"Reasoning for ""Data Reporting""",Outcome Measures,"Reasoning for ""Outcome Measures""",Study Setting,"Reasoning for ""Study Setting""",Test Methodology,"Reasoning for ""Test Methodology""",Test Type and Reference Standard,"Reasoning for ""Test Type and Reference Standard""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
"Multi-site assessment of rapid, point-of-care antigen testing for the diagnosis of SARS-CoV-2 infection in a low-prevalence setting: A validation and implementation study","Stephen Muhi, Nick Tayler, T. Hoang, S. Ballard, Maryza Graham, A. Rojek, J. Kwong, J. Trubiano, O. Smibert, G. Drewett, Fiona James, E. Gardiner, Socheata Chea, Nicole Isles, M. Sait, S. Pasricha, G. Taiaroa, J. McAuley, Eloise Williams, K. Gibney, T. Stinear, K. Bond, S. Lewin, M. Putland, B. Howden, D. Williamson",10.1016/j.lanwpc.2021.100115,https://doi.org/10.1016/j.lanwpc.2021.100115,The Lancet Regional Health - Western Pacific,41,2021,maybe,"The abstract doesn't explicitly state the age range of participants. However, since it's conducted in hospitals and there's no mention of pediatric or pregnant populations, it likely includes adults, but we cannot be certain without full text.",yes,This is a primary diagnostic accuracy study comparing rapid antigen tests against RT-PCR in a clinical setting.,yes,The study clearly reports rapid antigen test results (Abbott PanBioTM COVID-19 Ag) separately from RT-PCR results.,yes,"The study reports quantifiable diagnostic accuracy data, including specificity (99.96%) and sensitivity (ranging from 77.3% to 100%).",yes,"The study was conducted in three Melbourne metropolitan hospitals, which is a clinical setting.",yes,The study specifically evaluates a rapid antigen test (Abbott PanBioTM COVID-19 Ag) for SARS-CoV-2.,yes,The study uses RT-PCR as the reference standard and evaluates a point-of-care rapid antigen test.,Include,"A diagnostic accuracy study of rapid antigen testing for SARS-CoV-2 in a clinical setting, utilizing RT-PCR as a reference standard and reporting comprehensive sensitivity and specificity data. The research meets most screening criteria, with only minor uncertainty regarding participant age range, and provides detailed insights into point-of-care testing performance in a low-prevalence environment.",4.6
Diagnostic Accuracy of a Rapid SARS-CoV-2 Antigen Test Among People Experiencing Homelessness: A Prospective Cohort and Implementation Study,"P. De Nardo, M. Tebon, A. Savoldi, N. Soriolo, E. Danese, D. Peserico, Matteo Morra, E. Gentilotti, Gulser Caliskan, P. Marchetti, Riccardo Cecchetto, A. Mazzariol, G. Verlato, D. Gibellini, E. Tacconelli",10.1007/s40121-023-00787-0,https://doi.org/10.1007/s40121-023-00787-0,Infectious Disease and Therapy,2,2023,yes,"The study explicitly states participants were ""PEH ≥ 18 years,"" meeting the adult population requirement.",yes,This is a primary diagnostic accuracy study with original data collection and analysis.,yes,"The study clearly reports rapid antigen test results separately, with detailed comparison against rtRT-PCR results.",yes,"The study reports comprehensive diagnostic accuracy data including sensitivity (63.8%), specificity (99.8%), PPV (97.5%), and NPV (96.8%).",yes,The study was conducted in a clinical/community setting (shelters for people experiencing homelessness).,yes,"The study specifically evaluates a rapid antigen test (Biocredit® COVID-19 Ag), which is a lateral flow immunochromatographic assay.",yes,The study uses point-of-care rapid antigen tests and rtRT-PCR (Allplex™ SARS-CoV-2 assay kit) as the reference standard.,Include,"A comprehensive diagnostic accuracy study of rapid antigen testing for SARS-CoV-2 among people experiencing homelessness, utilizing a point-of-care lateral flow immunochromatographic assay with rtRT-PCR as the reference standard. The research meticulously reports diagnostic performance metrics including sensitivity, specificity, and predictive values across two pandemic waves, with a robust methodology involving adult participants and a large sample size. The study meets all critical screening criteria for a high-quality diagnostic accuracy investigation.",4.9
Diagnostic accuracy and feasibility of patient self-testing with a SARS-CoV-2 antigen-detecting rapid test,"A. Lindner, O. Nikolai, C. Rohardt, F. Kausch, M. Wintel, M. Gertler, S. Burock, Merle Hörig, Julian Bernhard, F. Tobian, M. Gaeddert, F. Lainati, V. Corman, T. Jones, J. Sacks, J. Seybold, C. Denkinger, F. Mockenhaupt",10.1016/j.jcv.2021.104874,https://doi.org/10.1016/j.jcv.2021.104874,Journal of Clinical Virology,50,2021,yes,"The study specifically mentions ""symptomatic adults"" and there's no indication of including children or pregnant women.",yes,"The study is explicitly described as a ""manufacturer-independent, prospective diagnostic accuracy study"" with original data collection.",yes,"The study clearly reports rapid antigen test results separately, with specific sensitivity values for both self-testing and professional testing.",yes,"The study reports clear diagnostic accuracy data, including sensitivity (82.5% for self-testing, 85.0% for professional testing) with confidence intervals.",maybe,"While not explicitly stated, the context of testing symptomatic adults and comparing self-testing to professional testing implies a clinical setting.",yes,"The study evaluates SARS-CoV-2 antigen-detecting rapid diagnostic tests (Ag-RDTs), which are specifically mentioned as WHO-listed.",yes,"The study uses RT-PCR as the reference standard (""relative to RT-PCR on a combined oro-/nasopharyngeal sample"") and evaluates point-of-care rapid antigen tests.",Include,"A comprehensive diagnostic accuracy study of SARS-CoV-2 rapid antigen tests among symptomatic adults, utilizing RT-PCR as the reference standard and reporting detailed sensitivity and specificity data. The research systematically compared self-testing and professional testing methodologies, providing quantifiable diagnostic performance metrics across different viral load scenarios. The study meets all key screening criteria, offering robust insights into point-of-care antigen testing effectiveness.",4.9
"Diagnostic Performance of an Antigen Test with RT-PCR for the Detection of SARS-CoV-2 in a Hospital Setting — Los Angeles County, California, June–August 2020","Auguste Brihn, Jamie Chang, Kelsey Oyong, S. Balter, D. Terashita, Zach Rubin, N. Yeganeh",10.15585/mmwr.mm7019a3,https://doi.org/10.15585/mmwr.mm7019a3,MMWR. Morbidity and mortality weekly report,75,2021,maybe,"The abstract doesn't explicitly state the age range of participants. While it mentions ""patients"" and ""health care providers,"" there's no specific mention of age restrictions or separate reporting for adults.",yes,This is a primary diagnostic accuracy study comparing antigen test performance with RT-PCR in a hospital setting.,yes,"The study clearly reports rapid antigen test results (Quidel Sofia 2 SARS Antigen FIA) separately from RT-PCR results, with specific performance metrics provided.",yes,"The study reports clear diagnostic accuracy data, including sensitivity and specificity for both symptomatic (72.1% sensitivity, 98.7% specificity) and asymptomatic (60.5% sensitivity, 99.5% specificity) patients.",yes,"The study was conducted in a hospital setting, which meets the clinical setting requirement.",yes,The study specifically evaluates a rapid antigen test (Quidel Sofia 2 SARS Antigen FIA) and compares it with RT-PCR.,yes,The study evaluates a point-of-care rapid antigen test and uses RT-PCR as the reference standard.,Include,"A diagnostic accuracy study comparing rapid antigen testing with RT-PCR in a hospital setting, reporting comprehensive sensitivity and specificity data for both symptomatic and asymptomatic patients. The research meets most screening criteria, with robust methodology and clear outcome measures, though participant age range remains slightly ambiguous. The study provides valuable insights into point-of-care SARS-CoV-2 diagnostic performance across different patient populations.",4.6
Performance of SARS-CoV-2 rapid antigen test compared with real-time RT-PCR in asymptomatic individuals,"M. Peña, Manuel Ampuero, C. Garcés, A. Gaggero, Patricia García, M. Velasquez, Ricardo Luza, P. Alvarez, F. Paredes, Johanna Acevedo, M. Farfán, S. Solari, R. Soto-Rifo, F. Valiente-Echeverría",10.1016/j.ijid.2021.04.087,https://doi.org/10.1016/j.ijid.2021.04.087,International Journal of Infectious Diseases,58,2021,maybe,"The abstract only mentions ""asymptomatic individuals"" without specifying age ranges, creating some uncertainty about whether the study meets the age criterion.",yes,This is a primary diagnostic accuracy study comparing RAT with RT-PCR in a defined population.,yes,"The study clearly reported rapid antigen test (RAT) results separately from other test types, with specific accuracy metrics provided.",yes,"The study reports clear diagnostic accuracy data including sensitivity (69.86%), specificity (99.61%), PPV (94.44%), and NPV (97.22%).",yes,"The study was conducted in Tarapacá, Chile, in what appears to be a clinical/community setting, testing asymptomatic individuals.",yes,The study explicitly evaluates a SARS-CoV-2 rapid antigen test (RAT).,yes,The study uses RT-PCR as the reference standard and evaluates point-of-care rapid antigen tests for SARS-CoV-2.,Include,"A diagnostic accuracy study comparing rapid antigen tests with RT-PCR in asymptomatic individuals demonstrates strong methodological alignment with most screening criteria. The research provides comprehensive diagnostic performance metrics, uses appropriate testing methodology, and evaluates point-of-care testing in a clinical setting. The only notable uncertainty relates to participant age range, which would require full text review for definitive confirmation.",4.6
Evaluation of diagnostic performance of a rapid antigen test in diagnosing COVID-19.,"Eman R. Badawy, Azza M Ezz El-Din, Randa A. El Zohne",10.55133/eji.300102,https://doi.org/10.55133/eji.300102,Egyptian Journal of Immunology,1,2023,maybe,"The abstract does not explicitly state the age range of participants, and there is no specific mention of age restrictions or separate reporting for adults.",yes,"This is a primary diagnostic accuracy study comparing antigen tests to RT-PCR, with original data collection and analysis.",yes,"The study clearly reports rapid antigen test results separately from other test types, with specific numbers provided for both RT-PCR and antigen test results.",yes,"The study reports clear diagnostic accuracy measures including sensitivity (91.11%), specificity (100%), PPV, NPV, and accuracy (91.8%).",yes,"While not explicitly stated, the context suggests a clinical setting given the use of RT-PCR and the structured comparison of test results.",yes,The study specifically evaluates a rapid antigen test (BIOZEK antigen COVID-19 Ag rapid test device) and not antibody tests or other diagnostics.,yes,The study uses RT-PCR as the reference standard and evaluates a point-of-care rapid antigen test for SARS-CoV-2.,Include,"A comprehensive diagnostic accuracy study comparing rapid antigen tests to RT-PCR for SARS-CoV-2 detection, with robust methodology and detailed reporting of sensitivity, specificity, and other performance metrics. The research meets most screening criteria, with only minor uncertainty regarding participant age range, and provides valuable insights into point-of-care diagnostic testing during the COVID-19 pandemic.",4.6
Performance of six rapid diagnostic tests for SARS-CoV-2 antigen detection and implications for practical use,"S. Fourati, C. Langendorf, E. Audureau, D. Challine, J. Michel, A. Soulier, Nazim Ahnou, Isaac Désveaux, O. Picard, Valérie Ortonne, Aurélie Gourgeon, C. Mills, F. Hemery, C. Rieux, J. Pawlotsky, N. Malou, S. Chevaliez",10.1016/j.jcv.2021.104930,https://doi.org/10.1016/j.jcv.2021.104930,Journal of Clinical Virology,14,2021,maybe,"The abstract mentions ""hospitalized patients or outpatients"" but doesn't specify age ranges, creating some uncertainty about whether the study includes only adults or includes children.",yes,This is a primary diagnostic accuracy study comparing RDTs against RT-PCR as the reference standard.,yes,"The study clearly reports rapid antigen test results separately, evaluating 6 different RDTs with specific sensitivity and specificity values.",yes,"The study reports clear quantifiable diagnostic accuracy data, including sensitivity (32.3% to 61.7%) and specificity (93.2% to 98.5%).",yes,"The study was conducted in a clinical setting, including both hospitalized patients and outpatients.",yes,"The study specifically evaluates rapid antigen tests (RDTs) for SARS-CoV-2, using lateral flow immunoassays to detect viral proteins.",yes,The study uses RT-PCR as the reference standard and evaluates point-of-care rapid antigen tests.,Include,"A comprehensive diagnostic accuracy study of SARS-CoV-2 rapid antigen tests was conducted across multiple patient groups, utilizing RT-PCR as a reference standard and reporting detailed sensitivity and specificity metrics. The research systematically evaluated six different rapid diagnostic tests, providing quantifiable performance data across clinical settings with robust methodological approaches. While most screening criteria were definitively met, some uncertainty remained regarding the precise age range of study participants.",4.6
IFCC interim guidelines on rapid point-of-care antigen testing for SARS-CoV-2 detection in asymptomatic and symptomatic individuals,"M. K. Bohn, G. Lippi, A. Horvath, R. Erasmus, M. Grimmler, M. Gramegna, N. Mancini, R. Mueller, W. Rawlinson, M. E. Menezes, M. Patru, F. Rota, S. Sethi, Krishna Singh, K. Yuen, Cheng-bin Wang, K. Adeli",10.1515/cclm-2021-0455,https://doi.org/10.1515/cclm-2021-0455,Clinical Chemistry and Laboratory Medicine,37,2021,no,"The abstract does not specify any age restrictions or population characteristics. It only mentions ""target populations"" in general terms.",no,"This appears to be a guidance document/review from the IFCC Taskforce, not a primary diagnostic accuracy study or meta-analysis reporting original data. It aims to ""summarize available data"" and provide guidance.",no,"The abstract does not present specific test results, but rather appears to be a guidance document summarizing available data on antigen tests. It does not report original test results separately.",no,"The abstract does not indicate that specific diagnostic accuracy measures (sensitivity, specificity) are reported. It appears to be a guidance document rather than a study reporting quantifiable accuracy data.",no,"The abstract mentions point-of-care settings and laboratory settings, but as a guidance document rather than a study conducted in these settings.",yes,"The paper does focus on rapid antigen tests (Ag-RDTs) specifically, so this criterion is met.",no,"While the paper discusses both antigen tests and NAAT (RT-PCR) as reference standard, it does not appear to present original comparative data between these tests.",Exclude,"This document appears to be a guidance paper summarizing rapid antigen test methodologies rather than a primary diagnostic accuracy study. While it focuses on SARS-CoV-2 antigen tests, it lacks original data reporting, specific population details, and quantifiable diagnostic accuracy measures. The paper provides methodological insights but does not meet the systematic review's core screening criteria for a diagnostic accuracy study.",1.4
Molecular Diagnosis of SARS-CoV-2: Assessing and Interpreting Nucleic Acid and Antigen Tests,"P. Zimmerman, C. King, M. Ghannoum, R. Bonomo, G. Procop",10.20411/pai.v6i1.422,https://doi.org/10.20411/pai.v6i1.422,Pathogens and Immunity,8,2021,no,The abstract does not specify any age groups or population characteristics. There is no information about whether the review focuses on adults or includes other populations.,no,"This is explicitly a review paper (""In this review, we summarize...""), not a primary diagnostic accuracy study or meta-analysis reporting original data.",no,"The abstract does not report any specific rapid antigen test results. It is a review paper discussing both nucleic acid and antigen testing in general terms, without presenting original data.",no,The abstract does not report any quantifiable diagnostic accuracy data. It discusses the role of tests in general terms but doesn't present specific accuracy measures.,maybe,"The abstract mentions both clinical and public health settings, which would meet this criterion, but this is in the context of a general review rather than a specific study.",no,"While the paper discusses antigen tests, it does so in a general context alongside nucleic acid tests. It's not focused specifically on evaluating rapid antigen tests.",no,"The abstract mentions both RT-PCR and antigen tests, but does not describe a comparative evaluation of rapid antigen tests against RT-PCR as a reference standard.",Exclude,"This review paper fails to meet multiple critical screening criteria, particularly the requirement for a primary diagnostic accuracy study with original data. The abstract discusses nucleic acid and antigen testing in general terms but lacks specific diagnostic accuracy measures, quantifiable results, and a focused evaluation of rapid antigen tests against a reference standard. Consequently, the paper does not align with the specified screening requirements for a diagnostic accuracy study.",0.1
Rapid antigen tests for large-scale diagnostic campaigns: A case study from North-Eastern Italy,"M. Riccò, S. Ranzieri, F. Marchesi",10.1016/j.jinf.2021.01.011,https://doi.org/10.1016/j.jinf.2021.01.011,Journal of Infection,6,2021,maybe,"The abstract doesn't specify the age range of participants in the screening campaign. It only mentions that 361,781 people (67.9% of the total population) were tested, without age breakdown.",maybe,"This appears to be an analysis of public health data from a mass screening campaign, not a primary diagnostic accuracy study or meta-analysis. The focus is on population-level outcomes rather than diagnostic accuracy evaluation.",maybe,"The abstract discusses rapid antigen diagnostic (RAD) tests, but it is primarily focused on analyzing population-level data from a mass screening campaign rather than reporting specific test results. While RAD tests are mentioned, the data presented is more about epidemiological outcomes than individual test results.",maybe,"The abstract doesn't report specific diagnostic accuracy measures (sensitivity, specificity). Instead, it focuses on epidemiological outcomes like case notification rates.",yes,"The study was conducted in a community setting (mass screening campaign in South Tyrol), so this criterion is met.",yes,"The study does evaluate rapid antigen tests (RAD tests) for SARS-CoV-2, so this criterion is met.",maybe,"While RAD tests are evaluated, there's no mention of RT-PCR as a reference standard. The study appears to focus on population-level outcomes rather than comparing test results against a reference standard.",Include,"The study involves rapid antigen tests for SARS-CoV-2 in a community setting, but lacks critical diagnostic accuracy elements such as reference standard comparison, specific age group reporting, and quantifiable diagnostic performance measures. While the research provides insights into mass screening campaign outcomes, it does not meet the comprehensive criteria for a diagnostic accuracy study. The analysis focuses more on epidemiological trends than precise test performance evaluation.",2.5
"In adults and children, a rapid POC antigen test for COVID-19 (LumiraDx) had ≥97% sensitivity and specificity vs. RT-PCR",T. Fekete,10.7326/ACPJ202107200-082,https://doi.org/10.7326/ACPJ202107200-082,Annals of Internal Medicine,2,2021,no,The abstract provides no information about participant age groups or whether data is reported separately for adults.,yes,"The title indicates this is a ""clinical performance study"" which suggests it's a primary diagnostic accuracy study.",maybe,"The abstract does not explicitly state whether rapid antigen test results are reported separately, but the title suggests this is a specific immunoassay study, which implies separate reporting.",maybe,"The abstract mentions ""clinical performance"" but doesn't explicitly state whether it reports sensitivity, specificity, or other accuracy measures.",yes,"The title mentions ""point of care"" which suggests a clinical setting.",yes,"The study evaluates a ""SARS-CoV-2 nucleocapsid immunoassay"" which appears to be a rapid antigen test.",maybe,"While the test type appears to be a point-of-care immunoassay, the abstract doesn't explicitly mention RT-PCR as the reference standard.",Include,"A SARS-CoV-2 nucleocapsid immunoassay study appears to meet several screening criteria, including test methodology and study design, with potential for diagnostic accuracy reporting. However, significant information gaps exist regarding population age, reference standard, and specific outcome measures, creating substantial uncertainty about full compliance with screening requirements.",3.4
Influence of seasonal and operator variations on diagnostic accuracy of lateral flow devices during the COVID-19 pandemic: a systematic review and meta-analysis,"A. Krishnamoorthy, S. Chandrapalan, Gohar JalayeriNia, Yaqza Hussain, A. Bannaga, I. I. Lei, R. Arasaradnam",10.7861/clinmed.2022-0319,https://doi.org/10.7861/clinmed.2022-0319,Clinical medicine (London),4,2023,maybe,"The abstract does not explicitly specify the age range of participants, creating some uncertainty about whether the study only includes non-pregnant adult participants or if the data of adult participants are reported separately.",yes,"The study is a systematic review and meta-analysis of diagnostic accuracy studies, which meets the criterion of being a primary diagnostic accuracy study or meta-analysis reporting original data.",yes,"The study reports rapid antigen test results separately from other test types, as indicated by the abstract providing specific sensitivity and specificity values for the lateral flow tests (LFTs).",yes,"The study clearly reports quantifiable diagnostic accuracy data, including pooled sensitivity (72%) and specificity (100%) with confidence intervals, meeting this criterion.",maybe,"While not explicitly stated, the context suggests the study was conducted in clinical and community settings, as it discusses both staff operation and self-operation of tests, likely meeting this criterion.",yes,"The study specifically focuses on lateral flow tests (LFTs), which are point-of-care rapid antigen tests, meeting this criterion.",yes,"The abstract explicitly states that the LFTs are compared with PCR tests as the reference standard, meeting this criterion.",Include,"A systematic review and meta-analysis of lateral flow tests for SARS-CoV-2 demonstrates strong diagnostic accuracy with PCR as the reference standard, reporting clear sensitivity and specificity metrics. The study comprehensively evaluates point-of-care rapid antigen tests across multiple settings, though some uncertainty exists regarding the precise age range of participants. Overall, the research provides robust evidence for the diagnostic performance of lateral flow tests in detecting COVID-19.",4.3
"The Abbott PanBio WHO emergency use listed, rapid, antigen-detecting point-of-care diagnostic test for SARS-CoV-2—Evaluation of the accuracy and ease-of-use","L. J. Krüger, M. Gaeddert, F. Tobian, F. Lainati, Claudius Gottschalk, J. Klein, P. Schnitzler, H. Kräusslich, O. Nikolai, A. Lindner, F. Mockenhaupt, J. Seybold, V. Corman, C. Drosten, N. Pollock, B. Knorr, A. Welker, M. de Vos, J. Sacks, C. Denkinger",10.1371/journal.pone.0247918,https://doi.org/10.1371/journal.pone.0247918,PLoS ONE,38,2021,maybe,"The abstract doesn't explicitly state the age range of participants, so it's unclear if the study only includes non-pregnant adult participants or if the data of adult participants are reported separately.",yes,"The study is explicitly described as a ""prospective, multi-centre diagnostic accuracy study"" with original data collection.",yes,The study clearly reports rapid antigen test results (Abbott PanBio) separately from RT-PCR results.,yes,"The study reports clear diagnostic accuracy data, including sensitivity (86.8%) and specificity (99.9%) with confidence intervals.",yes,The study was conducted in clinical settings (multi-centre study in Germany).,yes,The study specifically evaluates a rapid antigen test (Abbott PanBio Ag-RDT) for SARS-CoV-2.,yes,The study uses RT-PCR as the reference standard and evaluates a point-of-care rapid antigen test.,Include,"A comprehensive diagnostic accuracy study of a rapid antigen test for SARS-CoV-2, conducted in clinical settings with RT-PCR as the reference standard, reporting detailed sensitivity and specificity data. The research meets most screening criteria, with only minor uncertainty regarding participant age range, but demonstrates robust methodology and clear reporting of diagnostic performance metrics.",4.6
FebriDx point-of-care test in patients with suspected COVID-19: a systematic review and individual patient data meta-analysis of diagnostic test accuracy studies,"Samuel G Urwin, B. C. Lendrem, Jana Suklan, Kile Green, S. Graziadio, P. Buckle, Paul, M. Dark, Adam L. Gordon, D. Lasserson, Brian Nicholson, D. A. Price, Charles, Reynard, M. Wilcox, G. Hayward, Graham Prestwich, V. Tate, W. Tristan, Clark, Raja V. Reddy, Hamish Houston, A. Gupta-Wright, L. John, Richard, Body, A. Allen",-,-,-,0,2021,maybe,"The study includes adult patients, with age ranges specified as 16-73 years and >73 years. While it includes some participants under 18 (16-17 years), the data is analyzed separately for different age groups.",yes,The study is a systematic review and IPD meta-analysis that includes original data from primary diagnostic accuracy studies.,yes,The study reports rapid antigen test results (FebriDx lateral flow device) separately from other test types (RT-PCR).,yes,"The study clearly reports quantifiable diagnostic accuracy data, including pooled sensitivity (0.911) and specificity (0.868) with 95% CIs.",yes,"The study was conducted in a clinical setting, as the abstract mentions that patients received ""hospital care.""",yes,The study evaluates a lateral flow device (LFD) which is a type of rapid antigen test.,yes,The study explicitly uses RT-PCR as the reference standard for evaluating the FebriDx LFD.,Include,"A systematic review and meta-analysis of a rapid antigen test for COVID-19 demonstrates strong alignment with most screening criteria, including appropriate test methodology, reference standard, and outcome measures. The study reports diagnostic accuracy data from a clinical setting with adult participants, though it includes a small number of participants under 18 years old. Comprehensive analysis of sensitivity, specificity, and age-related subgroups provides robust evidence for the diagnostic test's performance.",4.6
The potential of SARS-CoV-2 antigen-detection tests in the screening of asymptomatic persons,"Jonas Wachinger, I. Olaru, Susanne Horner, P. Schnitzler, K. Heeg, C. Denkinger",10.1016/j.cmi.2021.07.020,https://doi.org/10.1016/j.cmi.2021.07.020,Clinical Microbiology and Infection,19,2021,maybe,"The abstract doesn't explicitly state the age range of participants. While it mentions ""patients presenting for elective procedures and selected personnel,"" it doesn't specify if they're all adults or if pediatric data is included.",yes,This is a primary diagnostic accuracy study evaluating the performance of Ag-RDTs in a real-world setting.,yes,"The study clearly reports rapid antigen test results separately, with specific numbers for positive and negative results (222 positive results, 94 false negatives).",yes,"The study reports quantifiable diagnostic accuracy data, specifically positive predictive value (86.7%) and discusses false negatives.",yes,The study was conducted in a clinical setting (tertiary care hospital) and includes community screening.,yes,The study specifically evaluates antigen-based rapid diagnostic tests (Ag-RDTs) for SARS-CoV-2.,yes,"The study uses point-of-care Ag-RDTs and confirms positive results with PCR testing, which serves as the reference standard.",Include,"A comprehensive diagnostic accuracy study of rapid antigen tests for SARS-CoV-2 was conducted in a clinical setting, utilizing point-of-care testing with PCR as a reference standard and reporting detailed performance metrics. The research evaluated 49,542 tests across 27,421 asymptomatic individuals, providing robust data on test performance with clear quantifiable outcomes. The only potential limitation was the lack of explicit confirmation regarding participant age range.",4.3
Evaluation of the test accuracy of a SARS-CoV-2 rapid antigen test in symptomatic community dwelling individuals in the Netherlands,"N. Van der Moeren, V. Zwart, E. Lodder, W. van den Bijllaardt, Harald R J M Van Esch, J. Stohr, J. Pot, I. Welschen, P. V. Van Mechelen, S. Pas, J. Kluytmans",10.1371/journal.pone.0250886,https://doi.org/10.1371/journal.pone.0250886,PLoS ONE,26,2021,yes,"The abstract specifically mentions ""adults"" as the study population, indicating participants are 18+ years.",yes,This is a primary diagnostic accuracy study evaluating the BD Veritor System for Rapid Detection of SARS-CoV-2 against qRT-PCR.,yes,"The study clearly reports rapid antigen test results (VRD) separately from RT-PCR results, with specific sensitivity and specificity values provided.",yes,"The study reports clear diagnostic accuracy data, including sensitivity (94.1% and 78.9% in different parts) and specificity (100%).",yes,"The study was conducted in Municipal Health Service (MHS) COVID-19 test centers, which represents a clinical/community setting.",yes,The study explicitly evaluates a rapid antigen test (BD Veritor System) rather than antibody or laboratory-based tests.,yes,The study uses RT-PCR as the reference standard and evaluates a point-of-care rapid antigen test.,Include,"A comprehensive diagnostic accuracy study of a rapid antigen test for SARS-CoV-2 was conducted among adult participants in a clinical setting, using RT-PCR as the reference standard. The research meticulously reported quantifiable diagnostic accuracy measures, including sensitivity and specificity, with clear stratification by symptom onset and viral load. All key screening criteria were met, demonstrating a robust methodology for evaluating point-of-care COVID-19 testing.",4.9
Diagnostic Accuracy of Rapid Antigen Tests in Asymptomatic Close Contacts of Individuals With Confirmed SARS-CoV-2 Infections in the Herat Province of Afghanistan in 2021: Cross-sectional Study (Preprint),Ahmad Amirnajad,10.2196/preprints.36575,https://doi.org/10.2196/preprints.36575,-,2,2022,maybe,"The study includes participants aged 11-90 years, with a median age of 35. The abstract doesn't indicate whether adult data is reported separately from pediatric data.",yes,This is a primary diagnostic accuracy study comparing rapid antigen tests against RT-PCR in a cross-sectional design.,yes,"The study clearly reports rapid antigen test results separately from RT-PCR results, with specific numbers provided (30 cases confirmed by rapid antigen test vs 105 by RT-PCR).",yes,"The study reports quantifiable diagnostic accuracy data, specifically sensitivity (20.1%) and specificity (90%).",yes,The study was conducted in a clinical/community setting through contact-tracing surveillance teams.,yes,The study specifically evaluates rapid antigen tests (Biosensor brand) for SARS-CoV-2 detection.,yes,The study uses point-of-care rapid antigen tests and RT-PCR as the reference standard.,Include,"A diagnostic accuracy study comparing rapid antigen tests with RT-PCR in COVID-19 contact tracing, demonstrating low sensitivity (20.1%) and high specificity (90%) across a diverse age range. The research meets most screening criteria, with the primary limitation being the inclusion of participants under 18 years without separate adult data reporting. The study provides valuable insights into rapid antigen test performance in a resource-constrained setting.",4
Head-to-head comparison of SARS-CoV-2 antigen-detecting rapid test with self-collected anterior nasal swab versus professional-collected nasopharyngeal swab,"A. Lindner, O. Nikolai, F. Kausch, M. Wintel, F. Hommes, M. Gertler, L. J. Krüger, M. Gaeddert, F. Tobian, F. Lainati, Lisa Köppel, J. Seybold, V. Corman, V. Corman, Christian Drosten, Christian Drosten, J. Hofmann, J. Sacks, F. Mockenhaupt, C. Denkinger",10.1101/2020.10.26.20219600,https://doi.org/10.1101/2020.10.26.20219600,medRxiv,130,2020,maybe,"The abstract doesn't explicitly state the age range of participants, so it's unclear if the study only includes non-pregnant adult participants or if the data of adult participants are reported separately.",yes,"The study is explicitly described as a ""manufacturer-independent, prospective diagnostic accuracy study"" with original data collection.",yes,"The study clearly reports rapid antigen test results separately, with detailed accuracy metrics for the STANDARD Q COVID-19 Ag Test.",yes,"The study reports clear diagnostic accuracy data including sensitivity, specificity, and positive/negative agreement with confidence intervals.",yes,"While not explicitly stated, the context suggests a clinical setting with professional healthcare personnel involvement.",yes,The study specifically evaluates a rapid antigen test (STANDARD Q COVID-19 Ag Test) and not antibody or laboratory-based tests.,yes,"The study uses a point-of-care rapid antigen test and RT-PCR as the reference standard, explicitly stated in the methods.",Include,"A comprehensive diagnostic accuracy study of a rapid antigen test for SARS-CoV-2 demonstrates strong methodological rigor, utilizing RT-PCR as a reference standard and reporting detailed sensitivity and specificity metrics. The research effectively compares anterior nasal and nasopharyngeal sampling techniques, with only minor uncertainty regarding participant age range. Overall, the study provides robust evidence for the diagnostic performance of point-of-care antigen testing.",4.6
Evaluation of an antigen-based test for hospital point-of-care diagnosis of SARS-CoV-2 infection,"G. Bianco, M. Boattini, A. Barbui, G. Scozzari, F. Riccardini, M. Coggiola, E. Lupia, R. Cavallo, C. Costa",10.1016/j.jcv.2021.104838,https://doi.org/10.1016/j.jcv.2021.104838,Journal of Clinical Virology,24,2021,maybe,"The study mentions both adult and pediatric emergency departments, so it's not clear if the results are reported separately for adults. This creates some uncertainty.",yes,This is a primary diagnostic accuracy study comparing the LumiraDx POCT against a reference standard.,yes,"The study clearly reports rapid antigen test results separately, with detailed sensitivity, specificity, PPV, and NPV values provided.",yes,"The study reports detailed diagnostic accuracy measures including sensitivity, specificity, PPV, and NPV with confidence intervals.",yes,The study was conducted in a clinical setting (hospital emergency departments and occupational medicine department).,yes,The study specifically evaluates a rapid antigen point-of-care test (SARS-CoV-2 Ag Test on the LumiraDx Platform).,yes,The study uses a rapid antigen POCT and compares it against Xpert Xpress SARS-CoV-2 assay (a NAAT/RT-PCR-based test) as the reference standard.,Include,"A diagnostic accuracy study of a rapid antigen point-of-care test for SARS-CoV-2 was conducted in a hospital setting, comparing test results against a reference standard and reporting comprehensive diagnostic performance metrics. The study evaluated the test across symptomatic and asymptomatic groups, providing detailed sensitivity, specificity, and predictive value data. While most screening criteria were clearly met, some uncertainty exists regarding the separate reporting of adult participant data.",4.3
