"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Publisher","Address","Date published","URLs","DOI","Notes"
"Journal Article","Bell JF,Krupski A,Joesch JM,West II,Atkins DC,Court B","A randomized controlled trial of intensive care management for disabled Medicaid beneficiaries with high health care costs","Health Services Research","Health Services Research","2015","50","3","663-689","","","2015","http://dx.doi.org/10.1111/1475-6773.12258","10.1111/1475-6773.12258","Ineligible intervention"
"Journal Article","Berinstein J,Greenberg G,Cohen-Mekelburg S,Higgins PD","Clinical coordination and intense proactive monitoring to improve utilisation of resources and reduce expenditures in high-rigk IBD patients (CAPTURE IBD): a randomized, controlled quality improvement trial","Gastroenterology","Gastroenterology","2021","160","6","S‐156","","","2021","http://dx.doi.org/10.1016/S0016-5085(21)01124-0","10.1016/S0016-5085(21)01124-0","Conference presentation"
"Journal Article","Biese KJ,Busby-Whitehead J,Cai J,Stearns SC,Roberts E,Mihas P","Telephone follow-up for older adults discharged to home from the emergency department: a pragmatic randomized controlled trial","Journal of the American Geriatrics Society","Journal of the American Geriatrics Society","2018","66","3","452-458","","","2018","http://dx.doi.org/10.1111/jgs.15142","10.1111/jgs.15142","Ineligible intervention"
"Journal Article","Binswanger IA,Whitley E,Haffey P-R,Mueller S,Min S-J","Patient navigation for former prison inmates: a pilot randomized controlled trial","Journal of General Internal Medicine","Journal of General Internal Medicine","2012","27","","S265","","","2012","","","Ineligible patient population"
"Journal Article","Binswanger IA,Whitley E,Haffey PR,Mueller SR,Min SJ","A patient navigation intervention for drug-involved former prison inmates","Journal of Substance Abuse Treatment","Journal of Substance Abuse Treatment","2015","36","1","34-41","","","2015","http://dx.doi.org/10.1080/08897077.2014.932320","10.1080/08897077.2014.932320","Care navigator - not a clinician"
"Journal Article","Bodenmann P,Velonaki V-S,Baggio S,Iglesias K,Moschetti K,Ruggeri O","Case management for emergency department frequent users: a randomized controlled trial","Praxis International Journal of Social Science and Literature","Praxis International Journal of Social Science and Literature","2015","104","","17‐8","","","2015","http://dx.doi.org/10.1024/1661-8157/a001994","10.1024/1661-8157/a001994","Ineligible intervention"
"Journal Article","Bodenmann P,Velonaki V-S,Baggio S,Iglesias K,Moschetti K,Ruggeri O","Frequent users of the emergency department in a universal health coverage system: a randomized controlled trial of a case-management intervention","Journal of General Internal Medicine","Journal of General Internal Medicine","2015","30","","S167","","","2015","","","Ineligible intervention"
"Journal Article","Bodenmann P,Velonaki VS,Griffin JL,Baggio S,Iglesias K,Moschetti K","Case management may reduce emergency department frequent use in a universal health coverage system: a randomized controlled trial","Journal of General Internal Medicine","Journal of General Internal Medicine","2017","32","5","508-515","","","2017","http://dx.doi.org/10.1007/s11606-016-3789-9","10.1007/s11606-016-3789-9","Care navigator - delivering clinical care"
"Journal Article","Boer L,Schermer T,Koopman A,Peters J,Heijdra Y,Vercoulen J","Effects of case management on hospitalisation and exacerbation rate in severe, complex COPD: a randomized controlled trial","European Respiratory Journal","European Respiratory Journal","2011","38","","1248","","","2011","","","Conference presentation"
"Journal Article","Bond GR,Miller LD,Krumwied RD,Ward RS","Assertive case management in three CMHCs: a controlled study","Hospital & Community Psychiatry","Hospital & Community Psychiatry","1988","39","4","411-418","","","1988","","","Ineligible intervention"
"Journal Article","Boult C,Reider L,Leff B,Frick KD,Boyd CM,Wolff JL","The effect of guided care teams on the use of health services: results from a cluster-randomized controlled trial","Archives of Internal Medicine","Archives of Internal Medicine","2011","171","5","460-466","","","2011","http://dx.doi.org/10.1001/archinternmed.2010.540","10.1001/archinternmed.2010.540","Care navigator - delivering clinical care"
"Journal Article","Brown AF,Behforouz H,Shah A,Lewis J,Ettner S,Porter C","The care connections program: a randomized trial of community health workers to improve care for medically and socially complex patients","Journal of General Internal Medicine","Journal of General Internal Medicine","2020","35","SUPPL 1","S288","","","2020","http://dx.doi.org/10.1007/s11606-020-05890-3","10.1007/s11606-020-05890-3","Conference presentation"
"Journal Article","Bruce ML,Lohman MC,Greenberg RL,Bao Y,Raue PJ","Integrating depression care management into Medicare home health reduces risk of 30- and 60-day hospitalization: the Depression Care for Patients at Home cluster-randomized trial","Journal of the American Geriatrics Society","Journal of the American Geriatrics Society","2016","64","11","2196-2203","","","2016","http://dx.doi.org/10.1111/jgs.14440","10.1111/jgs.14440","Ineligible intervention"
"Miscellaneous","CTRI/2015/09/006192","Effectiveness of a nursing intervention programme (nurse navigator programme) in breast cancer patients","https://ctri.nic.in/Clinicaltrials/pmaindet2.php?EncHid=MTE1MjI=&Enc=&userName=","https://ctri.nic.in/Clinicaltrials/pmaindet2.php?EncHid=MTE1MjI=&Enc=&userName=","","","","","","","","","","Protocol or abstract without results"
"Miscellaneous","CTRI/2020/02/023511","A study to assess the Patient navigation and symptom reporting with patient reported outcome in lung cancer patient","https://ctri.nic.in/Clinicaltrials/pmaindet2.php?EncHid=NDA0MjQ=&Enc=&userName=","https://ctri.nic.in/Clinicaltrials/pmaindet2.php?EncHid=NDA0MjQ=&Enc=&userName=","","","","","","","","","","Protocol or abstract without results"
"Journal Article","Cao G,Xie M,Xu Y,Huang J,Liang J,Tao B","A quasi-randomized controlled trial of an integrated healthcare model for patients with coronary heart disease","Reviews in Cardiovascular Medicine","Reviews in Cardiovascular Medicine","2022","23","7","234","","","2022","http://dx.doi.org/10.31083/J.RCM2307234","10.31083/J.RCM2307234","Ineligible intervention"
"Journal Article","Capp R,Kelley L,Ellis P,Carmona J,Lofton A,Cobbs-Lomax D","A feasibility and acceptability study: enrollment of medicaid frequent ed users in a navigation program to decrease barriers to outpatient care","Academic Emergency Medicine","Academic Emergency Medicine","2014","21","5","S143-4","","","2014","http://dx.doi.org/10.1111/acem.12365","10.1111/acem.12365","Conference presentation"
"Journal Article","Carter J,Walton A,Donelan K,Thorndike A","Implementing community health worker-patient pairings at the time of hospital discharge: a randomized control trial","Contemporary Clinical Trials","Contemporary Clinical Trials","2018","74","","32-37","","","2018","http://dx.doi.org/10.1016/j.cct.2018.09.013","10.1016/j.cct.2018.09.013","Protocol or abstract without results"
"Journal Article","Carter J,Hassan S,Walton A,Yu L,Donelan K,Thorndike AN","Effect of community health workers on 30-day hospital readmissions in an accountable care organization population: a randomized clinical trial","JAMA Network Open","JAMA Network Open","2021","4","5","e2110936","","","2021","http://dx.doi.org/10.1001/jamanetworkopen.2021.10936","10.1001/jamanetworkopen.2021.10936","Ineligible intervention"
"Journal Article","Chan B,Edwards ST,Mitchell M,Nicolaidis C,Kansagara D,Korthuis PT","Can an intensive ambulatory care intervention improve the experience of high-utilizing patients?: 6-month outcomes of the summit randomized controlled trial","Journal of General Internal Medicine","Journal of General Internal Medicine","2019","34","2","S151","","","2019","http://dx.doi.org/10.1007/11606.1525-1497","10.1007/11606.1525-1497","Full text not available"
"Journal Article","Chow SK,Wong FK","A randomized controlled trial of a nurse-led case management programme for hospital-discharged older adults with co-morbidities","Journal of Advanced Nursing","Journal of Advanced Nursing","2014","70","10","2257-2271","","","2014","http://dx.doi.org/10.1111/jan.12375","10.1111/jan.12375","Ineligible intervention"
"Journal Article","Connolly MJ,Broad JB,Boyd M,Zhang TX,Kerse N,Foster S","The 'Big Five'. Hypothesis generation: a multidisciplinary intervention package reduces disease-specific hospitalisations from long-term care: a post hoc analysis of the ARCHUS cluster-randomised controlled trial","Age and Ageing","Age and Ageing","2016","45","3","415-420","","","2016","http://dx.doi.org/10.1093/ageing/afw037","10.1093/ageing/afw037","Ineligible intervention"
"Journal Article","Coskun S,Duygulu S","The effects of nurse led transitional care model on elderly patients undergoing open heart surgery: a randomized controlled trial","European Journal of Cardiovascular Nursing","European Journal of Cardiovascular Nursing","2022","21","1","46-55","","","2022","http://dx.doi.org/10.1093/eurjcn/zvab005","10.1093/eurjcn/zvab005","Ineligible intervention"
"Journal Article","Cossette S,Vadeboncoeur A,Frasure-Smith N,McCusker J,Perreault D,Guertin MC","Randomized controlled trial of a nursing intervention to reduce emergency department revisits","Canadian Journal of Emergency Medicine","Canadian Journal of Emergency Medicine","2015","17","1","13-20","","","2015","http://dx.doi.org/10.2310/8000.2013.131291","10.2310/8000.2013.131291","Ineligible intervention"
"Journal Article","Counsell SR,Callahan CM,Clark DO,Tu W,Buttar AB,Stump TE","Geriatric care management for low-income seniors: a randomized controlled trial","JAMA","JAMA","2007","298","22","2623-2633","","","2007","","","Ineligible intervention"
"Journal Article","Courtney M,Edwards H,Chang A,Parker A,Finlayson K,Hamilton K","Fewer emergency readmissions and better quality of life for older adults at risk of hospital readmission: a randomized controlled trial to determine the effectiveness of a 24-week exercise and telephone follow-up program","Journal of the American Geriatrics Society","Journal of the American Geriatrics Society","2009","57","3","395-402","","","2009","http://dx.doi.org/10.1111/j.1532-5415.2009.02138.x","10.1111/j.1532-5415.2009.02138.x","Ineligible intervention"
"Journal Article","Craig TK,Garety P,Power P,Rahaman N,Colbert S,Fornells-Ambrojo M","The Lambeth Early Onset (LEO) Team: randomised controlled trial of the effectiveness of specialised care for early psychosis","BMJ","BMJ","2004","329","7474","1067","","","2004","","","Ineligible intervention"
"Journal Article","Craig TK,Johnson S,McCrone P,Afuwape S,Hughes E,Gournay K","Integrated care for co-occurring disorders: psychiatric symptoms, social functioning, and service costs at 18 months","Psychiatric Services","Psychiatric Services","2008","59","3","276-282","","","2008","http://dx.doi.org/10.1176/ps.2008.59.3.276","10.1176/ps.2008.59.3.276","Ineligible outcomes"
"Journal Article","Cramer JS,Sibley RF,Bartlett DP,Kahn LS,Loffredo L","An adaptation of the diabetes prevention program for use with high-risk, minority patients with type 2 diabetes","Diabetes Education","Diabetes Education","2007","33","3","503-508","","","2007","","","Ineligible intervention"
"Journal Article","Creed F,Burns T,Butler T,Byford S,Murray R,Thompson S","Comparison of intensive and standard case management for patients with psychosis: rationale of the trial","British Journal of Psychiatry","British Journal of Psychiatry","1999","174","","74-78","","","1999","http://dx.doi.org/10.1192/bjp.174.1.74","10.1192/bjp.174.1.74","Protocol or abstract without results"
"Journal Article","Crotty M,Rowett D,Spurling L,Giles LC,Phillips PA","Does the addition of a pharmacist transition coordinator improve evidence-based medication management and health outcomes in older adults moving from the hospital to a long-term care facility? Results of a randomized, controlled trial","American Journal of Geriatric Pharmacotherapy","American Journal of Geriatric Pharmacotherapy","2004","2","4","257-264","","","2004","","","Ineligible intervention"
"Miscellaneous","DRKS00009233","Telemedical supported aftercare in the first post-operative year for transplanted patients after living-donor kidney donation, postmortal kidney donation and combined pancreas-/kidney donation","https://drks.de/search/en/trial/DRKS00009233","https://drks.de/search/en/trial/DRKS00009233","","","","","","","","","","Protocol or abstract without results"
"Unpublished","DRKS00013199","","","","","","","","","","","","","Protocol or abstract without results"
"Journal Article","Daly BJ,Douglas SL,Kelley CG,O'Toole E,Montenegro H","Trial of a disease management program to reduce hospital readmissions of the chronically critically ill","Chest","Chest","2005","128","2","507-517","","","2005","","","Ineligible intervention"
"Journal Article","DeBusk RF,Miller NH,Parker KM,Bandura A,Kraemer HC,Cher DJ","Care management for low-risk patients with heart failure: a randomized, controlled trial","Annals of Internal Medicine","Annals of Internal Medicine","2004","141","8","606-613","","","2004","","","Ineligible intervention"
"Journal Article","DeSalvo JM,Young GS,Krok-Schoen JL,Paskett ED","Characterizing time to diagnostic resolution after an abnormal cancer screening exam in older adult participants in the Ohio patient navigation research program","Journal of Aging and Health","Journal of Aging and Health","2018","30","8","1284-1304","","","2018","http://dx.doi.org/10.1177/0898264317715184","10.1177/0898264317715184","Ineligible intervention"
"Journal Article","Di Pollina L,Guessous I,Petoud V,Combescure C,Buchs B,Schaller P","Integrated care at home reduces unnecessary hospitalizations of community-dwelling frail older adults: a prospective controlled trial","BMC Geriatrics","BMC Geriatrics","2017","17","1","53","","","2017","http://dx.doi.org/10.1186/s12877-017-0449-9","10.1186/s12877-017-0449-9","Care navigator - delivering clinical care"
"Journal Article","Diplock G,Ward J,Stewart S,Scuffham P,Stewart P,Reeve C","The Alice Springs Hospital Readmission Prevention Project (ASHRAPP): a randomised control trial","BMC Health Services Research","BMC Health Services Research","2017","17","1","153","","","2017","http://dx.doi.org/10.1186/s12913-017-2077-7","10.1186/s12913-017-2077-7","Protocol or abstract without results"
"Journal Article","Domingues FB,Clausell N,Aliti GB,Dominguez DR,Rabelo ER","Education and telephone monitoring by nurses of patients with heart failure: randomized clinical trial","Arquivos Brasileiros de Cardiologia Imagem Cardiovascular","Arquivos Brasileiros de Cardiologia Imagem Cardiovascular","2011","96","3","233-239","","","2011","","","Ineligible outcomes"
"Journal Article","Yu DS-F,Lee DT,Stewart S,Thompson DR,Choi KC,Yu CM","The effects of a nurse-led empowerment-based disease management program on clinical outcomes, self-care and health-related quality of life among Chinese patients with heart failure","European Journal of Heart Failure","European Journal of Heart Failure","2014","16","","60","","","2014","http://dx.doi.org/10.1002/ejhf.93_4","10.1002/ejhf.93_4","Conference presentation"
"Journal Article","Dorr DA,Wilcox AB,Brunker CP,Burdon RE,Donnelly SM","The effect of technology-supported, multidisease care management on the mortality and hospitalization of seniors","Journal of the American Geriatrics Society","Journal of the American Geriatrics Society","2008","56","12","2195-2202","","","2008","http://dx.doi.org/10.1111/j.1532-5415.2008.02005.x","10.1111/j.1532-5415.2008.02005.x","Ineligible study design"
"Journal Article","Ducharme A,Doyon O,White M,Rouleau JL,Brophy JM","Impact of care at a multidisciplinary congestive heart failure clinic: a randomized trial","Canadian Medical Association Journal","Canadian Medical Association Journal","2005","173","1","40-45","","","2005","","","Ineligible intervention"
"Journal Article","Duflos C,Labarre JP,Ologeanu R,Robin M,Cayla G,Galinier M","PRADOC: a trial on the efficiency of a transition care management plan for hospitalized patients with heart failure in France","ESC Heart Failure","ESC Heart Failure","2021","8","2","1649-1655","","","2021","http://dx.doi.org/10.1002/ehf2.13086","10.1002/ehf2.13086","Protocol or abstract without results"
"Journal Article","Dunagan WC,Littenberg B,Ewald GA,Jones CA,Emery VB,Waterman BM","Randomized trial of a nurse-administered, telephone-based disease management program for patients with heart failure","Journal of Cardiac Failure","Journal of Cardiac Failure","2005","11","5","358-365","","","2005","","","Ineligible intervention"
"Journal Article","Eastwood J","Big data evaluation of an integrated care initiative for vulnerable families","International Journal of Integrated Care","International Journal of Integrated Care","2019","19","S1","1-2","","","2019","http://dx.doi.org/10.5334/ijic.s3084","10.5334/ijic.s3084","Conference presentation"
"Journal Article","Edgren G,Anderson J,Dolk A,Torgerson J,Nyberg S,Skau T","""Active health management"" can provide support for vulnerable patients. New model for the prevention of unplanned healthcare","Lakartidningen","Lakartidningen","2016","113","","DUEX","","","2016","","","Duplicate"
"Journal Article","Ekdahl AW,Wirehn AB,Alwin J,Jaarsma T,Unosson M,Husberg M","Costs and effects of an ambulatory geriatric unit (the AGe-FIT Study): a randomized controlled trial","Journal of the American Medical Directors Association","Journal of the American Medical Directors Association","2015","16","6","497-503","","","2015","http://dx.doi.org/10.1016/j.jamda.2015.01.074","10.1016/j.jamda.2015.01.074","Ineligible intervention"
"Journal Article","Ell K,Vourlekis B,Lee PJ,Xie B","Patient navigation and case management following an abnormal mammogram: a randomized clinical trial","Preventive Medicine","Preventive Medicine","2007","44","1","26-33","","","2007","","","Ineligible outcomes"
"Journal Article","Ellen F,Martina R,Klaus W","Trans-sectional intervention program to improve geriatric care in Regensburg [TIGER]: the transitional care model applied in Germany","European Geriatric Medicine","European Geriatric Medicine","2018","9","","S140","","","2018","http://dx.doi.org/10.1007/s41999-018-0097-4","10.1007/s41999-018-0097-4","Conference presentation"
"Journal Article","Elseroad S,Seaberg D,Dumas M,Mendiratta S,Whittle J,Holcombe J","Patient navigation for patients frequently visiting the emergency department","Academic Emergency Medicine","Academic Emergency Medicine","2016","23","","S220","","","2016","http://dx.doi.org/10.1111/acem.12974","10.1111/acem.12974","Conference presentation"
"Journal Article","Enard KR,Nevarez L,Hernandez M,Hovick SR,Moguel MR,Hajek RA","Patient navigation to increase colorectal cancer screening among Latino Medicare enrollees: a randomized controlled trial","Cancer Causes Control","Cancer Causes Control","2015","26","9","1351-1359","","","2015","http://dx.doi.org/10.1007/s10552-015-0620-6","10.1007/s10552-015-0620-6","Ineligible outcomes"
"Journal Article","Englander H,Michaels L,Chan B,Kansagara D","The care transitions innovation (C-TraIn) for socioeconomically disadvantaged adults: results of a cluster randomized controlled trial","Journal of General Internal Medicine","Journal of General Internal Medicine","2014","29","11","1460-1467","","","2014","http://dx.doi.org/10.1007/s11606-014-2903-0","10.1007/s11606-014-2903-0","Ineligible study design"
"Journal Article","Englander H,Michaels L,Chan B,Kansagara D","The care transitions innovation (C-train) for socioeconomically disadvantaged adults, results of a clustered randomized controlled trial","Journal of General Internal Medicine","Journal of General Internal Medicine","2014","29","","S221","","","2014","","","Ineligible study design"
"Journal Article","Entesari-Tatafi D,Stevens J,Hayles R,Bell J,Steinfort C","Telemedicine to deliver personalised health care in chronic obstructive pulmonary disease may reduce hospital admissions","Respirology","Respirology","2017","22","","128","","","2017","http://dx.doi.org/10.1111/resp.13010","10.1111/resp.13010","Ineligible intervention"
"Journal Article","Fan VS,Gaziano JM,Lew R,Bourbeau J,Adams SG,Leatherman S","A comprehensive care management program to prevent chronic obstructive pulmonary disease hospitalizations: a randomized, controlled trial","Annals of Internal Medicine","Annals of Internal Medicine","2012","156","10","673-683","","","2012","http://dx.doi.org/10.7326/0003-4819-156-10-201205150-00003","10.7326/0003-4819-156-10-201205150-00003","Ineligible intervention"
"Journal Article","Feldman CH,Wohlfahrt A,Campos A,Gagne JJ,Iversen,Massarotti E","Can patient navigators improve adherence to disease-modifying antirheumatic drugs? Quantitative findings from a six-month single-arm pilot intervention","Arthritis Care & Research","Arthritis Care & Research","2018","70","9","1400-1405","","","2018","http://dx.doi.org/10.1002/acr.23302","10.1002/acr.23302","Ineligible intervention"
"Journal Article","Finkelstein A,Zhou A,Taubman S,Doyle J","Health care hotspotting - A randomized, controlled trial","New Englan Journal of Medicine","New Englan Journal of Medicine","2020","382","2","152-162","","","2020","http://dx.doi.org/10.1056/NEJMsa1906848","10.1056/NEJMsa1906848","Ineligible intervention"
"Journal Article","Finlayson K,Chang AM,Courtney,Edwards HE,Parker AW,Hamilton K","Transitional care interventions reduce unplanned hospital readmissions in high-risk older adults","BMC Health Services Research","BMC Health Services Research","2018","18","1","956","","","2018","http://dx.doi.org/10.1186/s12913-018-3771-9","10.1186/s12913-018-3771-9","Ineligible intervention"
"Journal Article","Fishbane S,Agoritsas S,Bellucci A,Halinski C,Shah HH,Sakhiya V","Augmented nurse care management in CKD Stages 4 to 5: a randomized trial","American Journal of Kidney Diseases","American Journal of Kidney Diseases","2017","70","4","498-505","","","2017","http://dx.doi.org/10.1053/j.ajkd.2017.02.366","10.1053/j.ajkd.2017.02.366","Care navigator - delivering clinical care"
"Journal Article","Foster SJ,Boyd M,Broad JB,Whitehead N,Kerse N,Lumley T","Aged Residential Care Health Utilisation Study (ARCHUS): a randomised controlled trial to reduce acute hospitalisations from residential aged care","BMC Geriatrics","BMC Geriatrics","2012","12","","54","","","2012","http://dx.doi.org/10.1186/1471-2318-12-54","10.1186/1471-2318-12-54","Protocol or abstract without results"
"Journal Article","Freund T,Peters-Klimm F,Boyd CM,Mahler C,Gensichen J,Erler A","Medical assistant-based care management for high-risk patients in small primary care practices: a cluster randomized clinical trial","Annals of Internal Medicine","Annals of Internal Medicine","2016","164","5","323-330","","","2016","http://dx.doi.org/10.7326/M14-2403","10.7326/M14-2403","Ineligible intervention"
"Journal Article","Gagnon AJ,Schein C,McVey L,Bergman H","Randomized controlled trial of nurse case management of frail older people","Journal of the American Geriatrics Society","Journal of the American Geriatrics Society","1999","47","9","1118-1124","","","1999","","","Ineligible intervention"
"Journal Article","Gallo LC,Fortmann AL,Clark TL,Roesch SC,Bravin JI,Spierling Bagsic SR","Mi Puente (My Bridge) care transitions program for Hispanic/Latino adults with multimorbidity: results of a randomized controlled trial","Journal of General Internal Medicine","Journal of General Internal Medicine","2023","38","9","2098‐106","","","2023","http://dx.doi.org/10.1007/s11606-022-08006-1","10.1007/s11606-022-08006-1","Care navigator - delivering clinical care"
"Journal Article","Gary TL,Batts-Turner M,Bone LR,Yeh HC,Wang NY,Hill-Briggs F","A randomized controlled trial of the effects of nurse case manager and community health worker team interventions in urban African-Americans with type 2 diabetes","Controlled Clinical Trials","Controlled Clinical Trials","2004","25","1","53-66","","","2004","","","Protocol or abstract without results"
"Journal Article","Gary TL,Batts-Turner M,Yeh HC,Hill-Briggs F,Bone LR,Wang NY","The effects of a nurse case manager and a community health worker team on diabetic control, emergency department visits, and hospitalizations among urban African Americans with type 2 diabetes mellitus: a randomized controlled trial","Archives of Internal Medicine","Archives of Internal Medicine","2009","169","19","1788-1794","","","2009","http://dx.doi.org/10.1001/archinternmed.2009.338","10.1001/archinternmed.2009.338","Ineligible control group"
"Journal Article","Gellis ZD,Kenaley BL,Have TT","Integrated telehealth care for chronic illness and depression in geriatric home care patients: the Integrated Telehealth Education and Activation of Mood (I-TEAM) study","Journal of the American Geriatrics Society","Journal of the American Geriatrics Society","2014","62","5","889-895","","","2014","http://dx.doi.org/10.1111/jgs.12776","10.1111/jgs.12776","Ineligible intervention"
"Journal Article","Gilbert T,Occelli P,Rabilloud M,Poupon-Bourdy S,Riche B,Touzet S","A nurse-led bridging program to reduce 30-Day readmissions of older patients discharged from acute care units","Journal of the American Medical Directors Association","Journal of the American Medical Directors Association","2021","22","6","1292-99.e5","","","2021","http://dx.doi.org/10.1016/j.jamda.2020.09.015","10.1016/j.jamda.2020.09.015","Ineligible intervention"
"Journal Article","Godwin M,Gadag V,Pike A,Pitcher H,Parsons K,McCrate F","A randomized controlled trial of the effect of an intensive 1-year care management program on measures of health status in independent, community-living old elderly: the Eldercare project","Family Practice","Family Practice","2016","33","1","37-41","","","2016","http://dx.doi.org/10.1093/fampra/cmv089","10.1093/fampra/cmv089","Care navigator - delivering clinical care"
"Journal Article","Goldman LE,Sarkar U,Kessell E,Guzman D,Schneidermann M,Pierluissi E","Support from hospital to home for elders: a randomized trial","Annals of Internal Medicine","Annals of Internal Medicine","2014","161","7","472-481","","","2014","http://dx.doi.org/10.7326/M14-0094","10.7326/M14-0094","Ineligible intervention"
"Journal Article","Greineder DK,Loane KC,Parks P","A randomized controlled trial of a pediatric asthma outreach program","Journal of Allergy and Clinical Immunology","Journal of Allergy and Clinical Immunology","1999","103","3 Pt 1","436-440","","","1999","","","Ineligible intervention"
"Journal Article","Griswold KS,Homish GG,Pastore PA,Leonard KE","A randomized trial: are care navigators effective in connecting patients to primary care after psychiatric crisis?","Community Mental Health Journal","Community Mental Health Journal","2010","46","4","398-402","","","2010","http://dx.doi.org/10.1007/s10597-010-9300-x","10.1007/s10597-010-9300-x","Ineligible outcomes"
"Journal Article","Hanrahan NP,Solomon P,Hurford MO","A pilot randomized control trial: testing a transitional care model for acute psychiatric conditions","Journal of the American Psychiatric Nurses Association","Journal of the American Psychiatric Nurses Association","2014","20","5","315-327","","","2014","http://dx.doi.org/10.1177/1078390314552190","10.1177/1078390314552190","Ineligible intervention"
"Journal Article","Hansen TK,Pedersen LH,Shahla S,Damsgaard EM,Bruun JM,Gregersen M","Effects of a new early municipality-based versus a geriatric team-based transitional care intervention on readmission and mortality among frail older patients - a randomised controlled trial","Archives of Gerontology and Geriatrics","Archives of Gerontology and Geriatrics","2021","97","","104511","","","2021","http://dx.doi.org/10.1016/j.archger.2021.104511","10.1016/j.archger.2021.104511","Ineligible intervention"
"Journal Article","Hastings SN,Stechuchak KM,Coffman CJ,Mahanna EP,Weinberger M,Van Houtven CH","Discharge information and support for patients discharged from the Emergency Department: results from a randomized controlled trial","Journal of General Internal Medicine","Journal of General Internal Medicine","2020","35","1","79-86","","","2020","http://dx.doi.org/10.1007/s11606-019-05319-6","10.1007/s11606-019-05319-6","Ineligible intervention"
