"Title","Authors","DOI","DOI.link","Venue","Citation.count","Year","Study.Design","Reasoning.for..Study.Design.","Animal.Population.and.Model.Induction","Reasoning.for..Animal.Population.and.Model.Induction.","Experimental.Interventions","Reasoning.for..Experimental.Interventions..","Outcomes..Primary.and.Secondary.","Reasoning.for..Outcomes..Primary.and.Secondary..","Control.Interventions","Reasoning.for..Control.Interventions.","Primary.Research.Type","Reasoning.for..Primary.Research.Type.","Screening.judgement","Reasoning.for..Screening.judgement.","Screening.score","record_id","label","pages","volume","number","isbn","abstract"
"Identification of a Potent Human Trace Amine-Associated Receptor 1 Antagonist.","A. Decker, M. Brackeen, Aida Mohammadkhani, C. Kormos, D. Hesk, S. Borgland, B. Blough","10.1021/acschemneuro.2c00086","https://doi.org/10.1021/acschemneuro.2c00086","ACS Chemical Neuroscience",13,2022,"maybe","The abstract describes both in vitro (cAMP functional assay, radioligand binding) and in vivo (VTA dopaminergic neuron firing) experiments. While there are in vivo components, it's not clear if these were properly controlled experiments in the context of psychosis models.","no","The study uses mice for some experiments but does not indicate that these were models of psychosis. The animals were not subjected to psychosis-inducing interventions as required by the criteria. They appear to be normal mice used for basic pharmacological testing.","no","The study focuses on a TAAR1 antagonist (RTI-7470-44), not a TAAR1 agonist as required by the criteria. In fact, they use the TAAR1 agonist RO5166017 only as a control to demonstrate the antagonist's effects. This clearly fails to meet this critical criterion.","no","The study does not measure either of the co-primary outcomes (locomotor activity or PPI). The only behavioral/physiological outcome mentioned is VTA dopaminergic neuron firing rate, which would at best qualify as a secondary neurobiological measure.","maybe","The abstract doesn't describe the type of control interventions used in detail, but since this isn't a study of psychosis models, the control conditions specified in the criteria are not relevant.","yes","This is an original experimental study using both in vitro and animal models, so it meets this criterion.","Exclude","The study focuses on a TAAR1 antagonist and lacks key screening criteria, including the investigation of TAAR1 agonists in psychosis models and the required primary outcome measures of locomotor activity and prepulse inhibition. Despite being an original experimental study involving animal models, the research does not align with the specified screening requirements for inclusion.",0.1,"sr1_elicit_120","elicit_exclude","1082–1095","13","7","1948-7193",NA
"Receptors of mammalian trace amines","A. Lewin","10.1208/aapsj080116","https://doi.org/10.1208/aapsj080116","AAPS Journal",49,2008,"no","The abstract does not describe any in vivo controlled experiments, and instead only mentions ""preliminary in vitro data"" and appears to be more of a speculative/theoretical discussion about TAARs.","no","There is no mention of animal models of psychosis or any experimental animals in the abstract. The focus appears to be on general receptor function rather than testing specific interventions.","no","While the paper discusses TAARs, it does not investigate specific TAAR1 agonist compounds or medications. The focus appears to be on general receptor function rather than testing specific interventions.","no","None of the primary or secondary outcomes (locomotor activity, PPI, behavioral assays, dropouts, adverse events, or neurobiological measures) are mentioned in the abstract. The discussion is theoretical rather than experimental.","no","No control groups or interventions are mentioned in the abstract. Given this appears to be an in vitro study or review, control interventions are not discussed.","no","While this appears to be original research, it seems to be primarily in vitro work and theoretical discussion rather than an experimental study using animal models.","Exclude","The abstract describes an in vitro study exploring trace amine-associated receptors (TAARs) and their potential disease associations, lacking any experimental animal models of psychosis. No controlled experiments, specific TAAR1 agonist interventions, or relevant behavioral outcomes were presented, rendering the study incompatible with the systematic review's screening criteria. The theoretical nature of the research and absence of key methodological elements disqualify it from inclusion.",0.1,"sr1_elicit_121","elicit_exclude","E138–E145","8","1","1550-7416",NA
"Differential Modulation of Beta-Adrenergic Receptor Signaling by Trace Amine-Associated Receptor 1 Agonists","G. Kleinau, Juliane Pratzka, D. Nürnberg, A. Grüters, D. Führer-Sakel, H. Krude, J. Köhrle, T. Schöneberg, H. Biebermann","10.1371/journal.pone.0027073","https://doi.org/10.1371/journal.pone.0027073","PLoS ONE",59,2011,"no","The study described in Elicit's output is an in vitro molecular/cellular study examining receptor interactions and structural comparisons, rather than an in vivo controlled experiment as required by the first criterion.","no","The study does not involve any animal models of psychosis. While it mentions schizophrenia as a relevant condition, the research is conducted at the receptor/molecular level, not using animal models.","no","The study examines TAAR1 agonists (tyramine, phenylethylamine, octopamine) and their molecular interactions with β-adrenergic receptors in vitro, rather than investigating their therapeutic use in animal models of psychosis as required by the criterion.","no","The study does not measure any of the specified primary outcomes (locomotor activity or prepulse inhibition) or secondary outcomes. It focuses on molecular signaling and structural comparisons.","no","The study uses molecular comparisons and co-stimulation studies, but not the type of control interventions specified in the criteria (no vehicle controls or antipsychotic comparisons in animal models).","no","While this is original research, it's basic molecular/cellular research rather than an experimental study using animal models.","Exclude","This molecular study examining trace amine-associated receptor interactions fails to meet the systematic review's screening criteria, which require in vivo animal models of psychosis with specific behavioral and pharmacological interventions. The research focuses on in vitro receptor mechanisms and structural comparisons, lacking the experimental design, animal models, intervention types, outcome measures, and research approach specified in the screening protocol.",0.1,"sr1_elicit_122","elicit_exclude","e27073","6","10","1932-6203",NA
"Pharmaco-Magnetic Resonance as a Tool for Monitoring the Medication-Related Effects in the Brain May Provide Potential Biomarkers for Psychotic Disorders","K. Aryutova, D. Stoyanov","10.3390/ijms22179309","https://doi.org/10.3390/ijms22179309","International Journal of Molecular Sciences",14,2021,"no","The paper is a review article, not an in vivo controlled experiment as required by the criterion. This is evident from the abstract stating ""This review aims to summarize..."" and describing a literature search methodology rather than reporting original experimental work.","no","The abstract discusses psychosis models and mentions NMDA antagonists, but does not describe any actual experimental work with animal models. It only discusses these concepts theoretically without reporting any original animal studies.","no","The abstract does not investigate any TAAR1 agonists. While it discusses dopamine and glutamate systems, there is no mention of TAAR1-related compounds or interventions.","no","While the abstract discusses concepts related to schizophrenia symptoms, it does not measure specific outcomes like locomotor activity or prepulse inhibition. Instead, it focuses on theoretical frameworks and neuroimaging methods.","no","No control interventions are described, as this is a review paper rather than an experimental study.","no","The paper is explicitly identified as a review article, not an original experimental study. This is clearly stated in the abstract with phrases like ""This review aims to summarize"" and describes a literature search methodology.","Exclude","This review paper fundamentally does not meet the systematic review's screening criteria, as it lacks in vivo controlled experiments, animal model research, TAAR1 agonist interventions, specified control conditions, and predefined outcome measurements. The manuscript is a theoretical review of schizophrenia hypotheses rather than an original experimental study with the required methodological components, rendering it ineligible for inclusion in the systematic review.",0.1,"sr1_elicit_123","elicit_exclude","9309","22","17","1422-0067","The neurodegenerative and neurodevelopmental hypotheses represent the basic etiological framework for the origin of schizophrenia. Additionally, the dopamine hypothesis, adopted more than two decades ago, has repeatedly asserted the position of dopamine as a pathobiochemical substrate through the action of psychostimulants and neuroleptics on the mesolimbic and mesocortical systems, giving insight into the origin of positive and negative schizophrenic symptoms. Meanwhile, cognitive impairments in schizophrenia remain incompletely understood but are thought to be present during all stages of the disease, as well as in the prodromal, interictal and residual phases. On the other hand, observations on the effects of NMDA antagonists, such as ketamine and phencyclidine, reveal that hypoglutamatergic neurotransmission causes not only positive and negative but also cognitive schizophrenic symptoms. This review aims to summarize the different hypotheses about the origin of psychoses and to identify the optimal neuroimaging method that can serve to unite them in an integral etiological framework. We systematically searched Google scholar (with no concern to the date published) to identify studies investigating the etiology of schizophrenia, with a focus on impaired central neurotransmission. The complex interaction between the dopamine and glutamate neurotransmitter systems provides the long-needed etiological concept, which combines the neurodegenerative hypothesis with the hypothesis of impaired neurodevelopment in schizophrenia. Pharmaco-magnetic resonance imaging is a neuroimaging method that can provide a translation of scientific knowledge about the neural networks and the disruptions in and between different brain regions, into clinically applicable and effective therapeutic results in the management of severe psychotic disorders."
"The Impact of Muscarinic Antagonism on Psychosis-Relevant Behaviors and Striatal [11C] Raclopride Binding in Tau Mouse Models of Alzheimer’s Disease","H. Jimenez, Joseph Carrión, L. Adrien, A. Wolin, J. Eun, Ezra Cinamon, Eric H. Chang, P. Davies, A. Vo, J. Koppel","10.3390/biomedicines11082091","https://doi.org/10.3390/biomedicines11082091","Biomedicines",3,2023,"yes","The study includes in vivo controlled experiments with laboratory animals, as demonstrated by the behavioral and biological measurements performed.","no","The study does not use animal models of psychosis as defined in the criteria. The animal models (P301L/COMTKO and htau) are models of Alzheimer's disease, not psychosis. The psychosis-like features are induced using scopolamine and reboxetine, which are not among the specified methods of psychosis induction (psychostimulants or NMDA antagonists).","no","The study does not investigate TAAR1 agonists. Instead, it focuses on antimuscarinic (scopolamine) and dopaminergic (reboxetine) treatments.","yes","The study includes one of the co-primary outcomes (locomotor activity) and measures sensorimotor gating, which is related to PPI. It also includes neurobiological measures (secondary outcome).","maybe","The abstract does not explicitly describe the control conditions. While there appear to be comparisons between different treatments, it's unclear if there are proper vehicle controls as specified in the criteria.","yes","This is clearly an original experimental study using animal models.","Exclude","The study does not meet key screening criteria for animal models of psychosis, primarily because it uses Alzheimer's disease models rather than specified psychosis induction methods. While the research employs experimental animal models and includes relevant behavioral measurements, the interventions and model do not align with the predefined criteria for psychosis research. The focus on tau pathology and antimuscarinic treatments diverges from the required TAAR1 agonist and psychostimulant approaches.",1.4,"sr1_elicit_124","elicit_exclude","2091","11","8","2227-9059","Psychosis that occurs over the course of Alzheimer’s disease (AD) is associated with increased caregiver burden and a more rapid cognitive and functional decline. To find new treatment targets, studies modeling psychotic conditions traditionally employ agents known to induce psychosis, utilizing outcomes with cross-species relevance, such as locomotive activity and sensorimotor gating, in rodents. In AD, increased burdens of tau pathology (a diagnostic hallmark of the disease) and treatment with anticholinergic medications have, separately, been reported to increase the risk of psychosis. Recent evidence suggests that muscarinic antagonists may increase extracellular tau. Preclinical studies in AD models have not previously utilized muscarinic cholinergic antagonists as psychotomimetic agents. In this report, we utilize a human–mutant–tau model (P301L/COMTKO) and an over-expressed non-mutant human tau model (htau) in order to compare the impact of antimuscarinic (scopolamine 10 mg/kg/day) treatment with dopaminergic (reboxetine 20 mg/kg/day) treatment, for 7 days, on locomotion and sensorimotor gating. Scopolamine increased spontaneous locomotion, while reboxetine reduced it; neither treatment impacted sensorimotor gating. In the P301L/COMTKO, scopolamine treatment was associated with decreased muscarinic M4 receptor expression, as quantified with RNA-seq, as well as increased dopamine receptor D2 signaling, as estimated with Micro-PET [11C] raclopride binding. Scopolamine also increased soluble tau in the striatum, an effect that partially mediated the observed increases in locomotion. Studies of muscarinic agonists in preclinical tau models are warranted to determine the impact of treatment—on both tau and behavior—that may have relevance to AD and other tauopathies."
"The antipsychotic potential of muscarinic allosteric modulation.","T. Bridges, Evan P. Lebois, C. Hopkins, M. Wood, Carrie K Jones, P. Conn, C. Lindsley","10.1358/dnp.2010.23.4.1416977","https://doi.org/10.1358/dnp.2010.23.4.1416977","Drug News and Perspectives",58,2010,"maybe","The abstract mentions ""preclinical antipsychotic and cognition models"" but does not explicitly describe controlled experiments. While preclinical models typically involve controlled experiments, there is not enough detail to confirm this with certainty.","maybe","The abstract refers to ""preclinical models"" but does not specifically describe the animal models used or whether they involved psychosis induction. This is a significant gap in information relative to the screening criteria.","no","The study focuses on muscarinic receptor agonists (xanomeline and other allosteric ligands), not TAAR1 agonists. This clearly fails to meet the intervention criteria, which specifically requires TAAR1 agonists.","maybe","While the abstract mentions ""antipsychotic efficacy,"" it does not specify whether it measured the required primary outcomes (locomotor activity and PPI) or any of the secondary outcomes listed in the criteria.","maybe","The abstract does not describe control conditions. While these might be present in the full paper, Elicit cannot confirm if they match the required control interventions.","maybe","The abstract reads more like a review of developments in muscarinic receptor research, from clinical observations to newer allosteric ligands, rather than clearly presenting an original experimental study.","Exclude","The abstract focuses on muscarinic receptor agonists in schizophrenia research, which fundamentally differs from the required TAAR1 agonist intervention specified in the screening criteria. Critical screening requirements were not met, including the specific experimental intervention type, clear demonstration of an original experimental animal study, and detailed description of psychosis model induction. The paper lacks the precise experimental characteristics needed for inclusion in this systematic review.",0.1,"sr1_elicit_125","elicit_exclude","229","23","4","2013-0139",NA
"Behavioral and Neurobiological Changes in C57BL/6 Mouse Exposed to Cuprizone: Effects of Antipsychotics","Haiyun Xu, Hong-Ju Yang, Bryan McConomy, Ronald Browning, Xin-Min Li","10.3389/fnbeh.2010.00008","https://doi.org/10.3389/fnbeh.2010.00008","Frontiers in Behavioral Neuroscience",94,2010,"yes","The study includes in vivo controlled experiments, meeting this criterion. However, the full experimental design details are not completely clear from the abstract.","yes","The study uses cuprizone (CPZ) to induce psychosis-like features in mice and rats, which is a valid method of model induction. The abstract mentions ""schizophrenia-like behaviors"" and specific behavioral changes, meeting this criterion.","no","The abstract mentions testing ""some antipsychotics"" but does not specifically mention TAAR1 agonists. There's no indication that the interventions studied were TAAR1-targeting compounds, failing to meet this criterion.","maybe","The study includes some relevant behavioral measures, specifically mentioning PPI (one of the co-primary outcomes) and other behavioral measures. However, locomotor activity (the other co-primary outcome) is not mentioned.","maybe","While the study appears to use controlled experiments, the specific control conditions are not clearly detailed in the abstract. We cannot definitively determine if they match the required control conditions.","yes","This is an original experimental study using animal models, meeting this criterion.","Exclude","The study uses animal models with cuprizone-induced psychosis-like features and includes behavioral measures like prepulse inhibition, but critically fails to investigate TAAR1 agonists as required. While demonstrating controlled experimental design and relevant behavioral outcomes, the absence of TAAR1-specific interventions disqualifies the study from meeting the primary screening criteria. The research provides insights into schizophrenia models but does not align with the specific intervention requirements.",1.4,"sr1_elicit_126","elicit_exclude",NA,NA,NA,NA,NA
"The PPARα agonist fenofibrate attenuates disruption of dopamine function in a maternal immune activation rat model of schizophrenia","Marta De Felice, M. Melis, S. Aroni, A. Muntoni, S. Fanni, R. Frau, P. Devoto, M. Pistis","10.1111/cns.13087","https://doi.org/10.1111/cns.13087","CNS Neuroscience & Therapeutics",24,2018,"yes","The study appears to include in vivo controlled experiments, though the exact experimental design is not fully detailed in the abstract.","yes","The study uses a prenatal maternal immune activation (MIA) model, which is a recognized animal model of psychosis.","no","The study investigates fenofibrate (a PPARα activator), not a TAAR1 agonist, which is a critical failure to meet the inclusion criteria.","maybe","The abstract doesn't explicitly mention the required co-primary outcomes (locomotor activity and PPI). While it mentions ""schizophrenia-related behavioral phenotype,"" the specific measures aren't detailed.","maybe","While the abstract mentions comparing effects, it doesn't explicitly detail the control conditions. However, this is less relevant given the failure to meet criterion 3.","yes","This appears to be an original experimental study using animal models.","Exclude","The study uses an animal model of psychosis with prenatal maternal immune activation, but critically fails to meet the screening criteria by investigating a PPARα activator instead of a TAAR1 agonist. While the research appears to be an original experimental study, the intervention and potential outcomes do not align with the specified screening requirements, rendering the paper unsuitable for inclusion.",1.4,"sr1_elicit_127","elicit_exclude","549–561","25","5","1755-5949","SummaryAimsPrenatal maternal immune activation (MIA) is associated with a risk to develop schizophrenia and affects dopamine systems in the ventral tegmental area (VTA), key region in the neurobiology of psychoses. Considering the well‐described sex differences in schizophrenia, we investigated whether sex affects MIA impact on dopamine system and on schizophrenia‐related behavioral phenotype. Furthermore, considering peroxisome proliferator‐activated receptor‐α (PPARα) expression in the CNS as well as its anti‐inflammatory and neuroprotective properties, we tested if PPARα activation by prenatal treatment with a clinically available fibrate (fenofibrate) may mitigate MIA‐related effects.MethodsWe induced MIA in rat dams with polyriboinosinic‐polyribocytidylic acid (Poly I:C) and assessed prepulse inhibition and dopamine neuron activity in the VTA by means of electrophysiological recordings in male and female preweaned and adult offspring.ResultsPoly I:C‐treated males displayed prepulse inhibition deficits, reduced number and firing rate of VTA dopamine neurons, and paired‐pulse facilitation of inhibitory and excitatory synapses. Prenatal fenofibrate administration attenuated detrimental effects induced by MIA on both the schizophrenia‐like behavioral phenotype and dopamine transmission in male offspring.Conclusion
                      Our study confirms previous evidence that females are less susceptible to MIA and highlights PPARα as a potential target for treatments in schizophrenia
                      .
                    "
"Glutamatergic antipsychotic drugs: a new dawn in the treatment of schizophrenia?","J. Stone","10.1177/2045125311400779","https://doi.org/10.1177/2045125311400779","Therapeutic Advances in Psychopharmacology",63,2011,"no","The abstract does not describe any specific in vivo controlled experiments. It appears to be a review or commentary on glutamatergic drugs in schizophrenia, discussing clinical studies in humans (""patients with schizophrenia"") rather than animal experiments.","no","The abstract focuses entirely on human patients with schizophrenia. There is no mention of animal models or any method of psychosis induction in laboratory animals.","no","The interventions discussed (glycine, D-serine, sarcosine) are glutamatergic compounds, not TAAR1 agonists. There is no mention of TAAR1 agonists or related compounds.","no","The outcomes discussed (negative symptoms, extrapyramidal side effects, prolactinaemia, weight gain) are clinical outcomes in humans. There is no mention of the required behavioral measures like locomotor activity or prepulse inhibition (PPI) of acoustic startle reflex.","no","While the abstract mentions comparisons to dopaminergic agents, it does not describe specific control groups or conditions in an experimental setting. The comparisons discussed are in the context of clinical observations.","no","This appears to be a review or perspective piece discussing the potential of glutamatergic drugs in schizophrenia treatment, not an original experimental study using animal models.","Exclude","The abstract discusses glutamatergic drug approaches for schizophrenia treatment in human patients, focusing on clinical perspectives and potential therapeutic strategies. It lacks any description of animal model experiments, TAAR1 agonists, specific behavioral measures, or controlled experimental design required by the screening criteria. Consequently, the text does not meet the systematic review's methodological requirements for inclusion.",0.1,"sr1_elicit_128","elicit_exclude","5–18","1","1","2045-1261","Growing evidence for glutamate abnormalities in schizophrenia support the development of novel antipsychotic agents targeting this system. Early studies investigating modulation of the glutamate system using glycine, D-serine and sarcosine in patients with schizophrenia have demonstrated significant effects, particularly on negative symptoms, conventionally thought to be refractory to antipsychotic drug treatment. Drugs targeting the glutamate system also have a completely different side-effect profile to dopamine D2 antagonists, with no propensity to extrapyramidal side effects, prolactinaemia or weight gain. It has been hypothesized that glutamatergic drugs may be of benefit to the 20–30% of individuals with schizophrenia who fail to show any response to dopaminergic agents, and may be particularly useful in the early stages of the illness, where they may be disease-modifying. A number of glutamatergic compounds have been reported as having promising results in phase II drug trials. If these reach the clinic, they will represent the first truly novel approach to pharmacotherapy in schizophrenia for more than 50 years."
"Canonical and Non-Canonical Antipsychotics’ Dopamine-Related Mechanisms of Present and Next Generation Molecules: A Systematic Review on Translational Highlights for Treatment Response and Treatment-Resistant Schizophrenia","A. de Bartolomeis, M. Ciccarelli, Giuseppe De Simone, Benedetta Mazza, A. Barone, L. Vellucci","10.3390/ijms24065945","https://doi.org/10.3390/ijms24065945","International Journal of Molecular Sciences",11,2023,"no","The abstract does not describe any in vivo controlled experiments. This appears to be a review/theoretical paper discussing mechanisms of antipsychotic drugs, and no experimental methodology is mentioned.","no","The abstract does not mention any animal models or psychosis induction methods. It discusses schizophrenia in general terms and therapeutic mechanisms but does not describe experimental work with animals.","no","While the paper discusses dopamine-related mechanisms, it does not specifically investigate TAAR1 agonists. The focus is on traditional antipsychotics and their mechanisms through D2R occupancy.","no","The paper does not measure any of the specified primary outcomes (locomotor activity or PPI) or secondary outcomes. It focuses on theoretical mechanisms of action rather than behavioral or neurobiological measurements.","no","No control groups are mentioned as this is not an experimental study.","no","This is clearly a review/theoretical paper (""critical evaluation"") rather than an original experimental study. The abstract discusses mechanisms and implications for treatment but does not present original research.","Exclude","The abstract presents a theoretical review of antipsychotic mechanisms in schizophrenia, lacking any experimental design, animal models, or specific interventions required by the screening criteria. No in vivo controlled experiments, TAAR1 agonist investigations, behavioral outcomes, or original research are described, rendering the paper ineligible for inclusion based on the specified screening requirements.",0.1,"sr1_elicit_129","elicit_exclude","5945","24","6","1422-0067","Schizophrenia is a severe psychiatric illness affecting almost 25 million people worldwide and is conceptualized as a disorder of synaptic plasticity and brain connectivity. Antipsychotics are the primary pharmacological treatment after more than sixty years after their introduction in therapy. Two findings hold true for all presently available antipsychotics. First, all antipsychotics occupy the dopamine D2 receptor (D2R) as an antagonist or partial agonist, even if with different affinity; second, D2R occupancy is the necessary and probably the sufficient mechanism for antipsychotic effect despite the complexity of antipsychotics’ receptor profile. D2R occupancy is followed by coincident or divergent intracellular mechanisms, implying the contribution of cAMP regulation, β-arrestin recruitment, and phospholipase A activation, to quote some of the mechanisms considered canonical. However, in recent years, novel mechanisms related to dopamine function beyond or together with D2R occupancy have emerged. Among these potentially non-canonical mechanisms, the role of Na2+ channels at the dopamine at the presynaptic site, dopamine transporter (DAT) involvement as the main regulator of dopamine concentration at synaptic clefts, and the putative role of antipsychotics as chaperones for intracellular D2R sequestration, should be included. These mechanisms expand the fundamental role of dopamine in schizophrenia therapy and may have relevance to considering putatively new strategies for treatment-resistant schizophrenia (TRS), an extremely severe condition epidemiologically relevant and affecting almost 30% of schizophrenia patients. Here, we performed a critical evaluation of the role of antipsychotics in synaptic plasticity, focusing on their canonical and non-canonical mechanisms of action relevant to the treatment of schizophrenia and their subsequent implication for the pathophysiology and potential therapy of TRS."
"Maternal Immune Activation Disrupts Dopamine System in the Offspring","A. Luchicchi, S. Lecca, M. Melis, Marta De Felice, Francesca Cadeddu, R. Frau, A. Muntoni, P. Fadda, P. Devoto, M. Pistis","10.1093/ijnp/pyw007","https://doi.org/10.1093/ijnp/pyw007","International Journal of Neuropsychopharmacology",78,2016,"yes","The study includes in vivo controlled experiments using rats, as indicated by the methods and results sections describing animal experiments.","yes","The study uses an animal model of psychosis induced through maternal immune activation (polyriboinosinic-polyribocytidilic acid administration), which is a valid method of inducing psychosis-like features.","no","The study does not investigate TAAR1 agonists. Instead, it focuses on dopamine system alterations in a maternal immune activation model, and there is no mention of TAAR1-related interventions.","yes","The study includes relevant behavioral measures including sensorimotor gating (related to PPI), social interaction, and memory. However, it doesn't explicitly measure locomotor activity as one of the co-primary outcomes.","yes","The study appears to use appropriate control groups, comparing polyriboinosinic-polyribocytidilic acid-treated animals with controls.","yes","This is clearly an original experimental study using animal models.","Exclude","The study meets most screening criteria for an animal model of psychosis, including appropriate experimental design, animal population, control interventions, and behavioral outcomes. However, the critical exclusion criterion of investigating TAAR1 agonist interventions is not met, as the research focuses on dopamine system alterations rather than TAAR1-related mechanisms. Consequently, the study does not qualify for inclusion in the systematic review.",1.4,"sr1_elicit_130","elicit_exclude","pyw007","19","7","1469-5111",NA
"Gene expression in dopamine and GABA systems in an animal model of schizophrenia: effects of antipsychotic drugs","B. Lipska, Daniel N. Lerman, Zin Z. Khaing, C. Weickert, D. Weinberger","10.1046/j.1460-9568.2003.02738.x","https://doi.org/10.1046/j.1460-9568.2003.02738.x","European Journal of Neuroscience",104,2003,"yes","The study includes in vivo controlled experiments using rats with neonatal ventral hippocampal lesions and control animals, which meets the requirement for in vivo controlled experiments.","maybe","The study uses rats with neonatal ventral hippocampal lesions as an animal model of schizophrenia, which is a valid animal model of psychosis. However, it is not specifically mentioned if this model induces psychosis-like features or behaviors, as the abstract focuses more on molecular markers than behavioral outcomes.","no","The study examines antipsychotic drugs (clozapine and haloperidol) but does not investigate TAAR1 agonists, which is a critical requirement for this criterion.","no","The study focuses on molecular markers (dopamine receptors, neurotensin, proenkephalin, GAD67) rather than the required behavioral measures (locomotor activity and PPI), which fails this criterion.","maybe","The study includes appropriate control groups (sham controls and vehicle controls), which would meet the requirement for control interventions.","yes","This is an original experimental study using animal models, which meets the requirement for primary research type.","Exclude","The study fails to meet critical screening criteria, specifically lacking investigation of TAAR1 agonists and not measuring the required behavioral outcomes of locomotor activity and prepulse inhibition. While the research involves an animal model of psychosis and includes controlled experiments, the molecular focus and absence of key intervention and outcome requirements disqualify it from meeting the specified screening criteria.",1.4,"sr1_elicit_131","elicit_exclude","391–402","18","2","1460-9568","Abstract
                    We used
                    in situ
                    hybridization histochemistry to assess expression of dopamine receptors (D1R, D2R and D3R), neurotensin, proenkephalin and glutamate decarboxylase‐67 (GAD67) in the prefrontal cortex, striatum, and/or nucleus accumbens in adult rats with neonatal ventral hippocampal (VH) lesions and in control animals after acute and chronic treatment with antipsychotic drugs clozapine and haloperidol. We also acquired these measures in a separate cohort of treatment‐naïve sham and neonatally VH‐lesioned rats used as an animal model of schizophrenia. Our results indicate that the neonatal VH lesion did not alter expression of D1R, D3R, neurotensin or proenkephalin expression in any brain region examined. However, D2R mRNA expression was down‐regulated in the striatum, GAD67 mRNA was down‐regulated in the prefrontal cortex and prodynorphin mRNA was up‐regulated in the striatum of the VH‐lesioned rats as compared with sham controls. Antipsychotic drugs did not alter expression of D1R, D2R or D3R receptor mRNAs but elevated neurotensin and proenkephalin expression in both groups of rats; patterns of changes were dependent on the duration of treatment and brain area examined. GAD67 mRNA was up‐regulated by chronic antispychotics in the nucleus accumbens and the striatum and by chronic haloperidol in the prefrontal cortex in both sham and lesioned rats. These results indicate that the developmental VH lesion changed the striatal expression of D2R and prodynorphin and robustly compromised prefrontal GAD67 expression but did not modify drug‐induced expression of any genes examined in this study.
                  "
"Ractopamine, a Livestock Feed Additive, Is a Full Agonist at Trace Amine–Associated Receptor 1","Xuehong Liu, D. Grandy, A. Janowsky","10.1124/jpet.114.213116","https://doi.org/10.1124/jpet.114.213116","Journal of Pharmacology and Experimental Therapeutics",38,2014,"no","The study included both in vitro (oocyte) and in vivo observations, but the main experimental results presented were from in vitro studies, which fails to meet the requirement for in vivo controlled experiments.","no","The abstract discusses effects in livestock and mentions ""animal models,"" but it does not describe using animal models of psychosis specifically. There is no mention of psychosis-like features induction through psychostimulants or NMDA antagonists.","no","The study investigates TAAR1 agonist activity (showing that RAC is a full mTAAR1 agonist), but this was not in the context of treating psychosis. The compound (ractopamine) was studied primarily for its livestock effects, not as a therapeutic TAAR1 agonist for psychosis.","no","While the abstract mentions behavioral effects (restlessness, agitation), these are not the specific required outcomes: no measurement of locomotor activity in a controlled experiment, no prepulse inhibition (PPI) measurements, and the behavioral observations are incidental rather than primary outcome measures.","no","The control conditions described (using TAAR1 antagonist EPPTB) don't match the required control interventions. There are no psychosis model controls or vehicle controls as specified in the criteria.","maybe","While this is original research, it's primarily an in vitro pharmacological characterization study rather than an animal model experiment as required.","Exclude","The study primarily investigates ractopamine's pharmacological mechanism in livestock, focusing on TAAR1 receptor interactions through in vitro oocyte experiments. It lacks the required elements of an animal psychosis model study, including specific behavioral outcomes, controlled in vivo experiments, and psychosis-like feature induction. The research does not align with the systematic review's criteria for investigating TAAR1 agonists in psychosis treatment.",1.4,"sr1_elicit_132","elicit_exclude","124–129","350","1","0022-3565",NA
