Title,Author,Journal,Abstract,Year,DOI,Publication Type
The Trace Amine 1 receptor knockout mouse: an animal model with relevance to schizophrenia.,"Wolinsky, T D",Genes Brain Behav,"Trace amines have been implicated in a number of neuropsychiatric disorders including depression and schizophrenia. Although long known to modulate neurotransmission indirectly through the release of catecholamines, the identification of the Trace Amine 1 receptor (TA1) offers a mechanism by which trace amines can influence synaptic activity directly. TA1 binds and is activated by trace amines such as beta-phenylethylamine and tyramine. Our pharmacological characterization of mouse TA1 showed that, as in rat and primate, amphetamine is an agonist at this receptor but with surprisingly high potency. Without selective ligands for TA1 that do not also possess catecholamine-releasing properties, however, it has not been possible to study its physiological role in the central nervous system. To that end, a line of mice lacking the TA1 receptor was generated to characterize its contribution to the regulation of behavior. Compared with wild-type littermates, TA1 knockout (KO) mice displayed a deficit in prepulse inhibition. Knockout animals, in which the TA1-agonist influence of amphetamine was absent, showed enhanced sensitivity to the psychomotor-stimulating effect of this drug, which was temporally correlated with significantly larger increases in the release of both dopamine and norepinephrine in the dorsal striatum and associated with a 262% increase in the proportion of striatal high-affinity D2 receptors. TA1 therefore appears to play a modulatory role in catecholaminergic function and represents a potentially novel mechanism for the treatment of neuropsychiatric disorders. Furthermore, the TA1 KO mouse may provide a useful model for the development of treatments for some positive symptoms of schizophrenia.",2007,10.1111/j.1601-183x.2006.00292.x,"Journal Article; Research Support, Non-U.S. Gov't"
Trace amine-associated receptors and their ligands.,"Zucchi, R",Br J Pharmacol,"Classical biogenic amines (adrenaline, noradrenaline, dopamine, serotonin and histamine) interact with specific families of G protein-coupled receptors (GPCRs). The term 'trace amines' is used when referring to p-tyramine, beta-phenylethylamine, tryptamine and octopamine, compounds that are present in mammalian tissues at very low (nanomolar) concentrations. The pharmacological effects of trace amines are usually attributed to their interference with the aminergic pathways, but in 2001 a new gene was identified, that codes for a GPCR responding to p-tyramine and beta-phenylethylamine but not to classical biogenic amines. Several closely related genes were subsequently identified and designated as the trace amine-associated receptors (TAARs). Pharmacological investigations in vitro show that many TAAR subtypes may not respond to p-tyramine, beta-phenylethylamine, tryptamine or octopamine, suggesting the existence of additional endogenous ligands. A novel endogenous thyroid hormone derivative, 3-iodothyronamine, has been found to interact with TAAR1 and possibly other TAAR subtypes. In vivo, micromolar concentrations of 3-iodothyronamine determine functional effects which are opposite to those produced on a longer time scale by thyroid hormones, including reduction in body temperature and decrease in cardiac contractility. Expression of all TAAR subtypes except TAAR1 has been reported in mouse olfactory epithelium, and several volatile amines were shown to interact with specific TAAR subtypes. In addition, there is evidence that TAAR1 is targeted by amphetamines and other psychotropic agents, while genetic linkage studies show a significant association between the TAAR gene family locus and susceptibility to schizophrenia or bipolar affective disorder.",2006,10.1038/sj.bjp.0706948,Journal Article; Review
"Structural and functional evolution of the trace amine-associated receptors TAAR3, TAAR4 and TAAR5 in primates.","Stäubert, Claudia",PLoS One,"The family of trace amine-associated receptors (TAAR) comprises 9 mammalian TAAR subtypes, with intact gene and pseudogene numbers differing considerably even between closely related species. To date the best characterized subtype is TAAR1, which activates the G(s) protein/adenylyl cyclase pathway upon stimulation by trace amines and psychoactive substances like MDMA or LSD. Recently, chemosensory function involving recognition of volatile amines was proposed for murine TAAR3, TAAR4 and TAAR5. Humans can smell volatile amines despite carrying open reading frame (ORF) disruptions in TAAR3 and TAAR4. Therefore, we set out to study the functional and structural evolution of these genes with a special focus on primates. Functional analyses showed that ligands activating the murine TAAR3, TAAR4 and TAAR5 do not activate intact primate and mammalian orthologs, although they evolve under purifying selection and hence must be functional. We also find little evidence for positive selection that could explain the functional differences between mouse and other mammals. Our findings rather suggest that the previously identified volatile amine TAAR3-5 agonists reflect the high agonist promiscuity of TAAR, and that the ligands driving purifying selection of these TAAR in mouse and other mammals still await discovery. More generally, our study points out how analyses in an evolutionary context can help to interpret functional data generated in single species.",2010,10.1371/journal.pone.0011133,"Journal Article; Research Support, Non-U.S. Gov't"
Functional interaction between trace amine-associated receptor 1 and dopamine D2 receptor.,"Espinoza, Stefano",Mol Pharmacol,"The ability of dopamine receptors to interact with other receptor subtypes may provide mechanisms for modulating dopamine-related functions and behaviors. In particular, there is evidence suggesting that the trace amine-associated receptor 1 (TAAR1) affects the dopaminergic system by regulating the firing rate of dopaminergic neurons or by altering dopamine D2 receptor (D2R) responsiveness to ligands. TAAR1 is a Gα(s) protein-coupled receptor that is activated by biogenic amines, ""trace amines,"" such as β-phenylethylamine (β-PEA) and tyramine that are normally found at low concentrations in the mammalian brain. In the present study, we investigated the biochemical mechanism of interaction between TAAR1 and D2R and the role this interaction plays in D2R-related signaling and behaviors. Using a bioluminescence resonance energy transfer biosensor for cAMP, we demonstrated that the D2R antagonists haloperidol, raclopride, and amisulpride were able to enhance selectively a TAAR1-mediated β-PEA increase of cAMP. Moreover, TAAR1 and D2R were able to form heterodimers when coexpressed in human embryonic kidney 293 cells, and this direct interaction was disrupted in the presence of haloperidol. In addition, in mice lacking TAAR1, haloperidol-induced striatal c-Fos expression and catalepsy were significantly reduced. Taken together, these data suggest that TAAR1 and D2R have functional and physical interactions that could be critical for the modulation of the dopaminergic system by TAAR1 in vivo.",2011,10.1124/mol.111.073304,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
"In vivo long-term kinetics of radiolabeled n,n-dimethyltryptamine and tryptamine.","Vitale, Arturo A",J Nucl Med,"N,N-dimethyltryptamine (DMT), a strong psychodysleptic drug, has been found in higher plants, shamanic hallucinogenic beverages, and the urine of schizophrenic patients. The aim of this work was to gain better knowledge on the relationship between this drug and hallucinogenic processes by studying DMT behavior in comparison with tryptamine. METHODS (131)I-labeled DMT and tryptamine were injected into rabbits. γ-Camera and biodistribution studies were performed. Brain uptake, plasma clearance, and renal excretion were assessed for each indolealkylamine. RESULTS DMT and tryptamine showed different behavior when brain uptake, residence time, and excretion were compared. Labeled DMT entered the brain 10 s after injection, crossed the blood-brain barrier, and bound to receptors; then it was partially renally excreted. It was detected in urine within 24 h after injection and remained in the brain, even after urine excretion ceased; up to 0.1% of the injected dose was detected at 7 d after injection in the olfactory bulb. In contrast, tryptamine was rapidly taken up in the brain and fully excreted 10 min after injection. CONCLUSION To our knowledge, this is the first demonstration that exogenous DMT remains in the brain for at least 7 d after injection. Although labeled DMT and tryptamine behave as agonists for at least 5-hydroxytryptamine 2A receptor, 5-hydroxytryptamine 2C receptor, trace amine-associated receptor, and σ-1 putative receptor targets, binding to the latter can explain the different behavior of labeled DMT and tryptamine in the brain. The persistence in the brain can be further explained on the basis that DMT and other N,N-dialkyltryptamines are transporter substrates for both the plasma membrane serotonin transporter and the vesicle monoamine transporter 2. Furthermore, storage in vesicles prevents DMT degradation by monoamine oxidase. At high concentrations, DMT is taken up by the serotonin transporter and further stored in vesicles by the vesicle monoamine transporter 2, to be released under appropriate stimuli. Moreover, the (131)I-labeling proved to be a useful tool to perform long-term in vivo studies.",2011,10.2967/jnumed.110.083246,"Journal Article; Research Support, Non-U.S. Gov't"
Behavioral effects of clozapine: involvement of trace amine pathways in C. elegans and M. musculus.,"Karmacharya, Rakesh",Brain Res,"Clozapine is an antipsychotic medication with superior efficacy in treatment refractory schizophrenia. The molecular basis of clozapine's therapeutic profile is not well understood. We studied behavioral effects of clozapine in Caenorhabditis elegans to identify novel pathways that modulate clozapine's biological effects. Clozapine stimulated egg laying in C. elegans in a dose-dependent manner. This effect was clozapine-specific, as it was not observed with exposure to a typical antipsychotic, haloperidol or an atypical antipsychotic, olanzapine. A candidate gene screen of biogenic amine neurotransmitter systems identified signaling pathways that mediate this clozapine-specific effect on egg laying. Specifically, we found that clozapine-induced increase in egg laying requires tyramine biosynthesis. To test the implications of this finding across species, we explored whether trace amine systems modulate clozapine's behavioral effects in mammals by studying trace amine-associated receptor 1 (TAAR1) knockout mice. Clozapine increased prepulse inhibition (PPI) in wild-type mice. This increase in PPI was abrogated in TAAR1 knockout mice, implicating TAAR1 in clozapine-induced PPI enhancement. In transfected mammalian cell lines, we found no TAAR activation by antipsychotics, suggesting that modulation of trace amine signaling in mice does not occur directly at the receptor itself. In summary, we report a heretofore-unknown role for trace amine systems in clozapine-mediated effects across two species: C. elegans and mice.",2011,10.1016/j.brainres.2011.04.010,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
The dopamine metabolite 3-methoxytyramine is a neuromodulator.,"Sotnikova, Tatyana D",PLoS One,"Dopamine (3-hydroxytyramine) is a well-known catecholamine neurotransmitter involved in multiple physiological functions including movement control. Here we report that the major extracellular metabolite of dopamine, 3-methoxytyramine (3-MT), can induce behavioral effects in a dopamine-independent manner and these effects are partially mediated by the trace amine associated receptor 1 (TAAR1). Unbiased in vivo screening of putative trace amine receptor ligands for potential effects on the movement control revealed that 3-MT infused in the brain is able to induce a complex set of abnormal involuntary movements in mice acutely depleted of dopamine. In normal mice, the central administration of 3-MT caused a temporary mild hyperactivity with a concomitant set of abnormal movements. Furthermore, 3-MT induced significant ERK and CREB phosphorylation in the mouse striatum, signaling events generally related to PKA-mediated cAMP accumulation. In mice lacking TAAR1, both behavioral and signaling effects of 3-MT were partially attenuated, consistent with the ability of 3-MT to activate TAAR1 receptors and cause cAMP accumulation as well as ERK and CREB phosphorylation in cellular assays. Thus, 3-MT is not just an inactive metabolite of DA, but a novel neuromodulator that in certain situations may be involved in movement control. Further characterization of the physiological functions mediated by 3-MT may advance understanding of the pathophysiology and pharmacology of brain disorders involving abnormal dopaminergic transmission, such as Parkinson's disease, dyskinesia and schizophrenia.",2010,10.1371/journal.pone.0013452,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
Optimisation of imidazole compounds as selective TAAR1 agonists: discovery of RO5073012.,"Galley, Guido",Bioorg Med Chem Lett,"A series of imidazole compounds has been identified which affords potent and selective partial and full agonists of the TAAR1 receptor. Starting from 2-benzyl-imidazoline screening hits, a series of structurally related 2-benzyl- and 4-benzyl-imidazoles was investigated first, but it proved highly challenging to obtain compounds having sufficient selectivity against the adrenergic alpha 2 receptor. This issue could be successfully addressed by modification of the linker region and SAR exploration led to the discovery of highly selective isopropyl-substituted 4-aminomethyl-imidazole compounds. The work culminated in the identification of the selective TAAR1 partial agonist RO5073012 (4-chlorophenyl)-(1H-imidazol-4-ylmethyl)-isopropyl-amine, 24), which has a good pharmacokinetic profile after oral administration in rodents. RO5073012 has been found to be active in a behavioural rat model which is considered indicative for schizophrenia.",2012,10.1016/j.bmcl.2012.06.060,Journal Article
Brain-specific overexpression of trace amine-associated receptor 1 alters monoaminergic neurotransmission and decreases sensitivity to amphetamine.,"Revel, Florent G",Neuropsychopharmacology,"Trace amines (TAs) such as β-phenylethylamine, p-tyramine, or tryptamine are biogenic amines found in the brain at low concentrations that have been implicated in various neuropsychiatric disorders like schizophrenia, depression, or attention deficit hyperactivity disorder. TAs are ligands for the recently identified trace amine-associated receptor 1 (TAAR1), an important modulator of monoamine neurotransmission. Here, we sought to investigate the consequences of TAAR1 hypersignaling by generating a transgenic mouse line overexpressing Taar1 specifically in neurons. Taar1 transgenic mice did not show overt behavioral abnormalities under baseline conditions, despite augmented extracellular levels of dopamine and noradrenaline in the accumbens nucleus (Acb) and of serotonin in the medial prefrontal cortex. In vitro, this was correlated with an elevated spontaneous firing rate of monoaminergic neurons in the ventral tegmental area, dorsal raphe nucleus, and locus coeruleus as the result of ectopic TAAR1 expression. Furthermore, Taar1 transgenic mice were hyposensitive to the psychostimulant effects of amphetamine, as it produced only a weak locomotor activation and failed to alter catecholamine release in the Acb. Attenuating TAAR1 activity with the selective partial agonist RO5073012 restored the stimulating effects of amphetamine on locomotion. Overall, these data show that Taar1 brain overexpression causes hyposensitivity to amphetamine and alterations of monoaminergic neurotransmission. These observations confirm the modulatory role of TAAR1 on monoamine activity and suggest that in vivo the receptor is either constitutively active and/or tonically activated by ambient levels of endogenous agonist(s).",2012,10.1038/npp.2012.109,"Journal Article; Research Support, Non-U.S. Gov't"
"A new perspective for schizophrenia: TAAR1 agonists reveal antipsychotic- and antidepressant-like activity, improve cognition and control body weight.","Revel, F G",Mol Psychiatry,"Schizophrenia is a chronic, severe and highly complex mental illness. Current treatments manage the positive symptoms, yet have minimal effects on the negative and cognitive symptoms, two prominent features of the disease with critical impact on the long-term morbidity. In addition, antipsychotic treatments trigger serious side effects that precipitate treatment discontinuation. Here, we show that activation of the trace amine-associated receptor 1 (TAAR1), a modulator of monoaminergic neurotransmission, represents a novel therapeutic option. In rodents, activation of TAAR1 by two novel and pharmacologically distinct compounds, the full agonist RO5256390 and the partial agonist RO5263397, blocks psychostimulant-induced hyperactivity and produces a brain activation pattern reminiscent of the antipsychotic drug olanzapine, suggesting antipsychotic-like properties. TAAR1 agonists do not induce catalepsy or weight gain; RO5263397 even reduced haloperidol-induced catalepsy and prevented olanzapine from increasing body weight and fat accumulation. Finally, TAAR1 activation promotes vigilance in rats and shows pro-cognitive and antidepressant-like properties in rodent and primate models. These data suggest that TAAR1 agonists may provide a novel and differentiated treatment of schizophrenia as compared with current medication standards: TAAR1 agonists may improve not only the positive symptoms but also the negative symptoms and cognitive deficits, without causing adverse effects such as motor impairments or weight gain.",2013,10.1038/mp.2012.57,"Journal Article; Research Support, Non-U.S. Gov't"
Trace amine-associated receptor 1 activation silences GSK3β signaling of TAAR1 and D2R heteromers.,"Harmeier, Anja",Eur Neuropsychopharmacol,"Trace amine-associated receptor 1 (TAAR1) activation by selective endogenous agonists modulates dopaminergic neurotransmission. This results in antipsychotic-like behavior in vivo which might be initiated by an interaction of TAAR1 and dopamine D2L receptor (D2R). Here we analyzed the functional link between TAAR1 and D2R using highly potent and selective TAAR1 agonists, and newly generated tools such as TAAR1 knock-out and TAAR1 overexpressing rats as well as specific anti-rat TAAR1 antibodies. We provide data from co-immunoprecipitation experiments supporting a functional interaction of the two receptors in heterologous cells and in brain tissue. Interaction of TAAR1 with D2R altered the subcellular localization of TAAR1 and increased D2R agonist binding affinity. Using specific β-arrestin 2 (βArr2) complementation assays we show that the interaction of TAAR1 with D2R reduced βArr2 recruitment to D2R. In addition, we report that besides Gαs-protein signaling TAAR1 also signals via βArr2. In the presence of D2R, cAMP signaling of TAAR1 was reduced while its βArr2 signaling was enhanced, resulting in reduced GSK3β activation. These results demonstrate that βArr2 signaling may be an important pathway for TAAR1 function and that the activation of the TAAR1-D2R complex negatively modulates GSK3β signaling. Given that patients with schizophrenia or bipolar disorder show increased GSK3β signaling, such a reduction of GSK3β signaling triggered by the interaction of D2R with activated TAAR1 further supports TAAR1 as a target for the treatment of psychiatric disorders.",2015,10.1016/j.euroneuro.2015.08.011,"Journal Article; Research Support, Non-U.S. Gov't"
"Receptor interaction profiles of novel N-2-methoxybenzyl (NBOMe) derivatives of 2,5-dimethoxy-substituted phenethylamines (2C drugs).","Rickli, Anna",Neuropharmacology,"BACKGROUND N-2-methoxybenzyl-phenethylamines (NBOMe drugs) are newly used psychoactive substances with poorly defined pharmacological properties. The aim of the present study was to characterize the receptor binding profiles of a series of NBOMe drugs compared with their 2,5-dimethoxy-phenethylamine analogs (2C drugs) and lysergic acid diethylamide (LSD) in vitro. METHODS We investigated the binding affinities of 2C drugs (2C-B, 2C-C, 2C-D, 2C-E, 2C-H, 2C-I, 2C-N, 2C-P, 2C-T-2, 2C-T-4, 2C-T-7, and mescaline), their NBOMe analogs, and LSD at monoamine receptors and determined functional 5-hydroxytryptamine-2A (5-HT2A) and 5-HT2B receptor activation. Binding at and the inhibition of monoamine uptake transporters were also determined. Human cells that were transfected with the respective human receptors or transporters were used (with the exception of trace amine-associated receptor-1 [TAAR1], in which rat/mouse receptors were used). RESULTS All of the compounds potently interacted with serotonergic 5-HT2A, 5-HT2B, 5-HT2C receptors and rat TAAR1 (most Ki and EC50: <1 μM). The N-2-methoxybenzyl substitution of 2C drugs increased the binding affinity at serotonergic 5-HT2A, 5-HT2C, adrenergic α1, dopaminergic D1-3, and histaminergic H1 receptors and monoamine transporters but reduced binding to 5-HT1A receptors and TAAR1. As a result, NBOMe drugs were very potent 5-HT2A receptor agonists (EC50: 0.04-0.5 μM) with high 5-HT2A/5-HT1A selectivity and affinity for adrenergic α1 receptors (Ki: 0.3-0.9 μM) and TAAR1 (Ki: 0.06-2.2 μM), similar to LSD, but not dopaminergic D1-3 receptors (most Ki:>1 μM), unlike LSD. CONCLUSION The binding profile of NBOMe drugs predicts strong hallucinogenic effects, similar to LSD, but possibly more stimulant properties because of α1 receptor interactions.",2015,10.1016/j.neuropharm.2015.08.034,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't"
In-vivo pharmacology of Trace-Amine Associated Receptor 1.,"Lam, Vincent M",Eur J Pharmacol,"Trace-amines (TAs) are endogenous amines that are implicated in several physiological processes including modulation of aminergic neurotransmission. These compounds exert their effect by activating a class of G protein-coupled receptors termed Trace-Amine Associated Receptors (TAARs), where TAAR1 is the only human receptor that has been shown to bind endogenous TAs. Most of the studies have focused on studying the role of TAAR1 on modulation of the dopamine transmission. These studies indicate that TAAR1 is a negative regulator of dopamine transmission making TAAR1 a novel target for neuropsychiatric disorders that arises from dopamine dysfunction such as schizophrenia. This review discusses the unique pharmacology of TAAR1 with the major focus on the physiological role of TAAR1 and its modulation of dopamine transmission.",2015,10.1016/j.ejphar.2015.06.026,"Journal Article; Research Support, Non-U.S. Gov't; Review"
