"","author1","author2","author","title1","title2","title","abstract1","abstract2","abstract","year1","year2","year","number1","number2","number","pages1","pages2","pages","volume1","volume2","volume","journal1","journal2","journal","isbn","isbn1","isbn2","doi1","doi2","doi","record_id1","record_id2","label1","label2","source1","source2","duplicate_id.x","duplicate_id.y","match","min_id","max_id"
"11","M. Bruce, M. Lohman, Rebecca L. Greenberg, Y. Bao, P. Raue","Bruce ML,Lohman MC,Greenberg RL,Bao Y,Raue PJ",0.743939528943539,"Integrating Depression Care Management into Medicare Home Health Reduces Risk of 30‐ and 60‐Day Hospitalization: The Depression Care for Patients at Home Cluster‐Randomized Trial","Integrating depression care management into Medicare home health reduces risk of 30- and 60-day hospitalization: the Depression Care for Patients at Home cluster-randomized trial",1,NA,NA,0,2016,2016,1,NA,"11",NA,NA,"2196-2203",NA,NA,"64",NA,"Journal of The American Geriatrics Society","Journal of the American Geriatrics Society",1,0,NA,NA,"10.1111/jgs.14440","10.1111/jgs.14440",1,"sr3_elicit_294","sr3_original_44","elicit_ft_include","original_exclude","elicit","original","sr3_elicit_294","sr3_original_44",FALSE,"sr3_elicit_294","sr3_original_44"
"12","Shubham Gupta, A. Srinivasan, Dhanusha Dharmarajah","Shubham Gupta, A. Srinivasan, Dhanusha Dharmarajah",1,"98 Care navigation in primary care: a student-led clinical audit & quality improvement project","84 Care navigation in primary care: a student-led clinical audit & quality improvement project",0.992831541218638,NA,NA,0,2020,2020,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,0,0,NA,NA,"10.1136/leader-2020-fmlm.98","10.1136/leader-2020-fmlm.84",0.985185185185185,"sr3_elicit_310","sr3_elicit_331","elicit_tiab_exclude","elicit_tiab_exclude","elicit","elicit","sr3_elicit_310","sr3_elicit_331",FALSE,"sr3_elicit_310","sr3_elicit_331"
"13","C. Hernández, A. Alonso, J. Garcia-Aymerich, Ignasi Serra, D. Martí, R. Rodríguez-Roisín, G. Narsavage, María Carmen Gomez, J. Roca","Hernandez C,Alonso A,Garcia-Aymerich J,Serra I,Marti D,Rodriguez-Roisin R",0.676624276953691,"Effectiveness of community-based integrated care in frail COPD patients: a randomised controlled trial","Effectiveness of community-based integrated care in frail COPD patients: a randomised controlled trial",1,NA,NA,0,2015,2015,1,NA,NA,1,NA,"15022",NA,NA,"25",NA,"npj Primary Care Respiratory Medicine","NPJ Primary Care Respiratory Medicine",1,0,NA,NA,"10.1038/npjpcrm.2015.22","10.1038/npjpcrm.2015.22",1,"sr3_elicit_365","sr3_original_107","elicit_ft_include","original_exclude","elicit","original","sr3_elicit_365","sr3_original_107",FALSE,"sr3_elicit_365","sr3_original_107"
"14","Natalie Plant, P. Kelly, S. Leeder, M. D'Souza, K. Mallitt, T. Usherwood, S. Jan, S. Boyages, B. Essue, Justin W McNab, James A. Gillespie","Plant NA,Kelly PJ,Leeder SR,D'Souza M,Mallitt KA,Usherwood T",0.645431098010317,"Coordinated care versus standard care in hospital admissions of people with chronic illness: a randomised controlled trial","Coordinated care versus standard care in hospital admissions of people with chronic illness: a randomised controlled trial",1,NA,NA,0,2015,2015,1,NA,"1",NA,NA,"33-38",NA,NA,"203",NA,"Medical Journal of Australia","Medical Journal of Australia",1,0,NA,NA,"10.5694/mja14.01049",NA,NA,"sr3_elicit_391","sr3_original_136","elicit_tiab_exclude","original_exclude","elicit","original","sr3_elicit_391","sr3_original_136",FALSE,"sr3_elicit_391","sr3_original_136"
"15","Susan M. Smith, E. Wallace, T. O'dowd, M. Fortin","Susan M. Smith, E. Wallace, T. O'dowd, M. Fortin",1,"Interventions for improving outcomes in patients with multimorbidity in primary care and community settings.","Interventions for improving outcomes in patients with multimorbidity in primary care and community settings.",1,NA,NA,0,2016,2021,0.866666666666667,NA,NA,1,NA,NA,1,NA,NA,1,"Cochrane Database of Systematic Reviews","Cochrane Database of Systematic Reviews",1,0,NA,NA,"10.1002/14651858.CD006560.pub3","10.1002/14651858.CD006560.pub4",0.986666666666667,"sr3_elicit_43","sr3_elicit_159","elicit_tiab_exclude","elicit_tiab_exclude","elicit","elicit","sr3_elicit_43","sr3_elicit_159",FALSE,"sr3_elicit_159","sr3_elicit_43"
"16","Richard B. Balaban, Fang Zhang, Catherine E. Vialle-Valentin, A. Galbraith, M. Burns, Marc R. Larochelle, D. Ross-Degnan","Balaban RB,Zhang F,Vialle-Valentin CE,Galbraith AA,Burns ME,Larochelle MR",0.714193302891933,"Impact of a Patient Navigator Program on Hospital-Based and Outpatient Utilization Over 180 Days in a Safety-Net Health System","Impact of a patient navigator program on hospital-based and outpatient utilization over 180 days in a safety-net health system",0.97724888539208,NA,NA,0,2017,2017,1,NA,"9",NA,NA,"981-989",NA,NA,"32",NA,"Journal of general internal medicine","Journal of General Internal Medicine",1,0,NA,NA,"10.1007/s11606-017-4074-2","10.1007/s11606-017-4074-2",1,"sr3_elicit_441","sr3_original_2","elicit_ft_include","original_include","elicit","original","sr3_elicit_441","sr3_original_2",FALSE,"sr3_elicit_441","sr3_original_2"
"17","Sonali Saluja, Michael Hochman, Rachel Dokko, Janina Lord Morrison, C. Valdez, Steven Baldwin, Megha D. Tandel, Michael R Cousineau","Sonali Saluja, M. Hochman, Rachel Dokko, Janina Morrison, Celia Valdez, Steven Baldwin, M. Tandel, Michael R Cousineau",0.90218657006081,"Community-Based Health Care Navigation’s Impact on Access to Primary Care for Low-Income Latinos","Community-Based Health Care Navigation's Impact on Access to Primary Care for Low-Income Latinos",1,NA,NA,0,2022,2022,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,"Journal of the American Board of Family Medicine",NA,0,NA,NA,NA,"10.3122/jabfm.2022.01.210253",NA,"sr3_elicit_464","sr3_elicit_496","elicit_tiab_exclude","elicit_tiab_exclude","elicit","elicit","sr3_elicit_464","sr3_elicit_496",FALSE,"sr3_elicit_464","sr3_elicit_496"
"18","Susan M. Smith, H. Soubhi, M. Fortin, C. Hudon, T. O'dowd","Susan M. Smith, E. Wallace, T. O'dowd, M. Fortin",0.87079054343175,"Interventions for improving outcomes in patients with multimorbidity in primary care and community settings.","Interventions for improving outcomes in patients with multimorbidity in primary care and community settings.",1,NA,NA,0,2012,2021,0.933333333333333,NA,NA,1,NA,NA,1,NA,NA,1,"Cochrane Database of Systematic Reviews","Cochrane Database of Systematic Reviews",1,0,NA,NA,"10.1002/14651858.CD006560.pub2","10.1002/14651858.CD006560.pub4",0.986666666666667,"sr3_elicit_486","sr3_elicit_159","elicit_tiab_exclude","elicit_tiab_exclude","elicit","elicit","sr3_elicit_486","sr3_elicit_159",FALSE,"sr3_elicit_159","sr3_elicit_486"
"19","Susan M. Smith, H. Soubhi, M. Fortin, C. Hudon, T. O'dowd","Susan M. Smith, E. Wallace, T. O'dowd, M. Fortin",0.87079054343175,"Interventions for improving outcomes in patients with multimorbidity in primary care and community settings.","Interventions for improving outcomes in patients with multimorbidity in primary care and community settings.",1,NA,NA,0,2012,2016,0.883333333333333,NA,NA,1,NA,NA,1,NA,NA,1,"Cochrane Database of Systematic Reviews","Cochrane Database of Systematic Reviews",1,0,NA,NA,"10.1002/14651858.CD006560.pub2","10.1002/14651858.CD006560.pub3",0.986666666666667,"sr3_elicit_486","sr3_elicit_43","elicit_tiab_exclude","elicit_tiab_exclude","elicit","elicit","sr3_elicit_486","sr3_elicit_43",FALSE,"sr3_elicit_43","sr3_elicit_486"
"20","J. Schnipper, L. Samal, Nyryan Nolido, Catherine S. Yoon, Anuj K. Dalal, Cherlie Magny-Normilus, A. Bitton, R. Thompson, Stephanie A. Labonville, G. Crevensten","Schnipper JL,Samal L,Nolido N,Yoon C,Dalal AK,Magny-Normilus C",0.646108067897477,"The Effects of a Multifaceted Intervention to Improve Care Transitions Within an Accountable Care Organization: Results of a Stepped-Wedge Cluster-Randomized Trial.","The effects of a multifaceted intervention to improve care transitions within an accountable care organization: results of a stepped-wedge cluster-randomized trial",1,NA,NA,0,2020,2021,0.883333333333333,NA,"1",NA,NA,"15-22",NA,NA,"16",NA,"Journal of Hospital Medicine","Journal of Hospital Medicine",1,0,NA,NA,"10.12788/jhm.3513","10.12788/jhm.3513",1,"sr3_elicit_63","sr3_original_150","elicit_ft_exclude","original_exclude","elicit","original","sr3_elicit_63","sr3_original_150",FALSE,"sr3_elicit_63","sr3_original_150"
"21","K. Finlayson, A. Chang, M. Courtney, H. Edwards, A. Parker, K. Hamilton, Thu Dinh Xuan Pham, Jane A O'Brien","Finlayson K,Chang AM,Courtney,Edwards HE,Parker AW,Hamilton K",0.698118073642817,"Transitional care interventions reduce unplanned hospital readmissions in high-risk older adults","Transitional care interventions reduce unplanned hospital readmissions in high-risk older adults",1,NA,NA,0,2018,2018,1,NA,"1",NA,NA,"956",NA,NA,"18",NA,"BMC Health Services Research","BMC Health Services Research",1,0,NA,NA,"10.1186/s12913-018-3771-9","10.1186/s12913-018-3771-9",1,"sr3_elicit_73","sr3_original_89","elicit_ft_include","original_exclude","elicit","original","sr3_elicit_73","sr3_original_89",FALSE,"sr3_elicit_73","sr3_original_89"
"22","Jocelyn Carter, Susan Hassan, Anne Walton, Liyang Yu, K. Donelan, A. Thorndike","Carter J,Hassan S,Walton A,Yu L,Donelan K,Thorndike AN",0.736942070275404,"Effect of Community Health Workers on 30-Day Hospital Readmissions in an Accountable Care Organization Population","Effect of community health workers on 30-day hospital readmissions in an accountable care organization population: a randomized clinical trial",0.96,NA,NA,0,2021,2021,1,NA,"5",NA,NA,"e2110936",NA,NA,"4",NA,"JAMA Network Open","JAMA Network Open",1,0,NA,NA,"10.1001/jamanetworkopen.2021.10936","10.1001/jamanetworkopen.2021.10936",1,"sr3_elicit_86","sr3_original_50","elicit_tiab_exclude","original_exclude","elicit","original","sr3_elicit_86","sr3_original_50",FALSE,"sr3_elicit_86","sr3_original_50"
"23","Englander H,Michaels L,Chan B,Kansagara D","Englander H,Michaels L,Chan B,Kansagara D",1,"The care transitions innovation (C-TraIn) for socioeconomically disadvantaged adults: results of a cluster randomized controlled trial","The care transitions innovation (C-train) for socioeconomically disadvantaged adults, results of a clustered randomized controlled trial",0.98004662004662,NA,NA,0,2014,2014,1,"11",NA,NA,"1460-1467","S221",0.453703703703704,"29","29",1,"Journal of General Internal Medicine","Journal of General Internal Medicine",1,0,NA,NA,"10.1007/s11606-014-2903-0",NA,NA,"sr3_original_83","sr3_original_84","original_exclude","original_exclude","original","original","sr3_original_83","sr3_original_84",FALSE,"sr3_original_83","sr3_original_84"
