Evaluation,Study,Original_value,SRP_value,Match_original,Additional_tags,Category,Subcategory,Quantitative
SR1_Elicit,Begni2021,Vehicle,Vehicle (control condition); SEP-856: 1 mg/kg; SEP-856: 3 mg/kg; SEP-856: 10 mg/kg; Phencyclidine (PCP): 2.0 mg/kg; D-amphetamine (AMPH): 0.1 mg/kg,TRUE,Yes and inappropriate,Comparison,N/A,FALSE
SR1_Elicit,Begni2021,"Locomotor activity, cognition","Locomotor activity, cognition, neurobiological",TRUE,Yes and inappropriate,Outcome,,FALSE
SR1_NK,Galley2012,Wistar (rat),Wistar,TRUE,No,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Galley2012,RO5073012,RO5073012,TRUE,No,Intervention,N/A,FALSE
SR1_NK,Galley2012,Vehicle,Vehicle,TRUE,No,Comparison,N/A,FALSE
SR1_NK,Galley2012,locomotor activity,locomotor activity,TRUE,No,Outcome,N/A,FALSE
SR1_NK,Revel2012b,C57BL/6J (mouse),C57BL/6J mice,TRUE,No,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Revel2012b,RO573012,RO5073012,TRUE,No,Intervention,N/A,FALSE
SR1_NK,Revel2012b,vehicle,Vehicle,TRUE,No,Comparison,N/A,FALSE
SR1_NK,Revel2012b,Locomotor activity,Locomotor activity,TRUE,No,Outcome,N/A,FALSE
SR1_NK,Revel2013,C57BL/6J (mouse); Long-evans (rat); Not”stated (mouse),long evans rats; C57BI/6J,FALSE,No,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Revel2013,RO5256390; RO5263397; RO5263397 & risperidone,RO5256390; RO5263397; RO5263397 & risperidone; RO5263397 & olanzapine,FALSE,Yes and inappropriate,Intervention,N/A,FALSE
SR1_NK,Revel2013,Vehicle; olanzipine; risperidone,vehicle,FALSE,No,Comparison,N/A,FALSE
SR1_NK,Revel2013,Locomotor activity; cognition,"locomotor activity, cognition",TRUE,No,Outcome,N/A,FALSE
SR1_NK,Dedic2019,C57BL/6J (mouse); Sprague-dawley (rat),C57BL/6J (mouse); Sprague-dawley (rat); nonhuman primate female baboons (Papio anubis); adult male BalbC/J mice,FALSE,Yes and appropriate,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Dedic2019,SEP-363856,SEP-363856 (SEP-856),TRUE,No,Intervention,N/A,FALSE
SR1_NK,Dedic2019,"vehicle, clozapine","Haloperidol, risperidone, quetiapine, clozapine, sertraline, PCP, 8-OH-DPAT, and WAY-100635, vehicle",FALSE,Yes and appropriate,Comparison,N/A,FALSE
SR1_NK,Dedic2019,"locomotor activity, social interaction","locomotor activity, prepulse inhibition, social interaction",FALSE,Yes and appropriate,Outcome,N/A,FALSE
SR1_NK,Leo2018,Wistar (rat),Wistar (rat),TRUE,No,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Leo2018,RO5203648,"RO5203648, haloperidol, escitalopram, amphetamine, Methylphenidate",FALSE,Yes and inappropriate,Intervention,N/A,FALSE
SR1_NK,Leo2018,Vehicle,Vehicle,TRUE,No,Comparison,N/A,FALSE
SR1_NK,Leo2018,locomotor activity,"locomotor activity, sensorimotor gating, behavioural outcomes, neurotransmitter concentrations, release and uptake, gene and protein expression",FALSE,Yes and appropriate,Outcome,N/A,FALSE
SR1_NK,Begni2021,Lister hooded,male Sprague-Dawley; female Lister hooded,FALSE,Yes and appropriate,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Begni2021,SEP-363856,SEP-363856,TRUE,No,Intervention,N/A,FALSE
SR1_NK,Begni2021,vehicle,vehicle,TRUE,No,Comparison,N/A,FALSE
SR1_NK,Begni2021,"cognition, locomotor activity","locomotor activity,  mRNA expression, regional brain outcomes",FALSE,Yes and inappropriate,Outcome,N/A,FALSE
SR1_NK,Kokkinou2021,C57BL/6 (mouse),mice,FALSE,No,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Kokkinou2021,SEP-856,"SEP-856, ketamine",FALSE,Yes and inappropriate,Intervention,N/A,FALSE
SR1_NK,Kokkinou2021,vehicle,saline vehicle,TRUE,No,Comparison,N/A,FALSE
SR1_NK,Kokkinou2021,neurobiological outcome,"locomotor activity, F-DOPA-PET",FALSE,Yes and appropriate,Outcome,N/A,FALSE
SR1_NK,Krasavin2022a,Wistar (rat),Wistar (rat),TRUE,No,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Krasavin2022a,LK000764,MK-801,FALSE,Yes and inappropriate,Intervention,N/A,FALSE
SR1_NK,Krasavin2022a,Vehicle,Vehicle,TRUE,No,Comparison,N/A,FALSE
SR1_NK,Krasavin2022a,Locomotor activity,"Locomotor activity, anxiety",FALSE,Yes and appropriate,Outcome,N/A,FALSE
SR1_NK,Krasavin2022b,Wistar (rat),Wistar (rat),TRUE,No,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Krasavin2022b,AP163,AP163,TRUE,No,Intervention,N/A,FALSE
SR1_NK,Krasavin2022b,Vehicle,Vehicle,TRUE,No,Comparison,N/A,FALSE
SR1_NK,Krasavin2022b,Locomotor activity,Locomotor activity,TRUE,No,Outcome,N/A,FALSE
SR1_NK,Saarinen2022,Not stated (mouse),mice,TRUE,No,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Saarinen2022,SEP-363856,"SEP-856,  MK-801",FALSE,Yes and inappropriate,Intervention,N/A,FALSE
SR1_NK,Saarinen2022,vehicle,vehicle,TRUE,No,Comparison,N/A,FALSE
SR1_NK,Saarinen2022,"locomotor activity, Prepulse inhibition","locomotor activity, Prepulse inhibition",TRUE,No,Outcome,N/A,FALSE
SR1_NK,Liang2022,ICR (mouse),mice,TRUE,No,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Liang2022,SEP-363856 & olanzapine; SEP-363856,"SEP-363856, MK-801, olanzipine, apomorphine",FALSE,Yes and inappropriate,Intervention,N/A,FALSE
SR1_NK,Liang2022,"vehicle, olanzipine",N.A,FALSE,Yes and inappropriate,Comparison,N/A,FALSE
SR1_NK,Liang2022,"locomotor activity, cognition","Locomotor activity, Behavioral Responses",FALSE,Yes and appropriate,Outcome,N/A,FALSE
SR1_NK,Wang2023,C57BL/6J (mouse),Sprague-Dawley mice,FALSE,Yes and appropriate,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Wang2023,"SEP-856, compounds 50A and 50B, ","SEP-856, MK-801, compounds 50A and 50B, ",FALSE,Yes and inappropriate,Intervention,N/A,FALSE
SR1_NK,Wang2023,"vehicle, aripiprazole, risperidone","vehicle, risperidone, aripiprazole ",TRUE,No,Comparison,N/A,FALSE
SR1_NK,Wang2023,locomotor activity,"locomotor activity, motor impairment",FALSE,Yes and inappropriate,Outcome,N/A,FALSE
SR1_NK,Revel2011,"C57BL/6J (mouse), NMRI mice","Mouse, Monkey",FALSE,Yes and inappropriate,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Revel2011,RO5166017,"RO5166017, Quinpirole, Ipsapirone, cocaine",FALSE,Yes and inappropriate,Intervention,N/A,FALSE
SR1_NK,Revel2011,vehicle  ,vehicle  ,TRUE,No,Comparison,N/A,FALSE
SR1_NK,Revel2011,"stereotypy, locomotor activity","anxiety, locomotor activity",FALSE,Yes and inappropriate,Outcome,N/A,FALSE
SR1_NK,Revel2012a,"C57Bl/6Jx129Sv/J (mouse), C57BL/6J (mouse), Wistar (rat)",mice,FALSE,No,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Revel2012a,RO5203648 ,"RO5203648, haloperidol, cocaine",FALSE,Yes and inappropriate,Intervention,N/A,FALSE
SR1_NK,Revel2012a,vehicle,N.A,FALSE,No,Comparison,N/A,FALSE
SR1_NK,Revel2012a,locomotor activity,"locomotor activity, anxiety, catalepsy, immobility",FALSE,Yes and inappropriate,Outcome,N/A,FALSE
SR1_NK,Cinque2018,Wistar (rat),Wistar rats,TRUE,No,Population,Population - (Animal) Species and strain,FALSE
SR1_NK,Cinque2018,RO-5203648,"RO-5203648, Amphetamine",FALSE,Yes and appropriate,Intervention,N/A,FALSE
SR1_NK,Cinque2018,vehicle,"vehicle, saline ",FALSE,Yes and appropriate,Comparison,N/A,FALSE
SR1_NK,Cinque2018,cognition,"locomotor activity, anxiety-related behaviour",FALSE,Yes and inappropriate,Outcome,N/A,FALSE
SR2_Elicit,Jakobsen2021b,SD Biosensor STANDARD Q COVID-19 Ag test,SD Biosensor STANDARD Q COVID-19 Ag test,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Jakobsen2021b,RT-PCR (Luna Universal Probe One-step RT-qPCR kit),Single target RT-PCR,TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Jakobsen2021b,69.7% (overall); 78.8% (symptomatic); 49.2% (asymptomatic),69.7% (overall); 78.8% (symptomatic); 49.2% (asymptomatic),TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Jakobsen2021b,"99.5% (overall), 98.8% (symptomatic), 99.6% (asymptomatic)","99.5% (overall), 98.8% (symptomatic), 99.6% (asymptomatic)",TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Jakobsen2021b,"87.0% (overall), 90.5% (symptomatic), 72.5% (asymptomatic)","87.0% (overall), 90.5% (symptomatic), 72.5% (asymptomatic)",TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Jakobsen2021b,"98.5% (overall), 97.1% (symptomatic), 99.0% (asymptomatic)","98.5% (overall), 97.1% (symptomatic), 99.0% (asymptomatic)",TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Jakobsen2021b,Oropharyngeal; Nasopharyngeal,Oropharyngeal; Nasopharyngeal,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Bulilete2021,Nasopharyngeal swabs,Nasopharyngeal swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Bulilete2021,71.40%,71.40%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Bulilete2021,99.80%,99.80%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Bulilete2021,98.00%,98.00%,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Bulilete2021,96.80%,96.80%,TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Bulilete2021,Abbott Panbio Ag-RDT,Abbott Panbio Ag-RDT,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Bulilete2021,RNA extraction was performed using the MagMAX™ Viral/Pathogen Nucleic Acid Isolation Kit (ThermoFisher) and amplification was performed using the TaqPath™ COVID-19 CE-IVD RT-PCR Kit and QuantStudio™ (ThermoFisher),Not reported,FALSE,No,Comparison,N/A,FALSE
SR2_Elicit,Thell2021,SARS-CoV-2 Rapid Antigen Test (Roche Diagnostics),Roche diagnostics SARS-CoV-2 Rapid Antigen Test,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Thell2021,rt-PCR,Standard real-time reverse-transcription polymerase chain reaction (rt-PCR),TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Thell2021,80.30%,80.30%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Thell2021,99.10%,99.10%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Thell2021,98.30%,98.30%,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Thell2021,88.60%,88.60%,TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Thell2021,not reported,Nasopharyngeal swabs,FALSE,Yes and inappropriate,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Jakobsen2021a,SD Biosensor STANDARD Q COVID-19 Ag test,SD Biosensor STANDARD Q COVID-19 Ag test,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Jakobsen2021a,"single-target RT-PCR, Luna Universal Probe One-step RT-qPCR kit",RT-PCR,FALSE,No,Comparison,N/A,FALSE
SR2_Elicit,Jakobsen2021a,69.70%,69.70%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Jakobsen2021a,99.50%,99.50%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Jakobsen2021a,87.00%,not mentioned,FALSE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Jakobsen2021a,98.60%,not mentioned,FALSE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Jakobsen2021a,Nasopharyngeal swabs; oropharyngeal swabs,Nasopharyngeal swabs; oropharyngeal swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Rohde2022,Roche SARS-CoV-2 Rapid Antigen Test,Roche SARS-CoV-2 Rapid Antigen Test,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Rohde2022,RT-PCR,RT-PCR,TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Rohde2022,78.30%,78.30%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Rohde2022,99.50%,99.50%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Rohde2022,93.90%,93.90%,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Rohde2022,97.80%,97.80%,TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Rohde2022,nasopharyngeal swab,nasopharyngeal swab,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Salvagno2021,Roche SARS-CoV-2 Rapid Antigen Test,Roche SARS-CoV-2 Rapid Antigen Test,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Salvagno2021," revere-transcription polymerase chain reaction (RT-PCR) assay (Seegene AllplexTM2019-nCoV Assay, Seegene, Seoul, South Korea)","RT-PCR, Seegene AllplexTM2019-nCoV Assay",TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Salvagno2021,72.50%,72.50%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Salvagno2021,99.40%,99.40%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Salvagno2021,nasopharyngeal swab,nasopharyngeal swab,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Lindner2021,"STANDARD Q COVID-19 Ag Test (SD Biosensor, Korea)",not mentioned,FALSE,No,Intervention,N/A,FALSE
SR2_Elicit,Lindner2021,PCR,PCR,TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Lindner2021,self-testing: 82.5%; professional: 85.0%,self-testing: 82.5%; professional: 85.0%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Lindner2021,self-testing: 100%; professional : 99.1%,not mentioned,FALSE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Lindner2021,nasal swabs; nasopharyngeal swabs; oropharyngeal swabs,nasal swabs; nasopharyngeal swabs; oropharyngeal swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Jakobsen2022,STANDARD Q COVID‐19 Ag test produced by SD BIOSENSOR,SD Biosensor,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Jakobsen2022,RT-PCR  ,RT-PCR  ,TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Jakobsen2022,48.50%,48.50%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Jakobsen2022,100%,100%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Jakobsen2022,100%,approximately 0.435%,FALSE,Yes and inappropriate,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Jakobsen2022,99.50%,not mentioned,FALSE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Jakobsen2022,oropharyngeal swab; nasal swabs,oropharyngeal swab; nasal swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,VanDerMoeren2021,BDveritor system for rapid detection of SARS-CoV-2,BD Veritor System for Rapid Detection of SARS-CoV-2,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,VanDerMoeren2021,Cobas 6800 (Roche) platform with Cobas1 SARS-CoV-2-192 PCR assay; m2000SP and m2000RT platform (Abbott) with Abbott Real Time SARS-CoV-2 Amplification Reagent kit,Cobas 6800 (Roche) platform with Cobas1 SARS-CoV-2-192 PCR assay; m2000SP and m2000RT platform (Abbott) with Abbott Real Time SARS-CoV-2 Amplification Reagent kit,TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,VanDerMoeren2021,Part one: 94.1%; Part two: 78.9%,Part one: 94.1%; Part two: 78.9%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,VanDerMoeren2021,visual interpretation: 100%; intepretation with analyser: 99.4%,visual interpretation: 100%; intepretation with analyser: 99.4%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,VanDerMoeren2021,population prevalence 4.8%: 100%; population prevalence 10%: 100%; population prevalence 20%: 100%,population prevalence of 4.8%: 100%,FALSE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,VanDerMoeren2021,population prevalence 4.8%: 99.7%; population prevalence 10%: 99.4%; population prevalence 20%: 98.6%,prevalence of 4.8%: 99.7%; population prevalence up to 20%: above 98%,FALSE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,VanDerMoeren2021,combined oropharyngeal and nasal swab,oropharyngeal swab; nasal swabs,FALSE,Yes and inappropriate,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Okoye2021,Abbott BinaxNOW COVID-19 Ag Card rapid antigen assay,Abbott BinaxNOW COVID-19 Ag Card rapid antigen assay,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Okoye2021,PCR test,PCR test,TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Okoye2021,91.84%,91.84%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Okoye2021,99.95%,99.95%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Okoye2021,95.74%,not mentioned,FALSE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Okoye2021,99.89%,not mentioned,FALSE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Okoye2021,nasal swabs,nasal swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Afzal2021,Abbott PANBIO COVID-19 rapid antigen test device,Abbott PANBIO COVID-19 rapid antigen test device,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Afzal2021,Nucleic acid extraction on Genrui auto extractor; RT-PCR on AMPLilab 96 thermocycler,Nucleic acid extraction on Genrui auto extractor; RT-PCR on AMPLilab 96 thermocycler,TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Afzal2021,90.47%,90.47%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Afzal2021,100%,100%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Afzal2021,100%,100%,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Afzal2021,99.80%,99.80%,TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Afzal2021,nasopharyngeal swabs; oropharyngeal swabs,nasopharyngeal swabs; oropharyngeal swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Rastawicki2021,PCL COVID-19 Ag rapid fluorescent immunoassay (FIA),PCL COVID-19 Ag rapid fluorescent immunoassay (FIA),TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Rastawicki2021,"commercial RT-PCR kits (Liferiver, DiaplexQ, or Vitassay)","Commercial RT-PCR kits (Liferiver, DiaplexQ, or Vitassay)",TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Rastawicki2021,38.90%,38.90%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Rastawicki2021,83.30%,83.30%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Rastawicki2021,Nasopharyngeal swabs; Blood,Nasopharyngeal swabs; Blood,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Fitoussi2021,BIOSYNEX Ag-RDT ,BIOSYNEX COVID-19 Ag BSS,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Fitoussi2021,multiplex real-time PCR Novel Coronavirus (2019-nCoV) Real-Time Multiplex RT-PCR Kit,real-time RT-PCR,FALSE,No,Comparison,N/A,FALSE
SR2_Elicit,Fitoussi2021,81.80%,81.80%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Fitoussi2021,99.60%,99.60%,TRUE,No,Outcome,Outcome - Specificity,TRUE
SR2_Elicit,Fitoussi2021,96.60%,96.60%,TRUE,No,Outcome,Outcome - Positive Predictive Value,TRUE
SR2_Elicit,Fitoussi2021,97.50%,97.50%,TRUE,No,Outcome,Outcome - Negative Predictive Value,TRUE
SR2_Elicit,Fitoussi2021,nasopharyngeal swabs,nasopharyngeal swabs,TRUE,No,Intervention,Intervention - Sample types,FALSE
SR2_Elicit,Fernández-Montero2021,Roche SARS-CoV-2 Rapid Antigen Test,Roche SARS-CoV-2 Rapid Antigen Test,TRUE,No,Intervention,N/A,FALSE
SR2_Elicit,Fernández-Montero2021,Realtime fluorescent RT-PCR kit for detecting 2019-nCoV (BGI ref. HW4412),Realtime fluorescent RT-PCR kit for detecting 2019-nCoV (BGI ref. HW4412),TRUE,No,Comparison,N/A,FALSE
SR2_Elicit,Fernández-Montero2021,71.43%,71.43%,TRUE,No,Outcome,Outcome - Sensitivity,TRUE
SR2_Elicit,Fernández-Montero2021,99.68%,99.68%,TRUE,No,Outcome,Outcome - Specificity,TRUE
