"duplicate_id","author","year","journal","doi","title","abstract","label","source","pages","volume","number","isbn","record_ids"
"sr3_original_27","Apter AJ,Localio AR,Morales KH,Han X,Perez L,Mullen AN","2019","Journal of Allergy and Clinical Immunology","10.1016/j.jaci.2019.05.030","Home visits for uncontrolled asthma among low-income adults with patient portal access","","nk_robot_exclude, original_exclude","original,nk","846-53.e11","144","3","","sr3_original_27,sr3_nk_9813"
"sr3_original_28","Atwood CE,Bhutani M,Ospina MB,Rowe BH,Leigh R,Deuchar L","2022","Chest","10.1016/j.chest.2022.03.047","Optimizing COPD acute care patient outcomes using a standardized transition bundle and care coordinator: a randomized clinical trial","","nk_robot_include, original_exclude","original,nk","321-330","162","2","","sr3_original_28,sr3_nk_586"
"sr3_original_29","Bekelman DB,Plomondon ME,Carey EP,Sullivan,Nelson KM,Hattler B","2015","JAMA Internal Medicine","10.1001/jamainternmed.2015.0315","Primary results of the Patient-Centered Disease Management (PCDM) for heart failure study: a randomized clinical trial","","nk_robot_include, original_exclude","original,nk","725-732","175","5","","sr3_original_29,sr3_nk_47"
"sr3_original_30","Bekelman DB,Allen LA,McBryde CF,Hattler B,Fairclough DL,Havranek EP","2018","JAMA Internal Medicine","10.1001/jamainternmed.2017.8667","Effect of a collaborative care intervention vs usual care on health status of patients with chronic heart failure: the CASA randomized clinical trial","","nk_robot_include, original_exclude","original,nk","511-519","178","4","","sr3_original_30,sr3_nk_798"
"sr3_original_31","Beland F,Bergman H,Lebel P,Clarfield AM,Tousignant P,Contandriopoulos AP","2006","Journals of Gerontology - Series A Biological Sciences and Medical Sciences","10.1093/gerona/61.4.367","A system of integrated care for older persons with disabilities in Canada: results from a randomized controlled trial","","nk_robot_exclude, original_exclude","original,nk","367-373","61","4","","sr3_original_31,sr3_nk_10385"
"sr3_original_32","Bell JF,Krupski A,Joesch JM,West II,Atkins DC,Court B","2015","Health Services Research","10.1111/1475-6773.12258","A randomized controlled trial of intensive care management for disabled Medicaid beneficiaries with high health care costs","","nk_robot_include, original_exclude","original,nk","663-689","50","3","","sr3_original_32,sr3_nk_10075"
"sr3_original_33","Berinstein J,Greenberg G,Cohen-Mekelburg S,Higgins PD","2021","Gastroenterology","10.1016/s0016-5085(21)01124-0","Clinical coordination and intense proactive monitoring to improve utilisation of resources and reduce expenditures in high-rigk IBD patients (CAPTURE IBD): a randomized, controlled quality improvement trial","","nk_robot_include, original_exclude","original,nk","S‐156","160","6","","sr3_original_33,sr3_nk_538"
"sr3_original_34","Biese KJ,Busby-Whitehead J,Cai J,Stearns SC,Roberts E,Mihas P","2018","Journal of the American Geriatrics Society","10.1111/jgs.15142","Telephone follow-up for older adults discharged to home from the emergency department: a pragmatic randomized controlled trial","","nk_robot_include, original_exclude","original,nk","452-458","66","3","","sr3_original_34,sr3_nk_2236"
"sr3_original_39","Bodenmann P,Velonaki VS,Griffin JL,Baggio S,Iglesias K,Moschetti K","2017","Journal of General Internal Medicine","10.1007/s11606-016-3789-9","Case management may reduce emergency department frequent use in a universal health coverage system: a randomized controlled trial","","nk_robot_include, original_exclude","original,nk","508-515","32","5","","sr3_original_39,sr3_nk_1157"
"sr3_original_42","Boult C,Reider L,Leff B,Frick KD,Boyd CM,Wolff JL","2011","Archives of Internal Medicine","10.1001/archinternmed.2010.540","The effect of guided care teams on the use of health services: results from a cluster-randomized controlled trial","","nk_robot_include, original_exclude","original,nk","460-466","171","5","","sr3_original_42,sr3_nk_17"
"sr3_original_44","Bruce ML,Lohman MC,Greenberg RL,Bao Y,Raue PJ","2016","Journal of the American Geriatrics Society","10.1111/jgs.14440","Integrating depression care management into Medicare home health reduces risk of 30- and 60-day hospitalization: the Depression Care for Patients at Home cluster-randomized trial","","nk_robot_exclude, original_exclude","original,nk","2196-2203","64","11","","sr3_original_44,sr3_nk_48"
"sr3_original_47","Cao G,Xie M,Xu Y,Huang J,Liang J,Tao B","2022","Reviews in Cardiovascular Medicine","10.31083/j.rcm2307234","A quasi-randomized controlled trial of an integrated healthcare model for patients with coronary heart disease","","nk_robot_exclude, original_exclude","original,nk","234","23","7","","sr3_original_47,sr3_nk_9398"
"sr3_original_48","Capp R,Kelley L,Ellis P,Carmona J,Lofton A,Cobbs-Lomax D","2014","Academic Emergency Medicine","10.1111/acem.12365","A feasibility and acceptability study: enrollment of medicaid frequent ed users in a navigation program to decrease barriers to outpatient care","","nk_robot_include, original_exclude","original,nk","S143-4","21","5","","sr3_original_48,sr3_nk_942"
"sr3_original_49","Carter J,Walton A,Donelan K,Thorndike A","2018","Contemporary Clinical Trials","10.1016/j.cct.2018.09.013","Implementing community health worker-patient pairings at the time of hospital discharge: a randomized control trial","","nk_robot_include, original_exclude","original,nk","32-37","74","","","sr3_original_49,sr3_nk_1834"
"sr3_original_50","Carter J,Hassan S,Walton A,Yu L,Donelan K,Thorndike AN","2021","JAMA Network Open","10.1001/jamanetworkopen.2021.10936","Effect of community health workers on 30-day hospital readmissions in an accountable care organization population: a randomized clinical trial","","nk_robot_include, original_exclude","original,nk","e2110936","4","5","","sr3_original_50,sr3_nk_1734"
"sr3_original_52","Chow SK,Wong FK","2014","Journal of Advanced Nursing","10.1111/jan.12375","A randomized controlled trial of a nurse-led case management programme for hospital-discharged older adults with co-morbidities","","nk_robot_include, original_exclude","original,nk","2257-2271","70","10","","sr3_original_52,sr3_nk_1750"
"sr3_original_53","Connolly MJ,Broad JB,Boyd M,Zhang TX,Kerse N,Foster S","2016","Age and Ageing","10.1093/ageing/afw037","The 'Big Five'. Hypothesis generation: a multidisciplinary intervention package reduces disease-specific hospitalisations from long-term care: a post hoc analysis of the ARCHUS cluster-randomised controlled trial","","nk_robot_exclude, original_exclude","original,nk","415-420","45","3","","sr3_original_53,sr3_nk_1754"
"sr3_original_55","Cossette S,Vadeboncoeur A,Frasure-Smith N,McCusker J,Perreault D,Guertin MC","2015","Canadian Journal of Emergency Medicine","10.2310/8000.2013.131291","Randomized controlled trial of a nursing intervention to reduce emergency department revisits","","nk_robot_include, original_exclude","original,nk","13-20","17","1","","sr3_original_55,sr3_nk_2836"
"sr3_original_57","Courtney M,Edwards H,Chang A,Parker A,Finlayson K,Hamilton K","2009","Journal of the American Geriatrics Society","10.1111/j.1532-5415.2009.02138.x","Fewer emergency readmissions and better quality of life for older adults at risk of hospital readmission: a randomized controlled trial to determine the effectiveness of a 24-week exercise and telephone follow-up program","","nk_robot_exclude, original_exclude","original,nk","395-402","57","3","","sr3_original_57,sr3_nk_1626"
"sr3_original_67","DeSalvo JM,Young GS,Krok-Schoen JL,Paskett ED","2018","Journal of Aging and Health","10.1177/0898264317715184","Characterizing time to diagnostic resolution after an abnormal cancer screening exam in older adult participants in the Ohio patient navigation research program","","nk_robot_exclude, original_exclude","original,nk","1284-1304","30","8","","sr3_original_67,sr3_nk_2422"
"sr3_original_68","Di Pollina L,Guessous I,Petoud V,Combescure C,Buchs B,Schaller P","2017","BMC Geriatrics","10.1186/s12877-017-0449-9","Integrated care at home reduces unnecessary hospitalizations of community-dwelling frail older adults: a prospective controlled trial","","nk_robot_exclude, original_exclude","original,nk","53","17","1","","sr3_original_68,sr3_nk_1096"
"sr3_original_69","Diplock G,Ward J,Stewart S,Scuffham P,Stewart P,Reeve C","2017","BMC Health Services Research","10.1186/s12913-017-2077-7","The Alice Springs Hospital Readmission Prevention Project (ASHRAPP): a randomised control trial","","nk_robot_exclude, original_exclude","original,nk","153","17","1","","sr3_original_69,sr3_nk_854"
"sr3_original_72","Dorr DA,Wilcox AB,Brunker CP,Burdon RE,Donnelly SM","2008","Journal of the American Geriatrics Society","10.1111/j.1532-5415.2008.02005.x","The effect of technology-supported, multidisease care management on the mortality and hospitalization of seniors","","nk_robot_exclude, original_exclude","original,nk","2195-2202","56","12","","sr3_original_72,sr3_nk_2539"
"sr3_original_74","Duflos C,Labarre JP,Ologeanu R,Robin M,Cayla G,Galinier M","2021","ESC Heart Failure","10.1002/ehf2.13086","PRADOC: a trial on the efficiency of a transition care management plan for hospitalized patients with heart failure in France","","nk_robot_exclude, original_exclude","original,nk","1649-1655","8","2","","sr3_original_74,sr3_nk_9589"
"sr3_original_76","Eastwood J","2019","International Journal of Integrated Care","10.5334/ijic.s3084","Big data evaluation of an integrated care initiative for vulnerable families","","nk_robot_exclude, original_exclude","original,nk","1-2","19","S1","","sr3_original_76,sr3_nk_7875"
"sr3_original_78","Ekdahl AW,Wirehn AB,Alwin J,Jaarsma T,Unosson M,Husberg M","2015","Journal of the American Medical Directors Association","10.1016/j.jamda.2015.01.074","Costs and effects of an ambulatory geriatric unit (the AGe-FIT Study): a randomized controlled trial","","nk_robot_exclude, original_exclude","original,nk","497-503","16","6","","sr3_original_78,sr3_nk_2847"
"sr3_original_80","Ellen F,Martina R,Klaus W","2018","European Geriatric Medicine","10.1007/s41999-018-0097-4","Trans-sectional intervention program to improve geriatric care in Regensburg [TIGER]: the transitional care model applied in Germany","","nk_robot_exclude, original_exclude","original,nk","S140","9","","","sr3_original_80,sr3_nk_1804"
"sr3_original_82","Enard KR,Nevarez L,Hernandez M,Hovick SR,Moguel MR,Hajek RA","2015","Cancer Causes Control","10.1007/s10552-015-0620-6","Patient navigation to increase colorectal cancer screening among Latino Medicare enrollees: a randomized controlled trial","","nk_robot_include, original_exclude","original,nk","1351-1359","26","9","","sr3_original_82,sr3_nk_2365"
"sr3_original_85","Entesari-Tatafi D,Stevens J,Hayles R,Bell J,Steinfort C","2017","Respirology","10.1111/resp.13010","Telemedicine to deliver personalised health care in chronic obstructive pulmonary disease may reduce hospital admissions","","nk_robot_exclude, original_exclude","original,nk","128","22","","","sr3_original_85,sr3_nk_357"
"sr3_original_86","Fan VS,Gaziano JM,Lew R,Bourbeau J,Adams SG,Leatherman S","2012","Annals of Internal Medicine","10.7326/0003-4819-156-10-201205150-00003","A comprehensive care management program to prevent chronic obstructive pulmonary disease hospitalizations: a randomized, controlled trial","","nk_robot_include, original_exclude","original,nk","673-683","156","10","","sr3_original_86,sr3_nk_2473"
"sr3_original_87","Feldman CH,Wohlfahrt A,Campos A,Gagne JJ,Iversen,Massarotti E","2018","Arthritis Care & Research","10.1002/acr.23302","Can patient navigators improve adherence to disease-modifying antirheumatic drugs? Quantitative findings from a six-month single-arm pilot intervention","","nk_robot_exclude, original_exclude","original,nk","1400-1405","70","9","","sr3_original_87,sr3_nk_2434"
"sr3_original_88","Finkelstein A,Zhou A,Taubman S,Doyle J","2020","New Englan Journal of Medicine","10.1056/nejmsa1906848","Health care hotspotting - A randomized, controlled trial","","nk_robot_include, original_exclude","original,nk","152-162","382","2","","sr3_original_88,sr3_nk_777"
"sr3_original_89","Finlayson K,Chang AM,Courtney,Edwards HE,Parker AW,Hamilton K","2018","BMC Health Services Research","10.1186/s12913-018-3771-9","Transitional care interventions reduce unplanned hospital readmissions in high-risk older adults","","nk_robot_include, original_exclude","original,nk","956","18","1","","sr3_original_89,sr3_nk_856"
"sr3_original_90","Fishbane S,Agoritsas S,Bellucci A,Halinski C,Shah HH,Sakhiya V","2017","American Journal of Kidney Diseases","10.1053/j.ajkd.2017.02.366","Augmented nurse care management in CKD Stages 4 to 5: a randomized trial","","nk_robot_exclude, original_exclude","original,nk","498-505","70","4","","sr3_original_90,sr3_nk_9941"
"sr3_original_91","Foster SJ,Boyd M,Broad JB,Whitehead N,Kerse N,Lumley T","2012","BMC Geriatrics","10.1186/1471-2318-12-54","Aged Residential Care Health Utilisation Study (ARCHUS): a randomised controlled trial to reduce acute hospitalisations from residential aged care","","nk_robot_exclude, original_exclude","original,nk","54","12","","","sr3_original_91,sr3_nk_18"
"sr3_original_92","Freund T,Peters-Klimm F,Boyd CM,Mahler C,Gensichen J,Erler A","2016","Annals of Internal Medicine","10.7326/m14-2403","Medical assistant-based care management for high-risk patients in small primary care practices: a cluster randomized clinical trial","","nk_robot_exclude, original_exclude","original,nk","323-330","164","5","","sr3_original_92,sr3_nk_922"
"sr3_original_94","Gallo LC,Fortmann AL,Clark TL,Roesch SC,Bravin JI,Spierling Bagsic SR","2023","Journal of General Internal Medicine","10.1007/s11606-022-08006-1","Mi Puente (My Bridge) care transitions program for Hispanic/Latino adults with multimorbidity: results of a randomized controlled trial","","nk_robot_include, original_exclude","original,nk","2098‐106","38","9","","sr3_original_94,sr3_nk_2269"
"sr3_original_96","Gary TL,Batts-Turner M,Yeh HC,Hill-Briggs F,Bone LR,Wang NY","2009","Archives of Internal Medicine","10.1001/archinternmed.2009.338","The effects of a nurse case manager and a community health worker team on diabetic control, emergency department visits, and hospitalizations among urban African Americans with type 2 diabetes mellitus: a randomized controlled trial","","nk_robot_include, original_exclude","original,nk","1788-1794","169","19","","sr3_original_96,sr3_nk_2504"
"sr3_original_97","Gellis ZD,Kenaley BL,Have TT","2014","Journal of the American Geriatrics Society","10.1111/jgs.12776","Integrated telehealth care for chronic illness and depression in geriatric home care patients: the Integrated Telehealth Education and Activation of Mood (I-TEAM) study","","nk_robot_include, original_exclude","original,nk","889-895","62","5","","sr3_original_97,sr3_nk_10125"
"sr3_original_99","Godwin M,Gadag V,Pike A,Pitcher H,Parsons K,McCrate F","2016","Family Practice","10.1093/fampra/cmv089","A randomized controlled trial of the effect of an intensive 1-year care management program on measures of health status in independent, community-living old elderly: the Eldercare project","","nk_robot_exclude, original_exclude","original,nk","37-41","33","1","","sr3_original_99,sr3_nk_159"
"sr3_original_100","Goldman LE,Sarkar U,Kessell E,Guzman D,Schneidermann M,Pierluissi E","2014","Annals of Internal Medicine","10.7326/m14-0094","Support from hospital to home for elders: a randomized trial","","nk_robot_include, original_exclude","original,nk","472-481","161","7","","sr3_original_100,sr3_nk_1758"
"sr3_original_102","Griswold KS,Homish GG,Pastore PA,Leonard KE","2010","Community Mental Health Journal","10.1007/s10597-010-9300-x","A randomized trial: are care navigators effective in connecting patients to primary care after psychiatric crisis?","","nk_robot_include, original_exclude","original,nk","398-402","46","4","","sr3_original_102,sr3_nk_2542"
"sr3_original_103","Hanrahan NP,Solomon P,Hurford MO","2014","Journal of the American Psychiatric Nurses Association","10.1177/1078390314552190","A pilot randomized control trial: testing a transitional care model for acute psychiatric conditions","","nk_robot_exclude, original_exclude","original,nk","315-327","20","5","","sr3_original_103,sr3_nk_2216"
"sr3_original_104","Hansen TK,Pedersen LH,Shahla S,Damsgaard EM,Bruun JM,Gregersen M","2021","Archives of Gerontology and Geriatrics","10.1016/j.archger.2021.104511","Effects of a new early municipality-based versus a geriatric team-based transitional care intervention on readmission and mortality among frail older patients - a randomised controlled trial","","nk_robot_exclude, original_exclude","original,nk","104511","97","","","sr3_original_104,sr3_nk_83"
"sr3_original_106","Hengartner MP,Passalacqua S,Heim G,Andreae A,Rossler W,von Wyl A","2016","Frontiers in Psychiatry","10.3389/fpsyt.2016.00027","The post-discharge network coordination programme: a randomized controlled trial to evaluate the efficacy of an intervention aimed at reducing rehospitalizations and improving mental health","","nk_robot_include, original_exclude","original,nk","27","7","","","sr3_original_106,sr3_nk_9999"
"sr3_original_107","Hernandez C,Alonso A,Garcia-Aymerich J,Serra I,Marti D,Rodriguez-Roisin R","2015","NPJ Primary Care Respiratory Medicine","10.1038/npjpcrm.2015.22","Effectiveness of community-based integrated care in frail COPD patients: a randomised controlled trial","","nk_robot_include, original_exclude","original,nk","15022","25","","","sr3_original_107,sr3_nk_829"
"sr3_original_109","Ko FW,Cheung NK,Rainer TH,Lum C,Wong I,Hui DS","2017","Thorax","10.1136/thoraxjnl-2016-208396","Comprehensive care programme for patients with chronic obstructive pulmonary disease: a randomised controlled trial","","nk_robot_exclude, original_exclude","original,nk","122-128","72","2","","sr3_original_109,sr3_nk_1753"
"sr3_original_113","Lashley C,Taylor SP,Brown R,Burke L,Chou SH,Cunningham K","2019","Trials","10.1186/s13063-019-3792-7","Structured, proactive care coordination versus usual care for Improving Morbidity during Post-Acute Care Transitions for Sepsis (IMPACTS): a pragmatic, randomized controlled trial","","nk_robot_include, original_exclude","original,nk","660","20","1","","sr3_original_113,sr3_nk_9841"
"sr3_original_119","Liang HY,Hann LL,Yu CC,Mei WF,Yu S","2021","Journal of Nursing Scholarship","10.1111/jnu.12622","Effectiveness of a nurse‐led tele‐homecare program for patients with multiple chronic illnesses and a high risk for readmission: a randomized controlled trial","","nk_robot_include, original_exclude","original,nk","161-170","53","2","","sr3_original_119,sr3_nk_7620"
"sr3_original_120","Mann J,Thompson F,McDermott R,Esterman A,Strivens E","2021","BMC Health Services Research","10.1186/s12913-021-06668-x","Impact of an integrated community-based model of care for older people with complex conditions on hospital emergency presentations and admissions: a step-wedged cluster randomized trial","","nk_robot_exclude, original_exclude","original,nk","701","21","1","","sr3_original_120,sr3_nk_645"
"sr3_original_122","Metsch LR,Feaster DJ,Gooden L,Matheson T,Stitzer M,Das M","2016","JAMA","10.1001/jama.2016.8914","Effect of patient navigation with or without financial incentives on viral suppression among hospitalized patients with HIV infection and substance use: a randomized clinical trial","","nk_robot_exclude, original_exclude","original,nk","156-170","316","2","","sr3_original_122,sr3_nk_2430"
"sr3_original_123","Mizukawa M,Moriyama M,Yamamoto H,Rahman MM,Naka M,Kitagawa T","2019","International Heart Journal","10.1536/ihj.19-313","Nurse-led collaborative management using telemonitoring improves quality of life and prevention of rehospitalization in patients with heart failure","","nk_robot_include, original_exclude","original,nk","1293-1302","60","6","","sr3_original_123,sr3_nk_793"
"sr3_original_126","Naylor,McCauley KM","1999","Journal of Cardiovascular Nursing","10.1097/00005082-199910000-00006","The effects of a discharge planning and home follow-up intervention on elders hospitalized with common medical and surgical cardiac conditions","","nk_robot_exclude, original_exclude","original,nk","44‐54","14","1","","sr3_original_126,sr3_nk_1318"
"sr3_original_127","Naylor,Hirschman KB,McCauley K,Shaid EC,Hanlon AL,Whitehouse CR","2022","Contemporary Clinical Trials","10.1016/j.cct.2021.106620","Mirror-TCM: multisite replication of a randomized controlled trial – transitional care model","","nk_robot_exclude, original_exclude","original,nk","106620","112","","","sr3_original_127,sr3_nk_9489"
"sr3_original_128","Occelli P,Touzet S,Rabilloud M,Ganne C,Poupon Bourdy S","2016","BMC Geriatrics","10.1186/s12877-016-0233-2","Impact of a transition nurse program on the prevention of thirty-day hospital readmissions of elderly patients discharged from short-stay units: study protocol of the PROUST stepped-wedge cluster randomised trial","","nk_robot_exclude, original_exclude","original,nk","57","16","","","sr3_original_128,sr3_nk_1539"
"sr3_original_131","Pantell MS,Hessler D,Long D,Alqassari M,Schudel C,Laves E","2020","JAMA Network Open","10.1001/jamanetworkopen.2020.6445","Effects of in-person navigation to address family social needs on child health care utilization: a randomized clinical trial","","nk_robot_include, original_exclude","original,nk","e206445","3","6","","sr3_original_131,sr3_nk_2131"
"sr3_original_132","Parsons M,Parsons J,Rouse P,Pillai A,Mathieson S,Parsons R","2018","Age and Ageing","10.1093/ageing/afx169","Supported discharge teams for older people in hospital acute care: a randomised controlled trial","","nk_robot_exclude, original_exclude","original,nk","288-294","47","2","","sr3_original_132,sr3_nk_1674"
"sr3_original_133","Patricia J,Verweij L,Buurman B,Terbraak M,Daliri S,Latour C","2020","European Geriatric Medicine","10.1007/s41999-020-00428-6","Effect of nurse-coordinated transitional care in high risk older cardiac patients: the cardiac care bridge randomized clinical trial","","nk_robot_include, original_exclude","original,nk","S115","11","SUPPL 1","","sr3_original_133,sr3_nk_795"
"sr3_original_134","Peikes D,Chen A,Schore J,Brown R","2009","JAMA","10.1001/jama.2009.126","Effects of care coordination on hospitalization, quality of care, and health care expenditures among Medicare beneficiaries: 15 randomized trials","","nk_robot_include, original_exclude","original,nk","603-618","301","6","","sr3_original_134,sr3_nk_640"
"sr3_original_135","Pevnick JM,Keller MS,Kennelty KA,Nuckols TK,Ko EM,Amer K","2021","Contemporary Clinical Trials","10.1016/j.cct.2021.106419","The Pharmacist Discharge Care (PHARM-DC) study: a multicenter RCT of pharmacist-directed transitional care to reduce post-hospitalization utilization","","nk_robot_exclude, original_exclude","original,nk","106419","106","","","sr3_original_135,sr3_nk_2280"
"sr3_original_138","Pusateri A,Litzenberg K,Griffiths C,Hayes C,Gnyawali B,Manious M","2023","World Journal of Hepatology","10.4254/wjh.v15.i6.826","Randomized intervention and outpatient follow-up lowers 30-d readmissions for patients with hepatic encephalopathy, decompensated cirrhosis","","nk_robot_include, original_exclude","original,nk","826‐40","15","6","","sr3_original_138,sr3_nk_2007"
"sr3_original_141","Rea HH,Kenealy TW,Rolland T-M,Naumann C,Hou T,Sheridan N","2016","International Journal of Integrated Care","10.5334/ijic.2674","Enabling integrated health and care","","nk_robot_exclude, original_exclude","original,nk","1-3","16","6","","sr3_original_141,sr3_nk_7784"
"sr3_original_142","Reuland DS,Brenner AT,Hoffman R,McWilliams A,Rhyne RL,Getrich C","2017","JAMA Internal Medicine","10.1001/jamainternmed.2017.1294","Effect of combined patient decision aid and patient navigation vs usual care for colorectal cancer screening in a vulnerable patient population: a randomized clinical trial","","nk_robot_exclude, original_exclude","original,nk","967-974","177","7","","sr3_original_142,sr3_nk_2287"
"sr3_original_143","Rice KL,Dewan N,Bloomfield HE,Grill J,Schult TM,Nelson DB","2010","American Journal of Respiratory and Critical Care Medicine","10.1164/rccm.200910-1579oc","Disease management program for chronic obstructive pulmonary disease: a randomized controlled trial","","nk_robot_exclude, original_exclude","original,nk","890-896","182","7","","sr3_original_143,sr3_nk_1752"
"sr3_original_146","Riegel B,Carlson B,Glaser D,Romero T","2006","Journal of Cardiac Failure","10.1016/j.cardfail.2006.01.005","Randomized controlled trial of telephone case management in Hispanics of Mexican origin with heart failure","","nk_robot_exclude, original_exclude","original,nk","211-219","12","3","","sr3_original_146,sr3_nk_10379"
"sr3_original_147","Rose L,Istanboulian L,Carriere L,Price A,Lee L,Rezaie S","2018","American Journal of Respiratory and Critical Care Medicine","10.1183/13993003.01567-2017","Program of integrated care for patients with chronic obstructive pulmonary disease and multiple comorbidities (PIC COPD+): a randomized controlled trial","","nk_robot_include, original_exclude","original,nk","1701567","51","1","","sr3_original_147,sr3_nk_1497"
"sr3_original_149","Saltbaek L,Bidstrup PE,Karlsen RV,Hoeg BL,Horsboel TA,Belmonte F","2024","Journal of Clinical Oncology","10.1200/jco.23.01447","Nurse-led individualized follow-up versus regular physician-led visits after early breast cancer (MyHealth): a phase III randomized, controlled trial","","nk_robot_include, original_exclude","original,nk","2038-2049","42","17","","sr3_original_149,sr3_nk_1451"
"sr3_original_150","Schnipper JL,Samal L,Nolido N,Yoon C,Dalal AK,Magny-Normilus C","2021","Journal of Hospital Medicine","10.12788/jhm.3513","The effects of a multifaceted intervention to improve care transitions within an accountable care organization: results of a stepped-wedge cluster-randomized trial","","nk_robot_include, original_exclude","original,nk","15-22","16","1","","sr3_original_150,sr3_nk_911"
"sr3_original_152","Shumway M,Boccellari A,O'Brien K,Okin RL","2008","American Journal of Emergency Medicine","10.1016/j.ajem.2007.04.021","Cost-effectiveness of clinical case management for ED frequent users: results of a randomized trial","","nk_robot_include, original_exclude","original,nk","155-164","26","2","","sr3_original_152,sr3_nk_974"
"sr3_original_153","Snethen G,McCormick BP,Nagata S,Salzer MS","2024","Psychiatric Rehabilitation Journal","10.1037/prj0000593","Independence through community access and navigation: a supported leisure intervention for individuals with negative symptoms","","nk_robot_exclude, original_exclude","original,nk","106-116","47","2","","sr3_original_153,sr3_nk_3112"
