"author","title","doi","journal","year","pages","volume","number","abstract","record_id","isbn","label","source","doi_clean"
"Ford L.Lee C.Pray I. W.Cole D.Bigouette J. P.Abedi G. R.Bushman D.Delahoy M. J.Currie D. W.Cherney B.Kirby M.Fajardo G.Caudill M.Langolf K.Kahrs J.Zochert T.Kelly P.Pitts C.Lim A.Aulik N.Tamin
A.Harcourt J. L.Queen K.Zhang J.Whitaker
B.Browne H.Medrzycki M.Shewmaker P.Bonenfant G.Zhou B.Folster J.Bankamp B.Bowen M. D.Thornburg N. J.Goffard K.Limbago B.Bateman A.Tate J. E.Gieryn D.Kirking H. L.Westergaard R.Killerby M.","Epidemiologic characteristics associated with SARS-CoV-2 antigen-based test results, rRT-PCR cycle threshold values, subgenomic RNA, and viral culture results from university testing","DOI: 10.1093/cid/ciab303","",NA,NA,NA,NA,NA,"sr2_original_108",NA,"original_ft_exclude","original","10.1093/cid/ciab303"
"L. Ford; C. Lee; I. W. Pray; D. Cole; J. P. Bigouette; G. R. Abedi; D. Bushman; M. J. Delahoy; D. W. Currie; B. Cherney; M. K. Kirby; G. C. Fajardo; M. Caudill; K. Langolf;
J. Kahrs; T. Zochert; P. Kelly; C. Pitts; A. Lim; N. Aulik; A. Tamin; J. L. Harcourt; K. Queen; J. Zhang; B. Whitaker; H. Browne;
M. Medrzycki; P. L. Shewmaker; G. Bonenfant; B. Zhou; J. M. Folster; B. Bankamp; M. D. Bowen; N. J. Thornburg;
K. Goffard; B. Limbago; A. Bateman; J. E. Tate; D. Gieryn; H. L. Kirking; R. P.
Westergaard; M. E. Killerby","Epidemiologic Characteristics Associated With Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Antigen-Based Test Results, Real-Time Reverse Transcription Polymerase Chain Reaction (rRT-PCR) Cycle Threshold Values, Subgenomic RNA, and Viral Culture Results From University Testing","DOI: 10.1093/cid/ciab303","",NA,NA,NA,NA,NA,"sr2_original_147",NA,"original_ft_exclude","original","10.1093/cid/ciab303"
"I. Karuga; P. Munyua; C. Ochieng; B. Juma; P. Amoth; F. Kuria; J. Kiiru; L. Makayotto; A. Abade; M. Bulterys; E. Hunsperger; G. O. Emukule; C. Onyango;
T. Samandari; B. A. Tippett Barr; V. Akelo;
H. Weyenga; P. K. Munywoki; G. Bigogo;
N. A. Otieno; J. A. Kisivuli; E. Ochieng; R. Nyaga; N. Hull; A. Herman-Roloff; R. Aman","Diagnostic accuracy of the Panbio™ COVID-19 Antigen rapid test device for SARS- CoV-2 detection in Kenya, 2021: A field evaluation","https://doi.org/10.1101/2022.05.23.22275439; this","",NA,NA,NA,NA,NA,"sr2_original_153",NA,"original_ft_exclude","original","10.1101/2022.05.23.22275439"
"I. Jack Karuga; M. Peninah; O. Caroline; J. Bonventure; A. Patrick; K. Francis; K. John;
M. Lyndah; A. Ahmed; B. Marc; H. Elizabeth; O. E. Gideon; O. Clayton; S. Taraz; A. T. B. Beth; A. Victor; W. Herman;
K. M. Patrick; B. Godfrey; A. O. Nancy; K. Jackton Azenga; O. Edwin; N. Rufus; H.
Noah; H.-R. Amy; A. Rashid","Diagnostic accuracy of the Panbio COVID-19 Antigen rapid test device for SARS-CoV 2 detection in Kenya, 2021: A field evaluation","https://doi.org/10.1101/2022.05.23.22275439; this","",NA,NA,NA,NA,NA,"sr2_original_191",NA,"original_ft_exclude","original","10.1101/2022.05.23.22275439"
"Rusanen J.Kareinen L.Szirovicza L.U?urlu H.Levanov L.Jääskeläinen A.Ahava M.Kurkela S.Saksela K.Hedman K.Vapalahti O.Hepojoki J.","A Generic, Scalable, and Rapid Time-Resolved Förster Resonance Energy Transfer- Based Assay for Antigen Detection-SARS-CoV-2 as a Proof of Concept","https://doi.org/10.1128/mBio.00902-21.","",NA,NA,NA,NA,NA,"sr2_original_24",NA,"original_ft_exclude","original","10.1128/mBio.00902-21"
"J. Rusanen; L. Kareinen; L. Szirovicza; H. Ugurlu; L. Levanov; A. Jääskeläinen; M. Ahava; S. Kurkela; K. Saksela; K. Hedman;
O. Vapalahti; J. Hepojoki","A generic, scalable, and rapid time-resolved förster resonance energy transfer-based assay for antigen detection—sars-cov-2 as a proof of concept","doi: 10.1128/mBio.00902-21","",NA,NA,NA,NA,NA,"sr2_original_253",NA,"original_ft_exclude","original","10.1128/mBio.00902-21"
"Berger A.Nsoga M. T. N.Perez-Rodriguez
F. J.Aad Y. A.Sattonnet-Roche P.Gayet- Ageron A.Jaksic C.Torriani G.Boehm E.Kronig I.Sacks J. A.de Vos M.Bausch F. J.Chappuis F.Renzoni A.Kaiser L.Schibler
M.Eckerle I.","Diagnostic accuracy of two commercial SARS-CoV-2 antigen-detecting rapid tests at the point of care in community-based testing centers","https://doi.org/10.1371/journal.pone.0248921","",NA,NA,NA,NA,NA,"sr2_original_99",NA,"original_ft_exclude","original","10.1371/journal.pone.0248921"
"A. Berger; M. T. N. Nsoga; F. J. Perez- Rodriguez; Y. A. Aad; P. Sattonnet-Roche;
A. Gayet-Ageron; C. Jaksic; G. Torriani; E. Boehm; I. Kronig; J. A. Sacks; M. de Vos;
F. Jacquerioz Bausch; F. Chappuis; A.
Renzoni; L. Kaiser; M. Schibler; I. Eckerle","Diagnostic accuracy of two commercial SARSCoV- 2 antigen-detecting rapid tests at the point of care in community-based testing centers","https://doi.org/10.1371/journal.pone.0248921","",NA,NA,NA,NA,NA,"sr2_original_184",NA,"original_ft_exclude","original","10.1371/journal.pone.0248921"
"V. R. Francis; M. A. R. V. Muthugala","Field evaluation of a commercially available COVID-19 rapid antigen test kit","https://doi.org/10.1371/journal.pone.0262399","",NA,NA,NA,NA,NA,"sr2_original_379",NA,"original_ca_exclude","original","10.1371/journal.pone.0262399"
"M. Nora; D. Deri; D. S. Veres; Z. Kis; E. Barcsay; B. Palyi","Evaluating the field performance of multiple SARS-Cov-2 antigen rapid tests using nasopharyngeal swab samples","10.1371/journal.pone.0262399","PLoS One",NA,NA,NA,NA,NA,"sr2_original_532",NA,"original_data_include","original","10.1371/journal.pone.0262399"
"Mertens P.De Vos N.Martiny D.Jassoy C.Mirazimi A.Cuypers L.Van den Wijngaert S.Monteil V.Melin P.Stoffels K.Yin N.Mileto D.Delaunoy S.Magein H.Lagrou K.Bouzet J.Serrano G.Wautier M.Leclipteux T.Van Ranst M.Vandenberg O.","Development and Potential Usefulness of the COVID-19 Ag Respi-Strip Diagnostic Assay in a Pandemic Context","doi: 10.3389/fmed.2020.00225. eCollection 2020","",NA,NA,NA,NA,NA,"sr2_original_340",NA,"original_ca_exclude","original","10.3389/fmed.2020.00225"
"Nalumansi A.Lutalo T.Kayiwa J.Watera C.Balinandi S.Kiconco J.Nakaseegu J.Olara D.Odwilo E.Serwanga J.Kikaire B.Ssemwanga D.Nabadda S.Ssewanyana I.Atwine D.Mwebesa H.Bosa H. K.Nsereko C.Cotten
M.Downing R.Lutwama J.Kaleebu P.","Field evaluation of the performance of a SARS-CoV-2 antigen rapid diagnostic test in Uganda using nasopharyngeal samples","doi: 10.3389/fmed.2020.00225. eCollection 2020","",NA,NA,NA,NA,NA,"sr2_original_341",NA,"original_ca_exclude","original","10.3389/fmed.2020.00225"
"F. Colavita; F. Vairo; S. Meschi; M. B. Valli;
E. Lalle; C. Castilletti; D. Fusco; G. Spiga;
P. Bartoletti; S. Ursino; M. Sanguinetti; A. Di Caro; F. Vaia; G. Ippolito; M. R. Capobianchi","Covid-19 rapid antigen test as screening strategy at points of entry: Experience in lazio region, central italy, august–october 2020","https://doi.org/10.3390/biom11030425","",NA,NA,NA,NA,NA,"sr2_original_58",NA,"original_ft_exclude","original","10.3390/biom11030425"
"B.Lalle E.Castilletti C.Fusco D.Spiga G.Bartoletti P.Ursino S.Sanguinetti M.Di Caro A.Vaia F.Ippolito G.Capobianchi M. R.","COVID-19 Rapid Antigen Test as Screening Strategy at Points of Entry: Experience in Lazio Region, Central Italy, August-October 2020","doi.org/10.3390/biom11030425","",NA,NA,NA,NA,NA,"sr2_original_225",NA,"original_ft_exclude","original","10.3390/biom11030425"
"W. Y. Hsieh; C. H. Lin; T. C. Lin; C. H. Lin;
H. F. Chang; C. H. Tsai; H. T. Wu; C. S.
Lin","Development and Efficacy of Lateral Flow Point-of-Care Testing Devices for Rapid and Mass COVID-19 Diagnosis by the Detections of SARS-CoV-2 Antigen and Anti- SARS-CoV-2 Antibodies","https://doi.org/10.3390/diagnostics11101760","",NA,NA,NA,NA,NA,"sr2_original_304",NA,"original_ft_exclude","original","10.3390/diagnostics11101760"
"W. Y. Hsieh; C. H. Lin; T. C. Lin; C. H. Lin;
H. F. Chang; C. H. Tsai; H. T. Wu; C. S.
Lin","Development and Efficacy of Lateral Flow Point-of-Care Testing Devices for Rapid and Mass COVID-19 Diagnosis by the Detections of SARS-CoV-2 Antigen and Anti- SARS-CoV-2 Antibodies","https://doi.org/10.3390/diagnostics11101760","",NA,NA,NA,NA,NA,"sr2_original_305",NA,"original_ft_exclude","original","10.3390/diagnostics11101760"
"Kotsiou Ourania S.Pantazopoulos IoannisPapagiannis DimitriosFradelos Evangelos C.Kanellopoulos NikolaosSiachpazidou DimitraKirgou ParaskeviMouliou Dimitra S.Kyritsis AthanasiosKalantzis GeorgiosSaharidis Georgios K. D.Tzounis EfthymiosGourgoulianis Konstantinos I.","Repeated Antigen-Based Rapid Diagnostic Testing for Estimating the Coronavirus Disease 2019 Prevalence from the Perspective of the Workers&#039; Vulnerability before and during the Lockdown","https://doi.org/10.3390/ijerph18041638","",NA,NA,NA,NA,NA,"sr2_original_329",NA,"original_ca_exclude","original","10.3390/ijerph18041638"
"Kuo Peiting Realegeno Susan Pride David T.","Comparison of Two Nucleic Acid Amplification Tests (NAATs) and Two Antigen Tests for Detection of SARS-CoV-2 from Upper Respiratory Specimens","https://doi.org/10.3390/ijerph18041638","",NA,NA,NA,NA,NA,"sr2_original_330",NA,"original_ca_exclude","original","10.3390/ijerph18041638"
"Gestoso-Pecellín LidiaGarcía-Flores YuneysaGonzález-Quintana PinoMarrero- Arencibia José Luis","Recommendations for use of the diverse tests for detection of SARS-COV-2 infection","doi:10.37201/req/120.2020","",NA,NA,NA,NA,NA,"sr2_original_262",NA,"original_ft_exclude","original","10.37201/req/120.2020"
"Candel F. J.Barreiro P.San Román J.Abanades J. C.Barba R.Barberán J.Bibiano C.Canora J.Cantón R.Calvo C.Carretero M.Cava F.Delgado R.García- Rodríguez J.González Del Castillo J.González de Villaumbrosia C.Hernández M.Losa J. E.Martínez-Peromingo F. J.Molero J. M.Muñoz P.Onecha E.Onoda M.Rodríguez J.Sánchez-Celaya M.Serra J.
A.Zapatero A.","Recommendations for use of antigenic tests in the diagnosis of acute SARS-CoV-2 infection in the second pandemic wave: attitude in different clinical settings","doi:10.37201/req/120.2020","",NA,NA,NA,NA,NA,"sr2_original_268",NA,"original_ft_exclude","original","10.37201/req/120.2020"
