"","author1","author2","author","title1","title2","title","abstract1","abstract2","abstract","year1","year2","year","number1","number2","number","pages1","pages2","pages","volume1","volume2","volume","journal1","journal2","journal","isbn","isbn1","isbn2","doi1","doi2","doi","record_id1","record_id2","label1","label2","source1","source2","duplicate_id.x","duplicate_id.y","match","min_id","max_id"
"11","Thomas Gilbert, P. Occelli, M. Rabilloud, S. Poupon-Bourdy, B. Riche, S. Touzet, M. Bonnefoy, M. Chuzeville, B. Comte, C. Colin, Andr\xe9 Dartiguepeyrou, Matthieu Debray, G. Grguric, Max Haine, Marine Haution, T. Jacquet-Francillon, C. Julien, Jean-St\xe9phane Luiggi, G. Martin-Gaujard, A. Schott, M. Tardy, B. Turkie, C. Vanhaecke-Collard, Antoine Vignoles","Gilbert T,Occelli P,Rabilloud M,Poupon-Bourdy S,Riche B,Touzet S",0.574884259259259,"A Nurse-Led Bridging Program to Reduce 30-Day Readmissions of Older Patients Discharged From Acute Care Units.","A nurse-led bridging program to reduce 30-Day readmissions of older patients discharged from acute care units",1,NA,NA,0,"2020","2021",0.883333333333333,NA,"6",NA,NA,"1292-99.e5",NA,NA,"22",NA,"Journal of the American Medical Directors Association","Journal of the American Medical Directors Association",1,0,NA,NA,"10.1016/j.jamda.2020.09.015","10.1016/j.jamda.2020.09.015",1,"sr3_elicit_247","sr3_original_98","elicit_include","original_exclude","elicit","original","sr3_elicit_247","sr3_original_98",FALSE,"sr3_elicit_247","sr3_original_98"
"12","A. Casas, T. Troosters, J. Garcia-Aymerich, J. Roca, C. Hern\xe1ndez, A. Alonso, F. Pozo, P. D. Toledo, J. Ant\xf3, R. Rodr\xedguez-Rois\xedn, M. Decramer","Casas A,Troosters T,Garcia-Aymerich J,Roca J,Hernandez C,Alonso A",0.660207724764687,"Integrated care prevents hospitalisations for exacerbations in COPD patients","Integrated care prevents hospitalisations for exacerbations in COPD patients",1,NA,NA,0,"2006","2006",1,NA,"1",NA,NA,"123-130",NA,NA,"28",NA,"European Respiratory Journal","European Respiratory Journal",1,0,NA,NA,"10.1183/09031936.06.00063205",NA,NA,"sr3_elicit_28","sr3_original_7","elicit_include","original_include","elicit","original","sr3_elicit_28","sr3_original_7",FALSE,"sr3_elicit_28","sr3_original_7"
"13","F. B\xe9land, H. Bergman, P. Lebel, A. Clarfield, P. Tousignant, A. Contandriopoulos, L. Dallaire","Beland F,Bergman H,Lebel P,Clarfield AM,Tousignant P,Contandriopoulos AP",0.738359788359788,"A system of integrated care for older persons with disabilities in Canada: results from a randomized controlled trial.","A system of integrated care for older persons with disabilities in Canada: results from a randomized controlled trial",1,NA,NA,0,"2006","2006",1,NA,"4",NA,NA,"367-373",NA,NA,"61",NA,"The journals of gerontology. Series A, Biological sciences and medical sciences","Journals of Gerontology - Series A Biological Sciences and Medical Sciences",0.816800851484396,0,NA,NA,"10.1093/GERONA/61.4.367","10.1093/gerona/61.4.367",1,"sr3_elicit_32","sr3_original_31","elicit_include","original_exclude","elicit","original","sr3_elicit_32","sr3_original_31",FALSE,"sr3_elicit_32","sr3_original_31"
"14","P. Occelli, S. Touzet, M. Rabilloud, C. Ganne, S. Poupon Bourdy, B\xe9atrice Galamand, Matthieu Debray, Andr\xe9 Dartiguepeyrou, M. Chuzeville, B. Comte, B. Turkie, M. Tardy, Jean-St\xe9phane Luiggi, T. Jacquet-Francillon, Thomas Gilbert, M. Bonnefoy","Occelli P,Touzet S,Rabilloud M,Ganne C,Poupon Bourdy S",0.583491924071634,"Impact of a transition nurse program on the prevention of thirty-day hospital readmissions of elderly patients discharged from short-stay units: study protocol of the PROUST stepped-wedge cluster randomised trial","Impact of a transition nurse program on the prevention of thirty-day hospital readmissions of elderly patients discharged from short-stay units: study protocol of the PROUST stepped-wedge cluster randomised trial",1,NA,NA,0,"2016","2016",1,NA,NA,1,NA,"57",NA,NA,"16",NA,"BMC Geriatrics","BMC Geriatrics",1,0,NA,NA,"10.1186/s12877-016-0233-2","10.1186/s12877-016-0233-2",1,"sr3_elicit_35","sr3_original_128","elicit_include","original_exclude","elicit","original","sr3_elicit_35","sr3_original_128",FALSE,"sr3_elicit_35","sr3_original_128"
"15","Amy McQueen, David Von Nordheim, C. Caburnay, Linda Li, Cynthia Herrick, Lauren Grimes, Darrell J. Broussard, Rachel E. Smith, Dana Lawson, Yan Yan, Matthew W Kreuter","McQueen A,von Nordheim D,Caburnay C,Li L,Herrick C,Grimes L",0.626948471853516,"A Randomized Controlled Trial Testing the Effects of a Social Needs Navigation Intervention on Health Outcomes and Healthcare Utilization among Medicaid Members with Type 2 Diabetes","A randomized controlled trial testing the effects of a social needs navigation intervention on health outcomes and healthcare utilization among medicaid members with Type 2 Diabetes",1,NA,NA,0,"2024","2024",1,NA,"7",NA,NA,"936",NA,NA,"21",NA,"International Journal of Environmental Research and Public Health","International Journal of Environmental Research and Public Health",1,0,NA,NA,"10.3390/ijerph21070936","10.3390/ijerph21070936",1,"sr3_elicit_371","sr3_original_15","elicit_include","original_include","elicit","original","sr3_elicit_371","sr3_original_15",FALSE,"sr3_elicit_371","sr3_original_15"
"16","E. Wagner, E. Ludman, E. A. Aiello Bowles, R. Penfold, R. Reid, C. Rutter, Jessica Chubak, R. McCorkle","Wagner EH,Ludman EJ,Aiello Bowles EJ,Penfold R,Reid RJ,Rutter CM",0.69738260741455,"Nurse navigators in early cancer care: a randomized, controlled trial.","Nurse navigators in early cancer care: a randomized, controlled trial",1,NA,NA,0,"2014","2014",1,NA,"1",NA,NA,"12-18",NA,NA,"32",NA,"Journal of Clinical Oncology","Journal of Clinical Oncology",1,0,NA,NA,"10.1200/JCO.2013.51.7359","10.1200/JCO.2013.51.7359",1,"sr3_elicit_39","sr3_original_166","elicit_include","original_exclude","elicit","original","sr3_elicit_39","sr3_original_166",FALSE,"sr3_elicit_39","sr3_original_166"
"17","Jocelyn Carter, Susan Hassan, Anne Walton, Liyang Yu, K. Donelan, A. Thorndike","Carter J,Hassan S,Walton A,Yu L,Donelan K,Thorndike AN",0.736942070275404,"Effect of Community Health Workers on 30-Day Hospital Readmissions in an Accountable Care Organization Population","Effect of community health workers on 30-day hospital readmissions in an accountable care organization population: a randomized clinical trial",0.96,NA,NA,0,"2021","2021",1,NA,"5",NA,NA,"e2110936",NA,NA,"4",NA,"JAMA Network Open","JAMA Network Open",1,0,NA,NA,"10.1001/jamanetworkopen.2021.10936","10.1001/jamanetworkopen.2021.10936",1,"sr3_elicit_40","sr3_original_50","elicit_include","original_exclude","elicit","original","sr3_elicit_40","sr3_original_50",FALSE,"sr3_elicit_40","sr3_original_50"
"18","M. Godwin, V. Gadag, Andrea Pike, H. Pitcher, K. Parsons, F. McCrate, W. Parsons, S. Buehler, A. Sclater, Robert Miller","Godwin M,Gadag V,Pike A,Pitcher H,Parsons K,McCrate F",0.651604037841552,"A randomized controlled trial of the effect of an intensive 1-year care management program on measures of health status in independent, community-living old elderly: the Eldercare project.","A randomized controlled trial of the effect of an intensive 1-year care management program on measures of health status in independent, community-living old elderly: the Eldercare project",1,NA,NA,0,"2016","2016",1,NA,"1",NA,NA,"37-41",NA,NA,"33",NA,"Family Practice","Family Practice",1,0,NA,NA,"10.1093/fampra/cmv089","10.1093/fampra/cmv089",1,"sr3_elicit_42","sr3_original_99","elicit_include","original_exclude","elicit","original","sr3_elicit_42","sr3_original_99",FALSE,"sr3_elicit_42","sr3_original_99"
"19","L. di Pollina, I. Guessous, V\xe9ronique Petoud, C. Combescure, B. Buchs, P. Schaller, M. Kossovsky, J. Gaspoz","Di Pollina L,Guessous I,Petoud V,Combescure C,Buchs B,Schaller P",0.702608858858859,"Integrated care at home reduces unnecessary hospitalizations of community-dwelling frail older adults: a prospective controlled trial","Integrated care at home reduces unnecessary hospitalizations of community-dwelling frail older adults: a prospective controlled trial",1,NA,NA,0,"2017","2017",1,NA,"1",NA,NA,"53",NA,NA,"17",NA,"BMC Geriatrics","BMC Geriatrics",1,0,NA,NA,"10.1186/s12877-017-0449-9","10.1186/s12877-017-0449-9",1,"sr3_elicit_43","sr3_original_68","elicit_include","original_exclude","elicit","original","sr3_elicit_43","sr3_original_68",FALSE,"sr3_elicit_43","sr3_original_68"
"20","M. Pantell, D. Hessler, D. Long, Maoya Alqassari, Christine Schudel, Ellen Laves, Denisse Velazquez, A. Amaya, Patricia Sweeney, Abigail Burns, Francis L Harrison, N. Adler, L. Gottlieb","Pantell MS,Hessler D,Long D,Alqassari M,Schudel C,Laves E",0.617322585743638,"Effects of In-Person Navigation to Address Family Social Needs on Child Health Care Utilization","Effects of in-person navigation to address family social needs on child health care utilization: a randomized clinical trial",0.954098360655738,NA,NA,0,"2020","2020",1,NA,"6",NA,NA,"e206445",NA,NA,"3",NA,"JAMA Network Open","JAMA Network Open",1,0,NA,NA,"10.1001/jamanetworkopen.2020.6445","10.1001/jamanetworkopen.2020.6445",1,"sr3_elicit_48","sr3_original_131","elicit_include","original_exclude","elicit","original","sr3_elicit_48","sr3_original_131",FALSE,"sr3_elicit_48","sr3_original_131"
"21","T. Gary, Marian L. Batts-Turner, H. Yeh, F. Hill-Briggs, L. Bone, Nae-Yuh Wang, D. Levine, N. Powe, C. Saudek, M. Hill, Maura M. McGuire, F. Brancati","Gary TL,Batts-Turner M,Yeh HC,Hill-Briggs F,Bone LR,Wang NY",0.640465627725325,"The effects of a nurse case manager and a community health worker team on diabetic control, emergency department visits, and hospitalizations among urban African Americans with type 2 diabetes mellitus: a randomized controlled trial.","The effects of a nurse case manager and a community health worker team on diabetic control, emergency department visits, and hospitalizations among urban African Americans with type 2 diabetes mellitus: a randomized controlled trial",1,NA,NA,0,"2009","2009",1,NA,"19",NA,NA,"1788-1794",NA,NA,"169",NA,"Archives of Internal Medicine","Archives of Internal Medicine",1,0,NA,NA,"10.1001/archinternmed.2009.338","10.1001/archinternmed.2009.338",1,"sr3_elicit_49","sr3_original_96","elicit_include","original_exclude","elicit","original","sr3_elicit_49","sr3_original_96",FALSE,"sr3_elicit_49","sr3_original_96"
"22","Chantal E Atwood, M. Bhutani, M. Ospina, B. Rowe, R. Leigh, Lesly Deuchar, P. Faris, Marta Michas, K. Mrklas, J. Graham, R. Aceron, R. Damant, L. Green, N. Hirani, K. Longard, V. Meyer, P. Mitchell, W. Tsai, B. Walker, M. Stickland","Atwood CE,Bhutani M,Ospina MB,Rowe BH,Leigh R,Deuchar L",0.584207150873818,"Optimizing COPD Acute Care Patient Outcomes Using a Standardized Transition Bundle and Care-Coordinator: A Randomized Clinical Trial.","Optimizing COPD acute care patient outcomes using a standardized transition bundle and care coordinator: a randomized clinical trial",0.973857897827363,NA,NA,0,"2022","2022",1,NA,"2",NA,NA,"321-330",NA,NA,"162",NA,"Chest","Chest",1,0,NA,NA,"10.1016/j.chest.2022.03.047","10.1016/j.chest.2022.03.047",1,"sr3_elicit_55","sr3_original_28","elicit_include","original_exclude","elicit","original","sr3_elicit_55","sr3_original_28",FALSE,"sr3_elicit_55","sr3_original_28"
"23","S. LaBedz, V. Prieto-Centurion, Amelia Mutso, Sanjib Basu, Nina E Bracken, Elizabeth Calhoun, R. Didomenico, Min Joo, A. Pickard, Barry Pittendrigh, Mark V. Williams, S. Illendula, J. A. Krishnan","LaBedz SL,Prieto-Centurion V,Mutso A,Basu S,Bracken NE,Calhoun EA",0.623931623931624,"Pragmatic Clinical Trial to Improve Patient Experience Among Adults During Transitions from Hospital to Home: the PArTNER study","Pragmatic clinical trial to improve patient experience among adults during transitions from hospital to home: the PArTNER study",1,NA,NA,0,"2022","2022",1,NA,"16",NA,NA,"4103-4111",NA,NA,"37",NA,"Journal of general internal medicine","Journal of General Internal Medicine",1,0,NA,NA,"10.1007/s11606-022-07461-0","10.1007/s11606-022-07461-0",1,"sr3_elicit_56","sr3_original_111","elicit_include","original_exclude","elicit","original","sr3_elicit_56","sr3_original_111",FALSE,"sr3_elicit_56","sr3_original_111"
"24","C. Hern\xe1ndez, A. Alonso, J. Garcia-Aymerich, Ignasi Serra, D. Mart\xed, R. Rodr\xedguez-Rois\xedn, G. Narsavage, Mar\xeda Carmen Gomez, J. Roca","Hernandez C,Alonso A,Garcia-Aymerich J,Serra I,Marti D,Rodriguez-Roisin R",0.659337560942783,"Effectiveness of community-based integrated care in frail COPD patients: a randomised controlled trial","Effectiveness of community-based integrated care in frail COPD patients: a randomised controlled trial",1,NA,NA,0,"2015","2015",1,NA,NA,1,NA,"15022",NA,NA,"25",NA,"npj Primary Care Respiratory Medicine","NPJ Primary Care Respiratory Medicine",1,0,NA,NA,"10.1038/npjpcrm.2015.22","10.1038/npjpcrm.2015.22",1,"sr3_elicit_67","sr3_original_107","elicit_include","original_exclude","elicit","original","sr3_elicit_67","sr3_original_107",FALSE,"sr3_elicit_67","sr3_original_107"
"25","J. Gryczynski, Courtney D. Nordeck, C. Welsh, S. Mitchell, K. O\x92grady, R. Schwartz","Gryczynski J,Nordeck CD,Welsh C,Mitchell SG,O'Grady KE,Schwartz RP",0.736971039296621,"Preventing Hospital Readmission for Patients With Comorbid Substance Use Disorder","Preventing hospital readmission for patients with comorbid substance use disorder: a randomized trial",0.962,NA,NA,0,"2021","2021",1,NA,"7",NA,NA,"899-909",NA,NA,"174",NA,"Annals of Internal Medicine","Annals of Internal Medicine",1,0,NA,NA,"10.7326/M20-5475","10.7326/M20-5475",1,"sr3_elicit_68","sr3_original_12","elicit_include","original_include","elicit","original","sr3_elicit_68","sr3_original_12",FALSE,"sr3_elicit_68","sr3_original_12"
"26","Bruce E Koehler, Kathleen M. Richter, Liz Youngblood, Brian A Cohen, Irving D Prengler, D. Cheng, A. Masica","Koehler BE,Richter KM,Youngblood L,Cohen BA,Prengler ID,Cheng D",0.709489195470504,"Reduction of 30-day postdischarge hospital readmission or emergency department (ED) visit rates in high-risk elderly medical patients through delivery of a targeted care bundle.","Reduction of 30-day postdischarge hospital readmission or emergency department (ED) visit rates in high-risk elderly medical patients through delivery of a targeted care bundle",1,NA,NA,0,"2009","2009",1,NA,"4",NA,NA,"211-218",NA,NA,"4",NA,"Journal of Hospital Medicine","Journal of Hospital Medicine",1,0,NA,NA,"10.1002/jhm.427","10.1002/jhm.427",1,"sr3_elicit_8","sr3_original_110","elicit_include","original_exclude","elicit","original","sr3_elicit_8","sr3_original_110",FALSE,"sr3_elicit_8","sr3_original_110"
"27","M. Bruce, M. Lohman, Rebecca L. Greenberg, Y. Bao, P. Raue","Bruce ML,Lohman MC,Greenberg RL,Bao Y,Raue PJ",0.743939528943539,"Integrating Depression Care Management into Medicare Home Health Reduces Risk of 30? and 60?Day Hospitalization: The Depression Care for Patients at Home Cluster?Randomized Trial","Integrating depression care management into Medicare home health reduces risk of 30- and 60-day hospitalization: the Depression Care for Patients at Home cluster-randomized trial",1,NA,NA,0,"2016","2016",1,NA,"11",NA,NA,"2196-2203",NA,NA,"64",NA,"Journal of The American Geriatrics Society","Journal of the American Geriatrics Society",1,0,NA,NA,"10.1111/jgs.14440","10.1111/jgs.14440",1,"sr3_elicit_92","sr3_original_44","elicit_include","original_exclude","elicit","original","sr3_elicit_92","sr3_original_44",FALSE,"sr3_elicit_92","sr3_original_44"
"28","Englander H,Michaels L,Chan B,Kansagara D","Englander H,Michaels L,Chan B,Kansagara D",1,"The care transitions innovation (C-TraIn) for socioeconomically disadvantaged adults: results of a cluster randomized controlled trial","The care transitions innovation (C-train) for socioeconomically disadvantaged adults, results of a clustered randomized controlled trial",0.98004662004662,NA,NA,0,"2014","2014",1,"11",NA,NA,"1460-1467","S221",0.453703703703704,"29","29",1,"Journal of General Internal Medicine","Journal of General Internal Medicine",1,0,NA,NA,"10.1007/s11606-014-2903-0",NA,NA,"sr3_original_83","sr3_original_84","original_exclude","original_exclude","original","original","sr3_original_83","sr3_original_84",FALSE,"sr3_original_83","sr3_original_84"
